ID	prefLabel	Synonyms_from_taxonomy	Curated_synonyms	Comment	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_6	Lamp5 Pdlim5_2	Lamp5 Pdlim5_2|RNAseq 006		cell_set_preferred_alias:Lamp5 Pdlim5_2 ; original_label:Lamp5 Pdlim5_2 ; cell_set_label:RNAseq 006 ; cell_set_aligned_alias:''				PR:000032148		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_7	Lamp5 Slc35d3	RNAseq 007|Lamp5 Slc35d3		cell_set_preferred_alias:Lamp5 Slc35d3 ; original_label:Lamp5 Slc35d3 ; cell_set_label:RNAseq 007 ; cell_set_aligned_alias:''				PR:000032148		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_8	Lamp5 Lhx6	Lamp5 Lhx6|RNAseq 008		cell_set_preferred_alias:Lamp5 Lhx6 ; original_label:Lamp5 Lhx6 ; cell_set_label:RNAseq 008 ; cell_set_aligned_alias:Lamp5 Lhx6	CL:4023023		DOI:10.1101/2020.02.29.970558	PR:000032148		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_133	Sncg	n17|RNAseq 009-014|Sncg		cell_set_preferred_alias:Sncg ; original_label:n17 ; cell_set_label:RNAseq 009-014 ; cell_set_aligned_alias:Sncg	CL:4023015		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_134	Sncg_2	Sncg_2|RNAseq 009-010|n18		cell_set_preferred_alias:Sncg_2 ; original_label:n18 ; cell_set_label:RNAseq 009-010 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_9	Sncg Col14a1	RNAseq 009|Sncg Col14a1		cell_set_preferred_alias:Sncg Col14a1 ; original_label:Sncg Col14a1 ; cell_set_label:RNAseq 009 ; cell_set_aligned_alias:''				PR:000015325 | PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_10	Sncg Slc17a8	RNAseq 010|Sncg Slc17a8		cell_set_preferred_alias:Sncg Slc17a8 ; original_label:Sncg Slc17a8 ; cell_set_label:RNAseq 010 ; cell_set_aligned_alias:''				PR:000015325	Low expression	10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_11	Sncg Calb1_1	RNAseq 011|Sncg Calb1_1		cell_set_preferred_alias:Sncg Calb1_1 ; original_label:Sncg Calb1_1 ; cell_set_label:RNAseq 011 ; cell_set_aligned_alias:''				PR:000015325		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_12	Sncg Calb1_2	RNAseq 012|Sncg Calb1_2		cell_set_preferred_alias:Sncg Calb1_2 ; original_label:Sncg Calb1_2 ; cell_set_label:RNAseq 012 ; cell_set_aligned_alias:''				PR:000015325		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_13	Sncg Npy2r	RNAseq 013|Sncg Npy2r		cell_set_preferred_alias:Sncg Npy2r ; original_label:Sncg Npy2r ; cell_set_label:RNAseq 013 ; cell_set_aligned_alias:''				PR:000015325		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_14	Vip Sncg	RNAseq 014|Vip Sncg		cell_set_preferred_alias:Vip Sncg ; original_label:Vip Sncg ; cell_set_label:RNAseq 014 ; cell_set_aligned_alias:''				PR:000017299	Barely any Sncg expression	10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_138	Vip	Vip|n22|RNAseq 015-027		cell_set_preferred_alias:Vip ; original_label:n22 ; cell_set_label:RNAseq 015-027 ; cell_set_aligned_alias:Vip	CL:4023016		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_139	L5/6 CCK cell	RNAseq 015-017|n23		cell_set_preferred_alias:'' ; original_label:n23 ; cell_set_label:RNAseq 015-017 ; cell_set_aligned_alias:''	CL:4023019		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_15	Vip Serpinf1_1	Vip Serpinf1_1|RNAseq 015		cell_set_preferred_alias:Vip Serpinf1_1 ; original_label:Vip Serpinf1_1 ; cell_set_label:RNAseq 015 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_16	Vip Serpinf1_2	RNAseq 016|Vip Serpinf1_2		cell_set_preferred_alias:Vip Serpinf1_2 ; original_label:Vip Serpinf1_2 ; cell_set_label:RNAseq 016 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_17	Vip Serpinf1_3	RNAseq 017|Vip Serpinf1_3		cell_set_preferred_alias:Vip Serpinf1_3 ; original_label:Vip Serpinf1_3 ; cell_set_label:RNAseq 017 ; cell_set_aligned_alias:''				PR:000017299	Low expression - only visable on fireplot	10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_143	L5 VIP cell	RNAseq 018-020|n27		cell_set_preferred_alias:'' ; original_label:n27 ; cell_set_label:RNAseq 018-020 ; cell_set_aligned_alias:''	CL:4023014		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_18	Vip Htr1f	RNAseq 018|Vip Htr1f		cell_set_preferred_alias:Vip Htr1f ; original_label:Vip Htr1f ; cell_set_label:RNAseq 018 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_19	Vip Gpc3	Vip Gpc3|RNAseq 019		cell_set_preferred_alias:Vip Gpc3 ; original_label:Vip Gpc3 ; cell_set_label:RNAseq 019 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_20	Vip C1ql1	Vip C1ql1|RNAseq 020		cell_set_preferred_alias:Vip C1ql1 ; original_label:Vip C1ql1 ; cell_set_label:RNAseq 020 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_21	Vip Mybpc1_2	RNAseq 021|Vip Mybpc1_2		cell_set_preferred_alias:Vip Mybpc1_2 ; original_label:Vip Mybpc1_2 ; cell_set_label:RNAseq 021 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_22	Vip Mybpc1_1	RNAseq 022|Vip Mybpc1_1		cell_set_preferred_alias:Vip Mybpc1_1 ; original_label:Vip Mybpc1_1 ; cell_set_label:RNAseq 022 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_23	Vip Chat_1	Vip Chat_1|RNAseq 023		cell_set_preferred_alias:Vip Chat_1 ; original_label:Vip Chat_1 ; cell_set_label:RNAseq 023 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_24	Vip Mybpc1_3	Vip Mybpc1_3|RNAseq 024		cell_set_preferred_alias:Vip Mybpc1_3 ; original_label:Vip Mybpc1_3 ; cell_set_label:RNAseq 024 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_25	Vip Chat_2	RNAseq 025|Vip Chat_2		cell_set_preferred_alias:Vip Chat_2 ; original_label:Vip Chat_2 ; cell_set_label:RNAseq 025 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_149	Vip_4	n33|Vip_4|RNAseq 026-027		cell_set_preferred_alias:Vip_4 ; original_label:n33 ; cell_set_label:RNAseq 026-027 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_26	Vip Igfbp6_1	Vip Igfbp6_1|RNAseq 026		cell_set_preferred_alias:Vip Igfbp6_1 ; original_label:Vip Igfbp6_1 ; cell_set_label:RNAseq 026 ; cell_set_aligned_alias:''				PR:000017299	Low expression - only visable on fireplot	10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_27	Vip Igfbp6_2	Vip Igfbp6_2|RNAseq 027		cell_set_preferred_alias:Vip Igfbp6_2 ; original_label:Vip Igfbp6_2 ; cell_set_label:RNAseq 027 ; cell_set_aligned_alias:''				PR:000017299		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_150	MGE	RNAseq 028-057|MGE|n34		cell_set_preferred_alias:MGE ; original_label:n34 ; cell_set_label:RNAseq 028-057 ; cell_set_aligned_alias:MGE						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_28	Sst Chodl	Sst Chodl|RNAseq 028		cell_set_preferred_alias:Sst Chodl ; original_label:Sst Chodl ; cell_set_label:RNAseq 028 ; cell_set_aligned_alias:Sst Chodl	CL:4023025		DOI:10.1101/2020.02.29.970558	PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_29	Sst Penk	Sst Penk|RNAseq 029		cell_set_preferred_alias:Sst Penk ; original_label:Sst Penk ; cell_set_label:RNAseq 029 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	Sst Myh8_1	Sst Myh8_1|RNAseq 030		cell_set_preferred_alias:Sst Myh8_1 ; original_label:Sst Myh8_1 ; cell_set_label:RNAseq 030 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_156	Sst_1	n40|RNAseq 031-033|Sst_1		cell_set_preferred_alias:Sst_1 ; original_label:n40 ; cell_set_label:RNAseq 031-033 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_31	Sst Myh8_2	Sst Myh8_2|RNAseq 031		cell_set_preferred_alias:Sst Myh8_2 ; original_label:Sst Myh8_2 ; cell_set_label:RNAseq 031 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_32	Sst Myh8_3	Sst Myh8_3|RNAseq 032		cell_set_preferred_alias:Sst Myh8_3 ; original_label:Sst Myh8_3 ; cell_set_label:RNAseq 032 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_33	Sst Htr1a	RNAseq 033|Sst Htr1a		cell_set_preferred_alias:Sst Htr1a ; original_label:Sst Htr1a ; cell_set_label:RNAseq 033 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_159	L5 T Martinotti cell	n43|RNAseq 034-035		cell_set_preferred_alias:'' ; original_label:n43 ; cell_set_label:RNAseq 034-035 ; cell_set_aligned_alias:''	CL:4023027		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_34	Sst Etv1	RNAseq 034|Sst Etv1		cell_set_preferred_alias:Sst Etv1 ; original_label:Sst Etv1 ; cell_set_label:RNAseq 034 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_35	Sst Pvalb Etv1	RNAseq 035|Sst Pvalb Etv1		cell_set_preferred_alias:Sst Pvalb Etv1 ; original_label:Sst Pvalb Etv1 ; cell_set_label:RNAseq 035 ; cell_set_aligned_alias:''				PR:000015665 | PR:000013502	Low Pvalb expression	10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_161	L5 non-Martinotti cell	n45|RNAseq 036-037		cell_set_preferred_alias:'' ; original_label:n45 ; cell_set_label:RNAseq 036-037 ; cell_set_aligned_alias:''	CL:4023028		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_36	Sst Crhr2_1	RNAseq 036|Sst Crhr2_1		cell_set_preferred_alias:Sst Crhr2_1 ; original_label:Sst Crhr2_1 ; cell_set_label:RNAseq 036 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_37	Sst Crhr2_2	RNAseq 037|Sst Crhr2_2		cell_set_preferred_alias:Sst Crhr2_2 ; original_label:Sst Crhr2_2 ; cell_set_label:RNAseq 037 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_38	Sst Hpse	Sst Hpse|RNAseq 038		cell_set_preferred_alias:Sst Hpse ; original_label:Sst Hpse ; cell_set_label:RNAseq 038 ; cell_set_aligned_alias:''	CL:4023031		DOI:10.1101/2020.02.29.970558	PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_164	L2/3/5 fan Martinotti cell	n48|RNAseq 039-040		cell_set_preferred_alias:'' ; original_label:n48 ; cell_set_label:RNAseq 039-040 ; cell_set_aligned_alias:''	CL:4023030		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_39	Sst Calb2	RNAseq 039|Sst Calb2		cell_set_preferred_alias:Sst Calb2 ; original_label:Sst Calb2 ; cell_set_label:RNAseq 039 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_40	Sst Pappa	RNAseq 040|Sst Pappa		cell_set_preferred_alias:Sst Pappa ; original_label:Sst Pappa ; cell_set_label:RNAseq 040 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_41	Sst Pvalb Calb2	RNAseq 041|Sst Pvalb Calb2		cell_set_preferred_alias:Sst Pvalb Calb2 ; original_label:Sst Pvalb Calb2 ; cell_set_label:RNAseq 041 ; cell_set_aligned_alias:''	CL:4023034		DOI:10.1101/2020.02.29.970558	PR:000015665 | PR:000013502	Low Pvalb expression	10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_165	L5/6 non-Martinotti cell	RNAseq 042-045|n49		cell_set_preferred_alias:'' ; original_label:n49 ; cell_set_label:RNAseq 042-045 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_42	Sst C1ql3_1	Sst C1ql3_1|RNAseq 042		cell_set_preferred_alias:Sst C1ql3_1 ; original_label:Sst C1ql3_1 ; cell_set_label:RNAseq 042 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_43	Sst C1ql3_2	Sst C1ql3_2|RNAseq 043		cell_set_preferred_alias:Sst C1ql3_2 ; original_label:Sst C1ql3_2 ; cell_set_label:RNAseq 043 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_44	Sst Tac2	RNAseq 044|Sst Tac2		cell_set_preferred_alias:Sst Tac2 ; original_label:Sst Tac2 ; cell_set_label:RNAseq 044 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_45	Sst Th_1	RNAseq 045|Sst Th_1		cell_set_preferred_alias:Sst Th_1 ; original_label:Sst Th_1 ; cell_set_label:RNAseq 045 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_170	L6 Th+ SST/PV cell	RNAseq 046-047|n54		cell_set_preferred_alias:'' ; original_label:n54 ; cell_set_label:RNAseq 046-047 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_46	Sst Th_2	Sst Th_2|RNAseq 046		cell_set_preferred_alias:Sst Th_2 ; original_label:Sst Th_2 ; cell_set_label:RNAseq 046 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_47	Sst Th_3	RNAseq 047|Sst Th_3		cell_set_preferred_alias:Sst Th_3 ; original_label:Sst Th_3 ; cell_set_label:RNAseq 047 ; cell_set_aligned_alias:''				PR:000015665		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_48	Pvalb Gabrg1	RNAseq 048|Pvalb Gabrg1		cell_set_preferred_alias:Pvalb Gabrg1 ; original_label:Pvalb Gabrg1 ; cell_set_label:RNAseq 048 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_49	Pvalb Egfem1	RNAseq 049|Pvalb Egfem1		cell_set_preferred_alias:Pvalb Egfem1 ; original_label:Pvalb Egfem1 ; cell_set_label:RNAseq 049 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_50	Pvalb Gpr149	Pvalb Gpr149|RNAseq 050		cell_set_preferred_alias:Pvalb Gpr149 ; original_label:Pvalb Gpr149 ; cell_set_label:RNAseq 050 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_51	Pvalb Kank4	Pvalb Kank4|RNAseq 051		cell_set_preferred_alias:Pvalb Kank4 ; original_label:Pvalb Kank4 ; cell_set_label:RNAseq 051 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_52	Pvalb Calb1_1	RNAseq 052|Pvalb Calb1_1		cell_set_preferred_alias:Pvalb Calb1_1 ; original_label:Pvalb Calb1_1 ; cell_set_label:RNAseq 052 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_53	Pvalb Calb1_2	Pvalb Calb1_2|RNAseq 053		cell_set_preferred_alias:Pvalb Calb1_2 ; original_label:Pvalb Calb1_2 ; cell_set_label:RNAseq 053 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_177	Upper FS Basket cell	RNAseq 054-055|n61		cell_set_preferred_alias:'' ; original_label:n61 ; cell_set_label:RNAseq 054-055 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_54	Pvalb Reln	Pvalb Reln|RNAseq 054		cell_set_preferred_alias:Pvalb Reln ; original_label:Pvalb Reln ; cell_set_label:RNAseq 054 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_55	Pvalb Il1rapl2	RNAseq 055|Pvalb Il1rapl2		cell_set_preferred_alias:Pvalb Il1rapl2 ; original_label:Pvalb Il1rapl2 ; cell_set_label:RNAseq 055 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_178	Chandelier	RNAseq 056-057|n62|Chandelier		cell_set_preferred_alias:Chandelier ; original_label:n62 ; cell_set_label:RNAseq 056-057 ; cell_set_aligned_alias:Chandelier	CL:4023036		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_56	Pvalb Vipr2_1	Pvalb Vipr2_1|RNAseq 056		cell_set_preferred_alias:Pvalb Vipr2_1 ; original_label:Pvalb Vipr2_1 ; cell_set_label:RNAseq 056 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_57	Pvalb Vipr2_2	RNAseq 057|Pvalb Vipr2_2		cell_set_preferred_alias:Pvalb Vipr2_2 ; original_label:Pvalb Vipr2_2 ; cell_set_label:RNAseq 057 ; cell_set_aligned_alias:''				PR:000013502		10.1101/2020.03.31.016972
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_182	IT projecting	n66|IT projecting|RNAseq 058-069		cell_set_preferred_alias:IT projecting ; original_label:n66 ; cell_set_label:RNAseq 058-069 ; cell_set_aligned_alias:IT projecting	CL:4023008		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_183	L2/3 IT	n67|L2/3 IT|RNAseq 058-060		cell_set_preferred_alias:L2/3 IT ; original_label:n67 ; cell_set_label:RNAseq 058-060 ; cell_set_aligned_alias:L2/3 IT	CL:4023047		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_58	L2/3 IT_1	RNAseq 058|L2/3 IT_1		cell_set_preferred_alias:L2/3 IT_1 ; original_label:L2/3 IT_1 ; cell_set_label:RNAseq 058 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_59	L2/3 IT_2	RNAseq 059|L2/3 IT_2		cell_set_preferred_alias:L2/3 IT_2 ; original_label:L2/3 IT_2 ; cell_set_label:RNAseq 059 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_60	L2/3 IT_3	L2/3 IT_3|RNAseq 060		cell_set_preferred_alias:L2/3 IT_3 ; original_label:L2/3 IT_3 ; cell_set_label:RNAseq 060 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_188	L4	L4|n72|RNAseq 061-062		cell_set_preferred_alias:L4 ; original_label:n72 ; cell_set_label:RNAseq 061-062 ; cell_set_aligned_alias:L4						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_61	L4/5 IT_1	L4/5 IT_1|RNAseq 061		cell_set_preferred_alias:L4/5 IT_1 ; original_label:L4/5 IT_1 ; cell_set_label:RNAseq 061 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_62	L4/5 IT_2	RNAseq 062|L4/5 IT_2		cell_set_preferred_alias:L4/5 IT_2 ; original_label:L4/5 IT_2 ; cell_set_label:RNAseq 062 ; cell_set_aligned_alias:''	CL:4023048		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_189	L5 IT	RNAseq 063-066|n73|L5 IT		cell_set_preferred_alias:L5 IT ; original_label:n73 ; cell_set_label:RNAseq 063-066 ; cell_set_aligned_alias:L5 IT	CL:4023049		DOI:10.1101/2020.02.29.970558			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_190	L5 IT_2	L5 IT_2|RNAseq 063-064|n74		cell_set_preferred_alias:L5 IT_2 ; original_label:n74 ; cell_set_label:RNAseq 063-064 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_63	L5 IT_1	L5 IT_1|RNAseq 063		cell_set_preferred_alias:L5 IT_1 ; original_label:L5 IT_1 ; cell_set_label:RNAseq 063 ; cell_set_aligned_alias:''						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_64	L5 IT_2	RNAseq 064|L5 IT_2		cell_set_preferred_alias:L5 IT_2 ; original_label:L5 IT_2 ; cell_set_label:RNAseq 064 ; cell_set_aligned_alias:''						
