ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of
AllenDend:CS202002270_10	Integrated 10 - CS202002270_10	Vip_1 - CS202002270_10	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Vip_1		Vip_1	Vip_1	Integrated 10			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Vip_1"", ""original_label"": ""Vip_1"", ""cell_set_label"": ""Integrated 10"", ""cell_set_accession"": ""CS202002270_10"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_10
AllenDend:CS202002270_11	Integrated 11 - CS202002270_11	Vip_2 - CS202002270_11	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Vip_2		Vip_2	Vip_2	Integrated 11			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Vip_2"", ""original_label"": ""Vip_2"", ""cell_set_label"": ""Integrated 11"", ""cell_set_accession"": ""CS202002270_11"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_11
AllenDend:CS202002270_12	Integrated 12 - CS202002270_12	Vip_3 - CS202002270_12	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Vip_3		Vip_3	Vip_3	Integrated 12			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Vip_3"", ""original_label"": ""Vip_3"", ""cell_set_label"": ""Integrated 12"", ""cell_set_accession"": ""CS202002270_12"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_12
AllenDend:CS202002270_13	Integrated 13 - CS202002270_13	Vip_4 - CS202002270_13	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_57	Vip_4		Vip_4	Vip_4	Integrated 13			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Vip_4"", ""original_label"": ""Vip_4"", ""cell_set_label"": ""Integrated 13"", ""cell_set_accession"": ""CS202002270_13"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_13
AllenDend:CS202002270_14	Integrated 14 - CS202002270_14	Sst Chodl - CS202002270_14	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Sst Chodl|Long-range projecting Sst		Sst Chodl	Sst Chodl	Integrated 14		Long-range projecting Sst	Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sst Chodl"", ""original_label"": ""Sst Chodl"", ""cell_set_label"": ""Integrated 14"", ""cell_set_accession"": ""CS202002270_14"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": ""Long-range projecting Sst"", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_14
AllenDend:CS202002270_15	Integrated 15 - CS202002270_15	Sst_1 - CS202002270_15	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Sst_1		Sst_1	Sst_1	Integrated 15			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sst_1"", ""original_label"": ""Sst_1"", ""cell_set_label"": ""Integrated 15"", ""cell_set_accession"": ""CS202002270_15"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_15
AllenDend:CS202002270_16	Integrated 16 - CS202002270_16	Sst_2 - CS202002270_16	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Sst_2		Sst_2	Sst_2	Integrated 16			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sst_2"", ""original_label"": ""Sst_2"", ""cell_set_label"": ""Integrated 16"", ""cell_set_accession"": ""CS202002270_16"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_16
AllenDend:CS202002270_17	Integrated 17 - CS202002270_17	Sst_4 - CS202002270_17	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Sst_4		Sst_4	Sst_4	Integrated 17			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sst_4"", ""original_label"": ""Sst_4"", ""cell_set_label"": ""Integrated 17"", ""cell_set_accession"": ""CS202002270_17"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_17
AllenDend:CS202002270_18	Integrated 18 - CS202002270_18	Sst_3 - CS202002270_18	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Sst_3		Sst_3	Sst_3	Integrated 18			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sst_3"", ""original_label"": ""Sst_3"", ""cell_set_label"": ""Integrated 18"", ""cell_set_accession"": ""CS202002270_18"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_18
AllenDend:CS202002270_19	Integrated 19 - CS202002270_19	Sst_5 - CS202002270_19	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Sst_5		Sst_5	Sst_5	Integrated 19			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sst_5"", ""original_label"": ""Sst_5"", ""cell_set_label"": ""Integrated 19"", ""cell_set_accession"": ""CS202002270_19"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_19
AllenDend:CS202002270_20	Integrated 20 - CS202002270_20	Sst_6 - CS202002270_20	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Sst_6		Sst_6	Sst_6	Integrated 20			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sst_6"", ""original_label"": ""Sst_6"", ""cell_set_label"": ""Integrated 20"", ""cell_set_accession"": ""CS202002270_20"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_20
AllenDend:CS202002270_21	Integrated 21 - CS202002270_21	Sst_7 - CS202002270_21	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Sst_7		Sst_7	Sst_7	Integrated 21			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Sst_7"", ""original_label"": ""Sst_7"", ""cell_set_label"": ""Integrated 21"", ""cell_set_accession"": ""CS202002270_21"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_21
AllenDend:CS202002270_22	Integrated 22 - CS202002270_22	Pvalb_1 - CS202002270_22	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Pvalb_1		Pvalb_1	Pvalb_1	Integrated 22			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Pvalb_1"", ""original_label"": ""Pvalb_1"", ""cell_set_label"": ""Integrated 22"", ""cell_set_accession"": ""CS202002270_22"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_22
AllenDend:CS202002270_23	Integrated 23 - CS202002270_23	Pvalb_2 - CS202002270_23	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Pvalb_2		Pvalb_2	Pvalb_2	Integrated 23			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Pvalb_2"", ""original_label"": ""Pvalb_2"", ""cell_set_label"": ""Integrated 23"", ""cell_set_accession"": ""CS202002270_23"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_23
AllenDend:CS202002270_24	Integrated 24 - CS202002270_24	Chandelier - CS202002270_24	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_58	Chandelier|Chandelier		Chandelier	Chandelier	Integrated 24	Chandelier		Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""Chandelier"", ""original_label"": ""Chandelier"", ""cell_set_label"": ""Integrated 24"", ""cell_set_accession"": ""CS202002270_24"", ""cell_set_aligned_alias"": ""Chandelier"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_24
AllenDend:CS202002270_25	Integrated 25 - CS202002270_25	L2/3 IT - CS202002270_25	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_59	L2/3 IT		L2/3 IT	L2/3 IT	Integrated 25			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L2/3 IT"", ""original_label"": ""L2/3 IT"", ""cell_set_label"": ""Integrated 25"", ""cell_set_accession"": ""CS202002270_25"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_25
AllenDend:CS202002270_26	Integrated 26 - CS202002270_26	L6 IT_1 - CS202002270_26	BDSHELP:Cluster	owl:NamedIndividual	AllenDend:CS202002270_59	L6 IT_1		L6 IT_1	L6 IT_1	Integrated 26			Nikolas Jorstad	10.1101/2020.03.31.016972	"{""cell_set_preferred_alias"": ""L6 IT_1"", ""original_label"": ""L6 IT_1"", ""cell_set_label"": ""Integrated 26"", ""cell_set_accession"": ""CS202002270_26"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Nikolas Jorstad"", ""cell_set_alias_citation"": ""10.1101/2020.03.31.016972"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""taxonomy_id"": ""CCN202002270"", ""species"": ""Human|Marmoset|Mouse"", ""modality"": ""RNAseq"", ""taxonomy_description"": """", ""child_cell_set_accessions"": """", ""cell_type_card"": ""No""}"	http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_26
