ID	TYPE	NAME	SYNONYMS
ensembl:ENSMUSG00000025905	SO:0000704	Oprk1 (Mmus)	opioid receptor, kappa 2|kappa-type opioid receptor|K-OR-1|KOR-1|KOR|Oprk2|MSL-1|R21
ensembl:ENSMUSG00000033774	SO:0000704	Npbwr1 (Mmus)	G protein-coupled receptor 7|Gpr7|Nbpwr1|neuropeptides B/W receptor type 1
ensembl:ENSMUSG00000025907	SO:0000704	Rb1cc1 (Mmus)	LaXp180|FAK family kinase-interacting protein of 200 kDa|5930404L04Rik|200 kDa FAK family kinase-interacting protein|2900055E04Rik|coiled-coil-forming protein 1|RB1-inducible coiled-coil protein 1|Cc1|FIP200
ensembl:ENSMUSG00000090031	SO:0000704	4732440D04Rik (Mmus)	
ensembl:ENSMUSG00000087247	SO:0000704	Alkal1 (Mmus)	ALK and LTK ligand 1|Fam150a|EG620393|protein FAM150A|augmentor beta|family with sequence similarity 150, member A
ensembl:ENSMUSG00000033740	SO:0000704	St18 (Mmus)	AV348974|suppression of tumorigenicity 18 protein|Nzf3|Myt3|mKIAA0535|NZF-3|neural zinc finger protein NZF-3
ensembl:ENSMUSG00000051285	SO:0000704	Pcmtd1 (Mmus)	protein-L-isoaspartate O-methyltransferase domain-containing protein 1|8430411F12Rik|A030012M09Rik
ensembl:ENSMUSG00000097797	SO:0000704	Gm26901 (Mmus)	
ensembl:ENSMUSG00000103067	SO:0000704	Gm30414 (Mmus)	
ensembl:ENSMUSG00000025909	SO:0000704	Sntg1 (Mmus)	G1SYN|syntrophin-4|SYN4|gamma-1-syntrophin|4933426D16Rik
ensembl:ENSMUSG00000061024	SO:0000704	Rrs1 (Mmus)	RRS1 ribosome biogenesis regulator homolog|D1Ertd701e|5730466A07Rik|AA415037|ribosome biogenesis regulatory protein homolog|Rrr|regulator for ribosome resistance homolog
ensembl:ENSMUSG00000025911	SO:0000704	Adhfe1 (Mmus)	6330565B14Rik|Fe-containing alcohol dehydrogenase 1|alcohol dehydrogenase 8|alcohol dehydrogenase iron-containing protein 1|HOT|AI043035|hydroxyacid-oxoacid transhydrogenase, mitochondrial|Adh8
ensembl:ENSMUSG00000067879	SO:0000704	3110035E14Rik (Mmus)	AI415019|vexin|3110035E14Rik|AV164974|uncharacterized protein C8orf46 homolog|R75066
ensembl:ENSMUSG00000099827	SO:0000704	Gm29520 (Mmus)	
ensembl:ENSMUSG00000025912	SO:0000704	Mybl1 (Mmus)	A-myb|repro9|G1-419-6|myb-like protein 1|myb-related protein A
ensembl:ENSMUSG00000045210	SO:0000704	Vcpip1 (Mmus)	4932442A08|5730421J18Rik|mKIAA1850|VCIP135|deubiquitinating protein VCIP135|deubiquitinating protein VCPIP1|valosin-containing protein p97/p47 complex-interacting protein p135|5730538E15Rik|VCP/p47 complex-interacting 135-kDa protein
ensembl:ENSMUSG00000097893	SO:0000704	1700034P13Rik (Mmus)	
ensembl:ENSMUSG00000025915	SO:0000704	Sgk3 (Mmus)	fy|fz|2510015P22Rik|Cisk|A330005P07Rik|cytokine-independent survival kinase|serine/threonine-protein kinase Sgk3
ensembl:ENSMUSG00000046101	SO:0000704	Mcmdc2 (Mmus)	MCM domain-containing protein C8orf45 homolog|minichromosome maintenance domain-containing protein 2|6030422M02Rik|MCM domain-containing protein 2
ensembl:ENSMUSG00000098234	SO:0000704	Snhg6 (Mmus)	
ensembl:ENSMUSG00000099032	SO:0000704	Tcf24 (Mmus)	Gm10567|transcription factor 24|Gm2330
ensembl:ENSMUSG00000025916	SO:0000704	Ppp1r42 (Mmus)	4930418G15Rik|leucine rich repeat containing 67|protein phosphatase 1 regulatory subunit 42|testis leucine-rich repeat protein|TLRR|Lrrc67|1700011J18Rik
ensembl:ENSMUSG00000087199	SO:0000704	Gm15818 (Mmus)	
ensembl:ENSMUSG00000025917	SO:0000704	Cops5 (Mmus)	Jun coactivator|COP9 signalosome complex subunit 5|Mov34|Kip1 C-terminus-interacting protein 2|Jab1|Jun activation domain-binding protein 1|AI303502|Sgn5|COP9 (constitutive photomorphogenic) homolog, subunit 5|COP9 complex S5|CSN5
ensembl:ENSMUSG00000056763	SO:0000704	Cspp1 (Mmus)	centrosome/spindle pole-associated protein 3|BC055915|centrosome/spindle pole-associated protein 2|Cspp2|AA387550|centrosome and spindle pole associated protein 1|2310020J12Rik|Cspp3|4930413O22Rik
ensembl:ENSMUSG00000067851	SO:0000704	Arfgef1 (Mmus)	D730028O18Rik|D130059B05Rik|brefeldin A-inhibited GEP 1|brefeldin A-inhibited guanine nucleotide-exchange protein 1|P200|ARFGEP1|ADP-ribosylation factor guanine nucleotide-exchange factor 1|BIG1
ensembl:ENSMUSG00000042501	SO:0000704	Cpa6 (Mmus)	metallocarboxypeptidase|carboxypeptidase A6|9030616D13Rik
ensembl:ENSMUSG00000048960	SO:0000704	Prex2 (Mmus)	DEP domain-containing protein 2|6230420N16Rik|phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein|AI316880|DEP domain containing 2|AI553603|Depdc2|D430013K02|C030045D06Rik|ptdIns(3,4,5)-dependent Rac exchanger 2|P-Rex2
ensembl:ENSMUSG00000057715	SO:0000704	A830018L16Rik (Mmus)	uncharacterized protein C8orf34 homolog
ensembl:ENSMUSG00000097171	SO:0000704	Gm17644 (Mmus)	4932411L15
ensembl:ENSMUSG00000101314	SO:0000704	Gm29663 (Mmus)	
ensembl:ENSMUSG00000016918	SO:0000704	Sulf1 (Mmus)	AW121680|mKIAA1077|AI467640|extracellular sulfatase Sulf-1|MSulf-1
ensembl:ENSMUSG00000025938	SO:0000704	Slco5a1 (Mmus)	4732454B15|A630033C23Rik|solute carrier organic anion transporter family member 5A1|AA407151
ensembl:ENSMUSG00000099498	SO:0000704	Gm29283 (Mmus)	
ensembl:ENSMUSG00000042414	SO:0000704	Prdm14 (Mmus)	PR domain zinc finger protein 14|PR domain-containing protein 14
ensembl:ENSMUSG00000005886	SO:0000704	Ncoa2 (Mmus)	D1Ertd433e|glucocorticoid receptor interacting protein 1|bHLHe75|NCoA-2|steroid receptor coactivator 2|GRIP-1|transcriptional intermediary factor 2|TIF2|nuclear receptor coactivator 2|SRC-2|Grip1|KAT13C
ensembl:ENSMUSG00000101476	SO:0000704	Gm29570 (Mmus)	
ensembl:ENSMUSG00000025935	SO:0000704	Tram1 (Mmus)	TRAMP|1810049E02Rik|translocating chain-associated membrane protein 1
ensembl:ENSMUSG00000025937	SO:0000704	Lactb2 (Mmus)	E430032H21Rik|beta-lactamase-like protein 2|Cgi-83|endoribonuclease LACTB2
ensembl:ENSMUSG00000067813	SO:0000704	Xkr9 (Mmus)	X Kell blood group precursor related family member 9 homolog|Gm1620|XK-related protein 9|XRG9
ensembl:ENSMUSG00000025932	SO:0000704	Eya1 (Mmus)	bor|eyes absent homolog 1|eyes absent 1 homolog
ensembl:ENSMUSG00000054493	SO:0000704	Gm9947 (Mmus)	
ensembl:ENSMUSG00000025930	SO:0000704	Msc (Mmus)	bHLHa22|musculin|MyoR|myogenic repressor
ensembl:ENSMUSG00000032769	SO:0000704	Trpa1 (Mmus)	TRPA1b|Anktm1|ankyrin-like with transmembrane domains protein 1|wasabi receptor|transient receptor potential cation channel subfamily A member 1
ensembl:ENSMUSG00000092083	SO:0000704	Kcnb2 (Mmus)	Kv2.2|BB130875|voltage-gated potassium channel subunit Kv2.2|9630047L19Rik|potassium voltage-gated channel subfamily B member 2
ensembl:ENSMUSG00000025925	SO:0000704	Terf1 (Mmus)	TTAGGG repeat-binding factor 1|Trf1|telomeric repeat-binding factor 1|Trbf1|Pin2
ensembl:ENSMUSG00000032719	SO:0000704	Sbspon (Mmus)	Rpesp|somatomedin-B and thrombospondin type-1 domain-containing protein|RPE-spondin|Gm106
ensembl:ENSMUSG00000067795	SO:0000704	4930444P10Rik (Mmus)	putative uncharacterized protein C8orf89 homolog
ensembl:ENSMUSG00000043716	SO:0000704	Rpl7 (Mmus)	Rpl7a|60S ribosomal protein L7|Surf-3
ensembl:ENSMUSG00000025921	SO:0000704	Rdh10 (Mmus)	AI875664|4921506A21Rik|3110069K09Rik|m366Asp|AW549993|retinol dehydrogenase 10|D1Ertd762e
ensembl:ENSMUSG00000100868	SO:0000704	Gm28095 (Mmus)	
ensembl:ENSMUSG00000025920	SO:0000704	Stau2 (Mmus)	staufen 2|double-stranded RNA-binding protein Staufen homolog 2|staufen (RNA binding protein) homolog 2
ensembl:ENSMUSG00000089982	SO:0000704	Gm7568 (Mmus)	EG665282
ensembl:ENSMUSG00000025939	SO:0000704	Ube2w (Mmus)	E2 ubiquitin-conjugating enzyme W|6130401J04Rik|ubiquitin-conjugating enzyme E2 W|ubiquitin carrier protein W|probable ubiquitin-conjugating enzyme E2 W|N-terminal E2 ubiquitin-conjugating enzyme|ubiquitin-protein ligase W|N-terminus-conjugating E2
ensembl:ENSMUSG00000079658	SO:0000704	Eloc (Mmus)	2610301I15Rik|RNA polymerase II transcription factor SIII subunit C|Tceb1|elongin-C|elongin 15 kDa subunit|stromal membrane-associated protein SMAP1B homolog|transcription elongation factor B (SIII), polypeptide 1|AA407206|AI987979|2610043E24Rik|transcription elongation factor B polypeptide 1|SIII p15|AW049146
ensembl:ENSMUSG00000097744	SO:0000704	D030040B21Rik (Mmus)	D030040B21
ensembl:ENSMUSG00000025940	SO:0000704	Tmem70 (Mmus)	2210416J16Rik|transmembrane protein 70, mitochondrial|1110020A09Rik
ensembl:ENSMUSG00000025779	SO:0000704	Ly96 (Mmus)	MD2|ly-96|myeloid differentiation protein-2|myeloid differentiation factor-2|lymphocyte antigen 96|ESOP-1|MD-2|protein MD-2
ensembl:ENSMUSG00000101640	SO:0000704	Gm28376 (Mmus)	
ensembl:ENSMUSG00000042686	SO:0000704	Jph1 (Mmus)	mitsugumin72|JP-1|Jp1|junctophilin-1|junctophilin type 1
ensembl:ENSMUSG00000100110	SO:0000704	Gm28783 (Mmus)	
ensembl:ENSMUSG00000025777	SO:0000704	Gdap1 (Mmus)	ganglioside-induced differentiation-associated protein 1
ensembl:ENSMUSG00000099899	SO:0000704	Gm28784 (Mmus)	
ensembl:ENSMUSG00000067780	SO:0000704	Pi15 (Mmus)	cysteine-rich secreted protein|SugarCrisp|PI-15|P24TI|protease inhibitor 15|peptidase inhibitor 15|P25TI
ensembl:ENSMUSG00000100053	SO:0000704	Gm28154 (Mmus)	
ensembl:ENSMUSG00000085125	SO:0000704	Gm16070 (Mmus)	
ensembl:ENSMUSG00000025776	SO:0000704	Crispld1 (Mmus)	Lcrisp1|cysteine-rich secretory protein LCCL domain-containing 1|Cocoacrisp|LCCL domain containing cysteine-rich secretory protein 1
ensembl:ENSMUSG00000099895	SO:0000704	Gm28153 (Mmus)	
ensembl:ENSMUSG00000025774	SO:0000704	Crisp4 (Mmus)	9230112K08Rik|cysteine-rich secretory protein 4
ensembl:ENSMUSG00000073735	SO:0000704	Defb18 (Mmus)	EG654460|mBD-18|BD-18|beta-defensin 18
ensembl:ENSMUSG00000067773	SO:0000704	Defb41 (Mmus)	BD-17|defensin beta 17|Bd-41|Gm15386|beta-defensin 16|beta-defensin 17|Defb17|9230102D03Rik|Defb16|beta-defensin 41
ensembl:ENSMUSG00000089787	SO:0000704	Gm15825 (Mmus)	
ensembl:ENSMUSG00000042596	SO:0000704	Tfap2d (Mmus)	Tcfap2d|transcription factor AP-2-delta|activating enhancer-binding protein 2-delta|AP2-delta
ensembl:ENSMUSG00000025927	SO:0000704	Tfap2b (Mmus)	AI606113|Tcfap2b|transcription factor AP-2-beta|activating enhancer-binding protein 2 beta|AP2-beta|AP-2(beta)|E130018K07Rik
ensembl:ENSMUSG00000100538	SO:0000704	Gm28340 (Mmus)	
ensembl:ENSMUSG00000043760	SO:0000704	Pkhd1 (Mmus)	AI182499|fibrocystin|FPC|TIG multiple domains 1|AI118496|Tigm1|polyductin|tigmin|polycystic kidney and hepatic disease 1 protein
ensembl:ENSMUSG00000089914	SO:0000704	4930486I03Rik (Mmus)	
ensembl:ENSMUSG00000099906	SO:0000704	Gm28653 (Mmus)	Linc-md1|Gm28653|long intergenic non-coding RNA muscle differentiation 1
ensembl:ENSMUSG00000025929	SO:0000704	Il17a (Mmus)	Il17|Ctla8|interleukin-17A|IL-17|IL-17A|Ctla-8|cytotoxic T-lymphocyte-associated antigen 8
ensembl:ENSMUSG00000041872	SO:0000704	Il17f (Mmus)	C87042|IL-17F|interleukin-17F
ensembl:ENSMUSG00000041859	SO:0000704	Mcm3 (Mmus)	C80350|P1|p1.m|P1-MCM3|minichromosome maintenance deficient 3|DNA replication licensing factor MCM3|AL033361|Mcmd|DNA polymerase alpha holoenzyme-associated protein P1|mini chromosome maintenance deficient
ensembl:ENSMUSG00000102121	SO:0000704	Gm28065 (Mmus)	
ensembl:ENSMUSG00000097934	SO:0000704	6720483E21Rik (Mmus)	
ensembl:ENSMUSG00000025931	SO:0000704	Paqr8 (Mmus)	lysosomal membrane protein in brain 1|membrane progesterone receptor beta|1700019B16Rik|mPR beta|3110001D06Rik|membrane progestin receptor beta|progestin and adipoQ receptor family member 8|membrane progesterone P4 receptor beta|progesterone and adipoQ receptor family member 8
ensembl:ENSMUSG00000041809	SO:0000704	Efhc1 (Mmus)	EF-hand domain-containing protein 1|mRib72-1|myoclonin-1|myoclonin1|1700029F22Rik
ensembl:ENSMUSG00000041779	SO:0000704	Tram2 (Mmus)	C330003D03Rik|translocating chain-associated membrane protein 2
ensembl:ENSMUSG00000099971	SO:0000704	Gm28287 (Mmus)	
ensembl:ENSMUSG00000025933	SO:0000704	Tmem14a (Mmus)	transmembrane protein 14A|PTD011|C85783|5730496E24Rik
ensembl:ENSMUSG00000025934	SO:0000704	Gsta3 (Mmus)	glutathione S-transferase Ya3|Gst2-3|glutathione S-transferase A3|GST class-alpha member 3|glutathione S-transferase Yc
ensembl:ENSMUSG00000099343	SO:0000704	Gm28836 (Mmus)	
ensembl:ENSMUSG00000067750	SO:0000704	Khdc1a (Mmus)	Ndg1|AU014713|Nur77 downstream protein 1|C88118|KH homology domain containing 1A|KH homology domain-containing protein 1A|nur77 downstream gene 1 protein
ensembl:ENSMUSG00000041722	SO:0000704	Khdc1c (Mmus)	oocyte-specific Khdc1b|KH homology domain containing 1C|KH homology domain-containing protein 1C|Khdc1b
ensembl:ENSMUSG00000085079	SO:0000704	Khdc1b (Mmus)	AU024076|AY238603|AU014713|AU015226|C86372|C88118|Khdc1c|KH homology domain containing 1|KH homology domain-containing protein 1B|Khdc1|peptidase M20 domain containing 2|KH homology domain containing 1B|C85331|oocyte-specific Khdc1
ensembl:ENSMUSG00000028033	SO:0000704	Kcnq5 (Mmus)	9230107O05Rik|potassium channel subunit alpha KvLQT5|KQT-like 5|voltage-gated potassium channel subunit Kv7.5|potassium voltage-gated channel subfamily KQT member 5|AA589396|7730402H11|D1Mgi1|voltage-gated potassium channel type Kv7.5
ensembl:ENSMUSG00000097109	SO:0000704	Gm26580 (Mmus)	
ensembl:ENSMUSG00000041670	SO:0000704	Rims1 (Mmus)	Rab3 interacting protein 1|Rab3 effector|C030033M19Rik|synaptic exocytosis regulator 1|RIM1a|rab3-interacting molecule 1|regulating synaptic membrane exocytosis protein 1|RIM1alpha|Rim|Rab3ip1|RIM1|Serg1|regulating synaptic membrane exocytosis 1 beta
ensembl:ENSMUSG00000073730	SO:0000704	4933415F23Rik (Mmus)	protein phosphatase 1, regulatory (inhibitor) subunit 14B-like|4933415F23Rik
ensembl:ENSMUSG00000097970	SO:0000704	Gm27028 (Mmus)	
ensembl:ENSMUSG00000100775	SO:0000704	Gm29107 (Mmus)	
ensembl:ENSMUSG00000026158	SO:0000704	Ogfrl1 (Mmus)	opioid growth factor receptor-like protein 1|2210417C17Rik
ensembl:ENSMUSG00000099503	SO:0000704	Gm28822 (Mmus)	
ensembl:ENSMUSG00000026156	SO:0000704	B3gat2 (Mmus)	UDP-glucuronosyltransferase-S|glucuronosyltransferase S|galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2|Glcats|glcAT-D|GlcAT-S
ensembl:ENSMUSG00000026155	SO:0000704	Smap1 (Mmus)	4921514B13Rik|AI462175|4921525H11Rik|stromal membrane-associated protein 1|1700056O10Rik
ensembl:ENSMUSG00000026154	SO:0000704	Sdhaf4 (Mmus)	UPF0369 protein C6orf57 homolog|SDH assembly factor 4|C6orf57|1110058L19Rik|succinate dehydrogenase assembly factor 4, mitochondrial|1700001E18Rik
ensembl:ENSMUSG00000026153	SO:0000704	Fam135a (Mmus)	protein FAM135A|AI835491|AI256732|4921533L14Rik
ensembl:ENSMUSG00000026147	SO:0000704	Col9a1 (Mmus)	Col9a-1|alpha 1 type IX collagen|procollagen, type IX, alpha 1|collagen alpha-1(IX) chain
ensembl:ENSMUSG00000026141	SO:0000704	Col19a1 (Mmus)	collagen alpha-1(Y) chain|procollagen, type XIX, alpha 1|collagen alpha-1(XIX) chain
ensembl:ENSMUSG00000073725	SO:0000704	Lmbrd1 (Mmus)	0910001K20Rik|lysosomal cobalamin transport escort protein LMBD1|LMBD1|AV347960|probable lysosomal cobalamin transporter|LMBR1 domain-containing protein 1|protein N90b
ensembl:ENSMUSG00000100483	SO:0000704	Gm28237 (Mmus)	
ensembl:ENSMUSG00000099392	SO:0000704	Gm29414 (Mmus)	
ensembl:ENSMUSG00000033569	SO:0000704	Adgrb3 (Mmus)	A830096D10Rik|brain-specific angiogenesis inhibitor 3|G protein-coupled receptor BAI3|adhesion G protein-coupled receptor B3|Bai3
ensembl:ENSMUSG00000073722	SO:0000704	4931408C20Rik (Mmus)	uncharacterized protein LOC210940
ensembl:ENSMUSG00000101514	SO:0000704	Gm5524 (Mmus)	
ensembl:ENSMUSG00000048411	SO:0000704	Gm597 (Mmus)	uncharacterized protein LOC210962
ensembl:ENSMUSG00000053185	SO:0000704	Gm9898 (Mmus)	
ensembl:ENSMUSG00000048874	SO:0000704	Phf3 (Mmus)	2310061N19Rik|PHD finger protein 3
ensembl:ENSMUSG00000026064	SO:0000704	Ptp4a1 (Mmus)	AA415290|AU019864|protein tyrosine phosphatase type IVA 1|C130021B01|protein-tyrosine phosphatase of regenerating liver 1|Prl-1
ensembl:ENSMUSG00000100371	SO:0000704	Gm29669 (Mmus)	
ensembl:ENSMUSG00000100237	SO:0000704	Gm28644 (Mmus)	
ensembl:ENSMUSG00000086727	SO:0000704	4931428L18Rik (Mmus)	4930563O14Rik
ensembl:ENSMUSG00000100910	SO:0000704	Gm29128 (Mmus)	
ensembl:ENSMUSG00000050217	SO:0000704	Lgsn (Mmus)	glutamate-ammonia ligase domain-containing protein 1|glutamate-ammonia ligase (glutamine synthetase) domain containing 1|Lgs|lengsin|glutamate-ammonia ligase (glutamine synthase) domain containing 1|Gluld1
ensembl:ENSMUSG00000026063	SO:0000704	Pih1d3 (Mmus)	Pih1d3|PIH1 domain-containing protein 3|protein PIH1D3|4930521A18Rik|PIH1 domain containing 3|dynein assembly factor 6, axonemal|dynein axonemal assembly factor 6
ensembl:ENSMUSG00000026058	SO:0000704	Khdrbs2 (Mmus)	mSLM-1|KH domain-containing, RNA-binding, signal transduction-associated protein 2|Sam68-like mammalian protein 1|Slm1|Slim1|Slm-1|TG-RP135|6330586C16Rik|Tg(LRRK2*R1441G)135Cjli|LRRK2<R1441G>
ensembl:ENSMUSG00000091318	SO:0000704	Gm5415 (Mmus)	EG408191|SUMO/sentrin specific peptidase 2=like 1|sentrin 14|Senp14|SUMO/sentrin specific peptidase 2-like 1|Gm5415
ensembl:ENSMUSG00000102917	SO:0000704	Gm37724 (Mmus)	
ensembl:ENSMUSG00000104230	SO:0000704	Gm37591 (Mmus)	
ensembl:ENSMUSG00000026134	SO:0000704	Prim2 (Mmus)	DNA primase 58 kDa subunit|DNA primase large subunit|AI323589
ensembl:ENSMUSG00000004768	SO:0000704	Rab23 (Mmus)	protein open brain|opb|AW545388|opb2|rab-15|open brain 2|ras-related protein Rab-23
ensembl:ENSMUSG00000042215	SO:0000704	Bag2 (Mmus)	bcl-2-associated athanogene 2|BAG family molecular chaperone regulator 2|2610042A13Rik|BC016230|BAG-2
ensembl:ENSMUSG00000042197	SO:0000704	Zfp451 (Mmus)	4930515K21Rik|E3 SUMO-protein ligase ZNF451|mKIAA1702|COASTER|Kiaa0576-hp|4933435G09Rik|E3 SUMO-protein transferase ZNF451|AI596398|Znf451
ensembl:ENSMUSG00000042182	SO:0000704	Bend6 (Mmus)	B230209C24Rik|BEN domain-containing protein 6
ensembl:ENSMUSG00000026131	SO:0000704	Dst (Mmus)	athetoid|A830042E19Rik|ah|Bpag1|AW554249|nmf203|dt|microtubule actin cross-linking factor 2|hemidesmosomal plaque protein|BPA|dystonia musculorum protein|2310001O04Rik|Macf2|nmf339|Bpag|BPAG1-n|mKIAA0728|BP230|dystonin
ensembl:ENSMUSG00000104397	SO:0000704	Gm37958 (Mmus)	
ensembl:ENSMUSG00000102336	SO:0000704	Gm37233 (Mmus)	
ensembl:ENSMUSG00000042111	SO:0000704	Ccdc115 (Mmus)	coiled-coil protein 1|Ccp1|coiled-coil domain-containing protein 115|2310061I09Rik
ensembl:ENSMUSG00000101711	SO:0000704	Gm28306 (Mmus)	
ensembl:ENSMUSG00000026127	SO:0000704	Imp4 (Mmus)	U3 snoRNP protein IMP4|D1Wsu40e|U3 small nucleolar ribonucleoprotein protein IMP4|AA409888|U3 snoRNP protein 4 homolog|AV031295|IMP4, U3 small nucleolar ribonucleoprotein, homolog
ensembl:ENSMUSG00000026126	SO:0000704	Ptpn18 (Mmus)	FLP-1|PTP-HSCF|FLP1|Ptpk1|HSCF|fetal liver phosphatase 1|PTP-K1|tyrosine-protein phosphatase non-receptor type 18
ensembl:ENSMUSG00000101223	SO:0000704	4930568A12Rik (Mmus)	
ensembl:ENSMUSG00000026125	SO:0000704	Prss39 (Mmus)	inactive serine protease 39|testicular serine protease 1|Tesp1|inactive testicular serine protease 1
ensembl:ENSMUSG00000026124	SO:0000704	Cfc1 (Mmus)	cryptic protein|cryptic|b2b970Clo|AV265756
ensembl:ENSMUSG00000037529	SO:0000704	Prss40 (Mmus)	serine protease 40|testicular serine protease 2|Tesp2
ensembl:ENSMUSG00000045815	SO:0000704	1700101I19Rik (Mmus)	
ensembl:ENSMUSG00000045174	SO:0000704	Amer3 (Mmus)	9430069J07Rik|protein FAM123C|family with sequence similarity 123, member C|APC membrane recruitment protein 3|Fam123c
ensembl:ENSMUSG00000037509	SO:0000704	Arhgef4 (Mmus)	APC-stimulated guanine nucleotide exchange factor|9330140K16Rik|Asef|rho guanine nucleotide exchange factor 4|C230030N03Rik
ensembl:ENSMUSG00000104002	SO:0000704	Gm38336 (Mmus)	
ensembl:ENSMUSG00000037503	SO:0000704	Fam168b (Mmus)	protein FAM168B|Mani|mKIAA4042|myelin-associated neurite-outgrowth inhibitor
ensembl:ENSMUSG00000026123	SO:0000704	Plekhb2 (Mmus)	Evt2|PH domain-containing family B member 2|Phdc|AU018239|evt-2|evectin-2|pleckstrin homology domain-containing family B member 2|2310009M15Rik
ensembl:ENSMUSG00000104417	SO:0000704	Gm37068 (Mmus)	
ensembl:ENSMUSG00000101714	SO:0000704	Gm28415 (Mmus)	
ensembl:ENSMUSG00000102531	SO:0000704	1110002O04Rik (Mmus)	
ensembl:ENSMUSG00000102279	SO:0000704	Gm37146 (Mmus)	
ensembl:ENSMUSG00000103708	SO:0000704	Gm33222 (Mmus)	
ensembl:ENSMUSG00000104201	SO:0000704	4930535G08Rik (Mmus)	
ensembl:ENSMUSG00000045216	SO:0000704	Hs6st1 (Mmus)	heparan-sulfate 6-O-sulfotransferase 1|mHS6ST-1|6Ost1|HS6ST-1
ensembl:ENSMUSG00000104523	SO:0000704	Gm37335 (Mmus)	
ensembl:ENSMUSG00000102202	SO:0000704	Gm33280 (Mmus)	
ensembl:ENSMUSG00000037470	SO:0000704	Uggt1 (Mmus)	Ugcgl1|A930007H10Rik|UDP-glucose:glycoprotein glucosyltransferase|AI414429|UGT1|AA589501|UDP-glucose:glycoprotein glucosyltransferase 1|C820010P03Rik|UDP-glucose ceramide glucosyltransferase-like 1|AI448372|GT|UDP--Glc:glycoprotein glucosyltransferase|0910001L17Rik
ensembl:ENSMUSG00000047180	SO:0000704	Neurl3 (Mmus)	lung-inducible neuralized-related C3HC4 RING domain protein|E3 ubiquitin-protein ligase NEURL3|2010300P06Rik|lung inducible neuralized-related C3HC4 RING finger|neuralized homolog 3 homolog|neuralized-like protein 3|E3 ubiquitin-protein ligase LINCR|Lincr|lung-inducible neuralized-related C3CH4 RING domain protein|RING-type E3 ubiquitin transferase NEURL3|lung-inducible neuralized-related C3CH4 RING domain-containing protein
ensembl:ENSMUSG00000037447	SO:0000704	Arid5a (Mmus)	ARID domain-containing protein 5A|AT rich interactive domain 5A (Mrf1 like)|modulator recognition factor I|AT-rich interactive domain-containing protein 5A|D430024K22Rik|Mrf1
ensembl:ENSMUSG00000102762	SO:0000704	4930403P22Rik (Mmus)	
ensembl:ENSMUSG00000010453	SO:0000704	Kansl3 (Mmus)	4932435K23|AI647574|NSL complex protein NSL3|AI431067|Kiaa1310|C85723|mKIAA1310|KAT8 regulatory NSL complex subunit 3|non-specific lethal 3 homolog|4632411B12Rik
ensembl:ENSMUSG00000037432	SO:0000704	Fer1l5 (Mmus)	4930533C12Rik|fer-1-like protein 5|fer-1-like 5 protein
