ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Comment	Aliases	Rank
PCL:0019549	RNAseq 49 - CS201912132_49	Inh PVALB SST EYS	PCL:0010001	owl:NamedIndividual	PCL:0019685		CS201912132_49		Inh PVALB SST EYS	Inh PVALB SST EYS	RNAseq 49			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh PVALB SST EYS"", ""cell_set_label"": ""RNAseq 49"", ""cell_set_accession"": ""CS201912132_49"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh PVALB SST EYS"", ""cell_set_color"": ""#BE001E""}"	http://purl.obolibrary.org/obo/PCL_0019049	In Marmoset primary motor cortex (CCN201912132), Inh PVALB SST EYS is a member of the Pvalb subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is EYS and LOC103788721 and POSTN (F-beta = 0.545), based on the NS Forest method of marker gene selection. Inh PVALB SST EYS cells represent 8.23% of all Pvalb cells collected in the marmoset M1 10Xv3 dataset. Inh PVALB SST EYS cells have an average of 4011 genes detected, which is 272 less than the average for all Pvalb cells (4283).	Inh PVALB SST EYS	Cell Type
PCL:0019550	RNAseq 50 - CS201912132_50	Inh PVALB PCDH19	PCL:0010001	owl:NamedIndividual	PCL:0019684		CS201912132_50		Inh PVALB PCDH19	Inh PVALB PCDH19	RNAseq 50			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh PVALB PCDH19"", ""cell_set_label"": ""RNAseq 50"", ""cell_set_accession"": ""CS201912132_50"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh PVALB PCDH19"", ""cell_set_color"": ""#D8003D""}"	http://purl.obolibrary.org/obo/PCL_0019050	In Marmoset primary motor cortex (CCN201912132), Inh PVALB PCDH19 is a member of the Pvalb subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is CPNE8 and LOC103788721 and POSTN (F-beta = 0.522), based on the NS Forest method of marker gene selection. Inh PVALB PCDH19 cells represent 2.83% of all Pvalb cells collected in the marmoset M1 10Xv3 dataset. Inh PVALB PCDH19 cells have an average of 3495 genes detected, which is 788 less than the average for all Pvalb cells (4283).	Inh PVALB PCDH19	Cell Type
PCL:0019551	RNAseq 51 - CS201912132_51	Inh PVALB KLHL29	PCL:0010001	owl:NamedIndividual	PCL:0019599|PCL:0019676	Pvalb_2	CS201912132_51		Inh PVALB KLHL29	Inh PVALB KLHL29	RNAseq 51	Pvalb_2		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh PVALB KLHL29"", ""cell_set_label"": ""RNAseq 51"", ""cell_set_accession"": ""CS201912132_51"", ""cell_set_aligned_alias"": ""Pvalb_2"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh PVALB KLHL29"", ""cell_set_color"": ""#B20536""}"	http://purl.obolibrary.org/obo/PCL_0019051	In Marmoset primary motor cortex (CCN201912132), Inh PVALB KLHL29 is a member of the Pvalb subclass. Inh PVALB KLHL29 includes the additional alias Pvalb_2. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is ABCB4 and RNF144B and SLIT2 (F-beta = 0.566), based on the NS Forest method of marker gene selection. Inh PVALB KLHL29 cells represent 3.65% of all Pvalb cells collected in the marmoset M1 10Xv3 dataset. Inh PVALB KLHL29 cells have an average of 4089 genes detected, which is 194 less than the average for all Pvalb cells (4283).	Inh PVALB KLHL29	Cell Type
PCL:0019552	RNAseq 52 - CS201912132_52	Inh PVALB FAM19A4	PCL:0010001	owl:NamedIndividual	PCL:0019599	Chandelier|Chandelier cell	CS201912132_52		Inh PVALB FAM19A4	Inh PVALB FAM19A4	RNAseq 52	Chandelier	Chandelier cell	Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Inh PVALB FAM19A4"", ""cell_set_label"": ""RNAseq 52"", ""cell_set_accession"": ""CS201912132_52"", ""cell_set_aligned_alias"": ""Chandelier"", ""cell_set_additional_aliases"": ""Chandelier cell"", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Inh PVALB FAM19A4"", ""cell_set_color"": ""#F4358B""}"	http://purl.obolibrary.org/obo/PCL_0019052	In Marmoset primary motor cortex (CCN201912132), Inh PVALB FAM19A4 is a member of the Pvalb subclass. Inh PVALB FAM19A4 includes the additional alias Chandelier cell. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is FAM19A1 and POSTN (F-beta = 0.753), based on the NS Forest method of marker gene selection. Inh PVALB FAM19A4 cells represent 22.01% of all Pvalb cells collected in the marmoset M1 10Xv3 dataset. Inh PVALB FAM19A4 cells have an average of 3612 genes detected, which is 671 less than the average for all Pvalb cells (4283).	Inh PVALB FAM19A4	Cell Type
PCL:0019553	RNAseq 53 - CS201912132_53	Exc THEMIS ANO3	PCL:0010001	owl:NamedIndividual	PCL:0019600		CS201912132_53		Exc THEMIS ANO3	Exc THEMIS ANO3	RNAseq 53			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc THEMIS ANO3"", ""cell_set_label"": ""RNAseq 53"", ""cell_set_accession"": ""CS201912132_53"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc THEMIS ANO3"", ""cell_set_color"": ""#93D92B""}"	http://purl.obolibrary.org/obo/PCL_0019053	In Marmoset primary motor cortex (CCN201912132), Exc THEMIS ANO3 is a member of the L2/3 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is CHST9 and NPFFR2 and SLC38A11 and SLIT3 (F-beta = 0.529), based on the NS Forest method of marker gene selection. Exc THEMIS ANO3 cells represent 19.84% of all L2/3 IT cells collected in the marmoset M1 10Xv3 dataset. Exc THEMIS ANO3 cells have an average of 4729 genes detected, which is 376 more than the average for all L2/3 IT cells (4353).	Exc THEMIS ANO3	Cell Type
PCL:0019554	RNAseq 54 - CS201912132_54	Exc RORB LOC108588466	PCL:0010001	owl:NamedIndividual	PCL:0019695		CS201912132_54		Exc RORB LOC108588466	Exc RORB LOC108588466	RNAseq 54			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB LOC108588466"", ""cell_set_label"": ""RNAseq 54"", ""cell_set_accession"": ""CS201912132_54"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB LOC108588466"", ""cell_set_color"": ""#7CAE24""}"	http://purl.obolibrary.org/obo/PCL_0019054	In Marmoset primary motor cortex (CCN201912132), Exc RORB LOC108588466 is a member of the L2/3 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is ARHGAP10 and LOC108588466 and PDZD2 and RGS6 (F-beta = 0.482), based on the NS Forest method of marker gene selection. Exc RORB LOC108588466 cells represent 42.34% of all L2/3 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB LOC108588466 cells have an average of 4503 genes detected, which is 150 more than the average for all L2/3 IT cells (4353).	Exc RORB LOC108588466	Cell Type
PCL:0019555	RNAseq 55 - CS201912132_55	Exc RORB SERPINE2	PCL:0010001	owl:NamedIndividual	PCL:0019696		CS201912132_55		Exc RORB SERPINE2	Exc RORB SERPINE2	RNAseq 55			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB SERPINE2"", ""cell_set_label"": ""RNAseq 55"", ""cell_set_accession"": ""CS201912132_55"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB SERPINE2"", ""cell_set_color"": ""#CFCE32""}"	http://purl.obolibrary.org/obo/PCL_0019055	In Marmoset primary motor cortex (CCN201912132), Exc RORB SERPINE2 is a member of the L2/3 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is CHST8 and PLA2G4A and SNTB2 (F-beta = 0.322), based on the NS Forest method of marker gene selection. Exc RORB SERPINE2 cells represent 7.73% of all L2/3 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB SERPINE2 cells have an average of 4219 genes detected, which is 134 less than the average for all L2/3 IT cells (4353).	Exc RORB SERPINE2	Cell Type
PCL:0019556	RNAseq 56 - CS201912132_56	Exc RORB NDST3	PCL:0010001	owl:NamedIndividual	PCL:0019696		CS201912132_56		Exc RORB NDST3	Exc RORB NDST3	RNAseq 56			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB NDST3"", ""cell_set_label"": ""RNAseq 56"", ""cell_set_accession"": ""CS201912132_56"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB NDST3"", ""cell_set_color"": ""#C7FF28""}"	http://purl.obolibrary.org/obo/PCL_0019056	In Marmoset primary motor cortex (CCN201912132), Exc RORB NDST3 is a member of the L2/3 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is CHST9 and DGKG and KIAA2012 (F-beta = 0.492), based on the NS Forest method of marker gene selection. Exc RORB NDST3 cells represent 30.08% of all L2/3 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB NDST3 cells have an average of 3928 genes detected, which is 425 less than the average for all L2/3 IT cells (4353).	Exc RORB NDST3	Cell Type
PCL:0019557	RNAseq 57 - CS201912132_57	Exc RORB KNL1	PCL:0010001	owl:NamedIndividual	PCL:0019630|PCL:0019694		CS201912132_57		Exc RORB KNL1	Exc RORB KNL1	RNAseq 57			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB KNL1"", ""cell_set_label"": ""RNAseq 57"", ""cell_set_accession"": ""CS201912132_57"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB KNL1"", ""cell_set_color"": ""#8CBCB4""}"	http://purl.obolibrary.org/obo/PCL_0019057	In Marmoset primary motor cortex (CCN201912132), Exc RORB KNL1 is a member of the L5 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is VAV3 (F-beta = 0.114), based on the NS Forest method of marker gene selection. Exc RORB KNL1 cells represent 1.66% of all L5 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB KNL1 cells have an average of 3952 genes detected, which is 377 less than the average for all L5 IT cells (4329).	Exc RORB KNL1	Cell Type
PCL:0019558	RNAseq 58 - CS201912132_58	Exc RORB CAV3	PCL:0010001	owl:NamedIndividual	PCL:0019630|PCL:0019693		CS201912132_58		Exc RORB CAV3	Exc RORB CAV3	RNAseq 58			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB CAV3"", ""cell_set_label"": ""RNAseq 58"", ""cell_set_accession"": ""CS201912132_58"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB CAV3"", ""cell_set_color"": ""#6EEEE3""}"	http://purl.obolibrary.org/obo/PCL_0019058	In Marmoset primary motor cortex (CCN201912132), Exc RORB CAV3 is a member of the L5 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is LOC100408486 (F-beta = 0.341), based on the NS Forest method of marker gene selection. Exc RORB CAV3 cells represent 1.8% of all L5 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB CAV3 cells have an average of 3773 genes detected, which is 556 less than the average for all L5 IT cells (4329).	Exc RORB CAV3	Cell Type
PCL:0019559	RNAseq 59 - CS201912132_59	Exc THEMIS KCTD16	PCL:0010001	owl:NamedIndividual	PCL:0019602	L6 IT_2	CS201912132_59		Exc THEMIS KCTD16	Exc THEMIS KCTD16	RNAseq 59	L6 IT_2		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc THEMIS KCTD16"", ""cell_set_label"": ""RNAseq 59"", ""cell_set_accession"": ""CS201912132_59"", ""cell_set_aligned_alias"": ""L6 IT_2"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc THEMIS KCTD16"", ""cell_set_color"": ""#C9CC77""}"	http://purl.obolibrary.org/obo/PCL_0019059	In Marmoset primary motor cortex (CCN201912132), Exc THEMIS KCTD16 is a member of the L6 IT subclass. Exc THEMIS KCTD16 includes the additional alias L6 IT_2. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is CSGALNACT1 and PLXDC2 and PTPRK and THEMIS (F-beta = 0.567), based on the NS Forest method of marker gene selection. Exc THEMIS KCTD16 cells represent 76.9% of all L6 IT cells collected in the marmoset M1 10Xv3 dataset. Exc THEMIS KCTD16 cells have an average of 4761 genes detected, which is 120 more than the average for all L6 IT cells (4641).	Exc THEMIS KCTD16	Cell Type
PCL:0019560	RNAseq 60 - CS201912132_60	Exc THEMIS COBL	PCL:0010001	owl:NamedIndividual	PCL:0019602	L6 IT_1	CS201912132_60		Exc THEMIS COBL	Exc THEMIS COBL	RNAseq 60	L6 IT_1		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc THEMIS COBL"", ""cell_set_label"": ""RNAseq 60"", ""cell_set_accession"": ""CS201912132_60"", ""cell_set_aligned_alias"": ""L6 IT_1"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc THEMIS COBL"", ""cell_set_color"": ""#CDCE31""}"	http://purl.obolibrary.org/obo/PCL_0019060	In Marmoset primary motor cortex (CCN201912132), Exc THEMIS COBL is a member of the L6 IT subclass. Exc THEMIS COBL includes the additional alias L6 IT_1. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is CNR1 and GABRG1 and IQGAP2 and NFIA (F-beta = 0.529), based on the NS Forest method of marker gene selection. Exc THEMIS COBL cells represent 23.1% of all L6 IT cells collected in the marmoset M1 10Xv3 dataset. Exc THEMIS COBL cells have an average of 4243 genes detected, which is 398 less than the average for all L6 IT cells (4641).	Exc THEMIS COBL	Cell Type
PCL:0019561	RNAseq 61 - CS201912132_61	Exc RORB LOC108593203	PCL:0010001	owl:NamedIndividual	PCL:0019699		CS201912132_61		Exc RORB LOC108593203	Exc RORB LOC108593203	RNAseq 61			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB LOC108593203"", ""cell_set_label"": ""RNAseq 61"", ""cell_set_accession"": ""CS201912132_61"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB LOC108593203"", ""cell_set_color"": ""#00BBC0""}"	http://purl.obolibrary.org/obo/PCL_0019061	In Marmoset primary motor cortex (CCN201912132), Exc RORB LOC108593203 is a member of the L5 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is LOC108593203 and VWC2L (F-beta = 0.629), based on the NS Forest method of marker gene selection. Exc RORB LOC108593203 cells represent 12.18% of all L5 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB LOC108593203 cells have an average of 3889 genes detected, which is 440 less than the average for all L5 IT cells (4329).	Exc RORB LOC108593203	Cell Type
PCL:0019562	RNAseq 62 - CS201912132_62	Exc RORB ANKRD27	PCL:0010001	owl:NamedIndividual	PCL:0019699		CS201912132_62		Exc RORB ANKRD27	Exc RORB ANKRD27	RNAseq 62			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB ANKRD27"", ""cell_set_label"": ""RNAseq 62"", ""cell_set_accession"": ""CS201912132_62"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB ANKRD27"", ""cell_set_color"": ""#507975""}"	http://purl.obolibrary.org/obo/PCL_0019062	In Marmoset primary motor cortex (CCN201912132), Exc RORB ANKRD27 is a member of the L5 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is GRAMD1C and PLCH1 and POU6F2 (F-beta = 0.636), based on the NS Forest method of marker gene selection. Exc RORB ANKRD27 cells represent 23.64% of all L5 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB ANKRD27 cells have an average of 4206 genes detected, which is 123 less than the average for all L5 IT cells (4329).	Exc RORB ANKRD27	Cell Type
PCL:0019563	RNAseq 63 - CS201912132_63	Exc RORB ACTA2	PCL:0010001	owl:NamedIndividual	PCL:0019698		CS201912132_63		Exc RORB ACTA2	Exc RORB ACTA2	RNAseq 63			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB ACTA2"", ""cell_set_label"": ""RNAseq 63"", ""cell_set_accession"": ""CS201912132_63"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB ACTA2"", ""cell_set_color"": ""#8EE5E8""}"	http://purl.obolibrary.org/obo/PCL_0019063	In Marmoset primary motor cortex (CCN201912132), Exc RORB ACTA2 is a member of the L5 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is FOXP2 and RORB and VWC2L (F-beta = 0.595), based on the NS Forest method of marker gene selection. Exc RORB ACTA2 cells represent 9.87% of all L5 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB ACTA2 cells have an average of 3692 genes detected, which is 637 less than the average for all L5 IT cells (4329).	Exc RORB ACTA2	Cell Type
PCL:0019564	RNAseq 64 - CS201912132_64	Exc RORB USH1C	PCL:0010001	owl:NamedIndividual	PCL:0019697		CS201912132_64		Exc RORB USH1C	Exc RORB USH1C	RNAseq 64			Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB USH1C"", ""cell_set_label"": ""RNAseq 64"", ""cell_set_accession"": ""CS201912132_64"", ""cell_set_aligned_alias"": """", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB USH1C"", ""cell_set_color"": ""#48A4A8""}"	http://purl.obolibrary.org/obo/PCL_0019064	In Marmoset primary motor cortex (CCN201912132), Exc RORB USH1C is a member of the L5 IT subclass. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is SPON1 and TMEM163 and USH1C (F-beta = 0.588), based on the NS Forest method of marker gene selection. Exc RORB USH1C cells represent 15.33% of all L5 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB USH1C cells have an average of 5088 genes detected, which is 759 more than the average for all L5 IT cells (4329).	Exc RORB USH1C	Cell Type
PCL:0019565	RNAseq 65 - CS201912132_65	Exc RORB SLC38A11	PCL:0010001	owl:NamedIndividual	PCL:0019700	L5 IT_3	CS201912132_65		Exc RORB SLC38A11	Exc RORB SLC38A11	RNAseq 65	L5 IT_3		Fenna Krienen	PMID:34616062	"{""cell_set_preferred_alias"": ""Exc RORB SLC38A11"", ""cell_set_label"": ""RNAseq 65"", ""cell_set_accession"": ""CS201912132_65"", ""cell_set_aligned_alias"": ""L5 IT_3"", ""cell_set_additional_aliases"": """", ""cell_set_alias_assignee"": ""Fenna Krienen"", ""cell_set_alias_citation"": ""PMID:34616062"", ""cell_set_structure"": ""primary motor cortex"", ""cell_set_ontology_tag"": ""UBERON:0001384"", ""species"": ""Marmoset"", ""modality"": ""RNAseq"", ""taxonomy_id"": ""CCN201912132"", ""taxonomy_description"": ""Marmoset M1 taxonomy using 10X data"", ""child_cell_set_accessions"": """", ""cell_type_card"": ""Cell Type"", ""original_label"": ""Exc RORB SLC38A11"", ""cell_set_color"": ""#00ABA5""}"	http://purl.obolibrary.org/obo/PCL_0019065	In Marmoset primary motor cortex (CCN201912132), Exc RORB SLC38A11 is a member of the L5 IT subclass. Exc RORB SLC38A11 includes the additional alias L5 IT_3. The minimal set of markers required to distinguish this cell type from other cell types in the primary motor cortex is FOXP2 and SLC38A11 and TOX (F-beta = 0.587), based on the NS Forest method of marker gene selection. Exc RORB SLC38A11 cells represent 5.72% of all L5 IT cells collected in the marmoset M1 10Xv3 dataset. Exc RORB SLC38A11 cells have an average of 4169 genes detected, which is 160 less than the average for all L5 IT cells (4329).	Exc RORB SLC38A11	Cell Type
