Gene stable ID,Transcript stable ID,Gene name,HGNC symbol
ENSCJAG00000017356,ENSCJAT00000033812,,
ENSCJAG00000017356,ENSCJAT00000033829,,
ENSCJAG00000056332,ENSCJAT00000109478,Metazoa_SRP,
ENSCJAG00000017386,ENSCJAT00000033860,TUBA8,TUBA8
ENSCJAG00000055634,ENSCJAT00000107424,,
ENSCJAG00000055634,ENSCJAT00000107854,,
ENSCJAG00000010707,ENSCJAT00000020856,,
ENSCJAG00000010707,ENSCJAT00000112000,,
ENSCJAG00000047001,ENSCJAT00000067382,RTN4R,RTN4R
ENSCJAG00000047001,ENSCJAT00000114413,RTN4R,RTN4R
ENSCJAG00000065390,ENSCJAT00000095148,,
ENSCJAG00000033357,ENSCJAT00000061543,CCDC188,CCDC188
ENSCJAG00000010730,ENSCJAT00000020906,ZDHHC8,ZDHHC8
ENSCJAG00000010730,ENSCJAT00000112864,ZDHHC8,ZDHHC8
ENSCJAG00000010730,ENSCJAT00000020914,ZDHHC8,ZDHHC8
ENSCJAG00000010730,ENSCJAT00000020924,ZDHHC8,ZDHHC8
ENSCJAG00000010749,ENSCJAT00000020949,RANBP1,RANBP1
ENSCJAG00000010749,ENSCJAT00000053397,RANBP1,RANBP1
ENSCJAG00000028848,ENSCJAT00000049833,,
ENSCJAG00000010758,ENSCJAT00000020985,TRMT2A,TRMT2A
ENSCJAG00000066832,ENSCJAT00000089983,Metazoa_SRP,
ENSCJAG00000010780,ENSCJAT00000021071,DGCR8,DGCR8
ENSCJAG00000010780,ENSCJAT00000057254,DGCR8,DGCR8
ENSCJAG00000029741,ENSCJAT00000050726,,
ENSCJAG00000036918,ENSCJAT00000065696,,
ENSCJAG00000010829,ENSCJAT00000021104,TANGO2,TANGO2
ENSCJAG00000010829,ENSCJAT00000054081,TANGO2,TANGO2
ENSCJAG00000010829,ENSCJAT00000060383,TANGO2,TANGO2
ENSCJAG00000010829,ENSCJAT00000074879,TANGO2,TANGO2
ENSCJAG00000010829,ENSCJAT00000053302,TANGO2,TANGO2
ENSCJAG00000027530,ENSCJAT00000048515,,
ENSCJAG00000064590,ENSCJAT00000105338,Metazoa_SRP,
ENSCJAG00000014479,ENSCJAT00000106696,ARVCF,ARVCF
ENSCJAG00000014479,ENSCJAT00000028203,ARVCF,ARVCF
ENSCJAG00000014479,ENSCJAT00000028261,ARVCF,ARVCF
ENSCJAG00000014479,ENSCJAT00000073041,ARVCF,ARVCF
ENSCJAG00000014538,ENSCJAT00000028285,COMT,COMT
ENSCJAG00000014538,ENSCJAT00000052144,COMT,COMT
ENSCJAG00000014546,ENSCJAT00000082091,TXNRD2,TXNRD2
ENSCJAG00000014546,ENSCJAT00000072398,TXNRD2,TXNRD2
ENSCJAG00000014546,ENSCJAT00000078586,TXNRD2,TXNRD2
ENSCJAG00000014546,ENSCJAT00000069063,TXNRD2,TXNRD2
ENSCJAG00000014546,ENSCJAT00000028324,TXNRD2,TXNRD2
ENSCJAG00000023125,ENSCJAT00000044110,RTL10,RTL10
ENSCJAG00000037354,ENSCJAT00000071632,GNB1L,GNB1L
ENSCJAG00000037354,ENSCJAT00000028387,GNB1L,GNB1L
ENSCJAG00000037354,ENSCJAT00000083703,GNB1L,GNB1L
ENSCJAG00000014591,ENSCJAT00000085999,TBX1,TBX1
ENSCJAG00000014591,ENSCJAT00000071443,TBX1,TBX1
ENSCJAG00000014591,ENSCJAT00000028436,TBX1,TBX1
ENSCJAG00000067724,ENSCJAT00000102705,,
ENSCJAG00000055379,ENSCJAT00000107621,,
ENSCJAG00000001520,ENSCJAT00000002857,GP1BB,GP1BB
ENSCJAG00000031147,ENSCJAT00000101587,SEPTIN5,SEPTIN5
ENSCJAG00000031147,ENSCJAT00000004977,SEPTIN5,SEPTIN5
ENSCJAG00000031147,ENSCJAT00000076353,SEPTIN5,SEPTIN5
ENSCJAG00000031147,ENSCJAT00000104020,SEPTIN5,SEPTIN5
ENSCJAG00000066770,ENSCJAT00000112325,Metazoa_SRP,
ENSCJAG00000021820,ENSCJAT00000042805,CLDN5,CLDN5
ENSCJAG00000001523,ENSCJAT00000002944,CDC45,CDC45
ENSCJAG00000001523,ENSCJAT00000056282,CDC45,CDC45
ENSCJAG00000053934,ENSCJAT00000094601,5S_rRNA,
ENSCJAG00000001566,ENSCJAT00000002969,UFD1,UFD1
ENSCJAG00000001566,ENSCJAT00000081823,UFD1,UFD1
ENSCJAG00000001566,ENSCJAT00000022224,UFD1,UFD1
ENSCJAG00000001566,ENSCJAT00000078770,UFD1,UFD1
ENSCJAG00000044605,ENSCJAT00000079550,C22orf39,C22orf39
ENSCJAG00000044605,ENSCJAT00000070782,C22orf39,C22orf39
ENSCJAG00000001584,ENSCJAT00000002990,MRPL40,MRPL40
ENSCJAG00000052098,ENSCJAT00000100497,cja-mir-9980,
ENSCJAG00000001591,ENSCJAT00000003113,HIRA,HIRA
ENSCJAG00000001591,ENSCJAT00000055637,HIRA,HIRA
ENSCJAG00000001591,ENSCJAT00000003103,HIRA,HIRA
ENSCJAG00000001591,ENSCJAT00000092209,HIRA,HIRA
ENSCJAG00000044383,ENSCJAT00000082266,Metazoa_SRP,
ENSCJAG00000022184,ENSCJAT00000043169,,
ENSCJAG00000047873,ENSCJAT00000069501,CLTCL1,CLTCL1
ENSCJAG00000047873,ENSCJAT00000069663,CLTCL1,CLTCL1
ENSCJAG00000047873,ENSCJAT00000083871,CLTCL1,CLTCL1
ENSCJAG00000047873,ENSCJAT00000090273,CLTCL1,CLTCL1
ENSCJAG00000047873,ENSCJAT00000076971,CLTCL1,CLTCL1
ENSCJAG00000047873,ENSCJAT00000080877,CLTCL1,CLTCL1
ENSCJAG00000047873,ENSCJAT00000091786,CLTCL1,CLTCL1
ENSCJAG00000032699,ENSCJAT00000056382,,
ENSCJAG00000001657,ENSCJAT00000112573,,
ENSCJAG00000001657,ENSCJAT00000062245,,
ENSCJAG00000065946,ENSCJAT00000073871,,
ENSCJAG00000001679,ENSCJAT00000003186,ESS2,ESS2
ENSCJAG00000051637,ENSCJAT00000104100,,
ENSCJAG00000051637,ENSCJAT00000083034,,
ENSCJAG00000021821,ENSCJAT00000042806,TSSK2,TSSK2
ENSCJAG00000001699,ENSCJAT00000053170,DGCR2,DGCR2
ENSCJAG00000001699,ENSCJAT00000081219,DGCR2,DGCR2
ENSCJAG00000001699,ENSCJAT00000003237,DGCR2,DGCR2
ENSCJAG00000042231,ENSCJAT00000081656,Y_RNA,
ENSCJAG00000068046,ENSCJAT00000109148,,
ENSCJAG00000052866,ENSCJAT00000107820,,
ENSCJAG00000065166,ENSCJAT00000101181,Metazoa_SRP,
ENSCJAG00000061416,ENSCJAT00000099968,,
ENSCJAG00000016378,ENSCJAT00000068418,MED15,MED15
ENSCJAG00000016378,ENSCJAT00000115652,MED15,MED15
ENSCJAG00000016378,ENSCJAT00000067284,MED15,MED15
ENSCJAG00000016378,ENSCJAT00000031904,MED15,MED15
ENSCJAG00000058421,ENSCJAT00000111643,Metazoa_SRP,
ENSCJAG00000058605,ENSCJAT00000106963,Y_RNA,
ENSCJAG00000040786,ENSCJAT00000070432,Y_RNA,
ENSCJAG00000016358,ENSCJAT00000031832,KLHL22,KLHL22
ENSCJAG00000016327,ENSCJAT00000031800,SCARF2,SCARF2
ENSCJAG00000054171,ENSCJAT00000090942,cja-mir-9965,
ENSCJAG00000039090,ENSCJAT00000083796,U6,
ENSCJAG00000051713,ENSCJAT00000110161,ZNF74,ZNF74
ENSCJAG00000045381,ENSCJAT00000076075,MGAT3,MGAT3
ENSCJAG00000045381,ENSCJAT00000098302,MGAT3,MGAT3
ENSCJAG00000067347,ENSCJAT00000103394,Metazoa_SRP,
ENSCJAG00000016297,ENSCJAT00000031726,TAB1,TAB1
ENSCJAG00000016297,ENSCJAT00000083273,TAB1,TAB1
ENSCJAG00000016297,ENSCJAT00000078053,TAB1,TAB1
ENSCJAG00000016297,ENSCJAT00000067606,TAB1,TAB1
ENSCJAG00000016297,ENSCJAT00000074025,TAB1,TAB1
ENSCJAG00000016297,ENSCJAT00000031685,TAB1,TAB1
ENSCJAG00000016297,ENSCJAT00000078259,TAB1,TAB1
ENSCJAG00000016297,ENSCJAT00000076681,TAB1,TAB1
ENSCJAG00000044673,ENSCJAT00000079967,,
ENSCJAG00000060133,ENSCJAT00000092105,,
ENSCJAG00000063340,ENSCJAT00000102253,,
ENSCJAG00000066595,ENSCJAT00000112639,,
ENSCJAG00000066595,ENSCJAT00000108832,,
ENSCJAG00000059400,ENSCJAT00000104101,,
ENSCJAG00000059400,ENSCJAT00000091776,,
ENSCJAG00000059106,ENSCJAT00000096438,,
ENSCJAG00000053091,ENSCJAT00000099479,,
ENSCJAG00000061014,ENSCJAT00000069839,OR2S2,OR2S2
ENSCJAG00000066416,ENSCJAT00000090397,,
ENSCJAG00000066821,ENSCJAT00000103906,Metazoa_SRP,
ENSCJAG00000045403,ENSCJAT00000078067,SPAAR,SPAAR
ENSCJAG00000049013,ENSCJAT00000098730,,
ENSCJAG00000049013,ENSCJAT00000086836,,
ENSCJAG00000049013,ENSCJAT00000094042,,
ENSCJAG00000042721,ENSCJAT00000077310,5S_rRNA,
ENSCJAG00000046862,ENSCJAT00000081451,RNU6ATAC,RNU6ATAC
ENSCJAG00000046175,ENSCJAT00000065195,U5,
ENSCJAG00000066804,ENSCJAT00000093495,,
ENSCJAG00000062051,ENSCJAT00000101845,HRCT1,HRCT1
ENSCJAG00000057099,ENSCJAT00000106744,,
ENSCJAG00000057099,ENSCJAT00000116654,,
ENSCJAG00000055675,ENSCJAT00000101062,Metazoa_SRP,
ENSCJAG00000058778,ENSCJAT00000091672,Metazoa_SRP,
ENSCJAG00000058656,ENSCJAT00000113996,,
ENSCJAG00000065388,ENSCJAT00000098409,OR13J1,OR13J1
ENSCJAG00000022053,ENSCJAT00000043038,,
ENSCJAG00000047809,ENSCJAT00000074618,Metazoa_SRP,
ENSCJAG00000053478,ENSCJAT00000111542,U6,
ENSCJAG00000011279,ENSCJAT00000021945,,
ENSCJAG00000011279,ENSCJAT00000112743,,
ENSCJAG00000058451,ENSCJAT00000102286,Metazoa_SRP,
ENSCJAG00000062290,ENSCJAT00000113491,,
ENSCJAG00000046635,ENSCJAT00000077728,Metazoa_SRP,
ENSCJAG00000055865,ENSCJAT00000108338,U4,
ENSCJAG00000052266,ENSCJAT00000106548,,
ENSCJAG00000057090,ENSCJAT00000116584,,
ENSCJAG00000055187,ENSCJAT00000097929,,
ENSCJAG00000042809,ENSCJAT00000080335,KCNV2,KCNV2
ENSCJAG00000052397,ENSCJAT00000093398,,
ENSCJAG00000066569,ENSCJAT00000111622,U4,
ENSCJAG00000069140,ENSCJAT00000093274,Y_RNA,
ENSCJAG00000022900,ENSCJAT00000043885,,
ENSCJAG00000029127,ENSCJAT00000050112,U8,
ENSCJAG00000061058,ENSCJAT00000103092,U7,
ENSCJAG00000040530,ENSCJAT00000079885,,
ENSCJAG00000034741,ENSCJAT00000061876,Y_RNA,
ENSCJAG00000065381,ENSCJAT00000106569,Y_RNA,
ENSCJAG00000009816,ENSCJAT00000019077,ARFGAP3,ARFGAP3
ENSCJAG00000009816,ENSCJAT00000062047,ARFGAP3,ARFGAP3
ENSCJAG00000056743,ENSCJAT00000113107,,
ENSCJAG00000056743,ENSCJAT00000091934,,
ENSCJAG00000060610,ENSCJAT00000104760,U6,
ENSCJAG00000064361,ENSCJAT00000113958,Metazoa_SRP,
ENSCJAG00000021951,ENSCJAT00000042936,,
ENSCJAG00000059131,ENSCJAT00000116930,,
ENSCJAG00000058319,ENSCJAT00000107040,Metazoa_SRP,
ENSCJAG00000037433,ENSCJAT00000037101,CLEC6A,CLEC6A
ENSCJAG00000039297,ENSCJAT00000070869,Y_RNA,
ENSCJAG00000041430,ENSCJAT00000083961,ZDHHC21,ZDHHC21
ENSCJAG00000059955,ENSCJAT00000100728,Metazoa_SRP,
ENSCJAG00000003536,ENSCJAT00000006766,,
ENSCJAG00000039443,ENSCJAT00000073632,ALG2,ALG2
ENSCJAG00000057348,ENSCJAT00000112357,GADD45G,GADD45G
ENSCJAG00000057348,ENSCJAT00000101938,GADD45G,GADD45G
ENSCJAG00000053107,ENSCJAT00000104502,,
ENSCJAG00000053107,ENSCJAT00000107284,,
ENSCJAG00000010090,ENSCJAT00000085646,TMEM8B,TMEM8B
ENSCJAG00000010090,ENSCJAT00000095768,TMEM8B,TMEM8B
ENSCJAG00000010090,ENSCJAT00000019683,TMEM8B,TMEM8B
ENSCJAG00000052688,ENSCJAT00000108638,Metazoa_SRP,
ENSCJAG00000067606,ENSCJAT00000089545,,
ENSCJAG00000065045,ENSCJAT00000107902,,
ENSCJAG00000065045,ENSCJAT00000095616,,
ENSCJAG00000005072,ENSCJAT00000009789,POLR3H,POLR3H
ENSCJAG00000005072,ENSCJAT00000084019,POLR3H,POLR3H
ENSCJAG00000041513,ENSCJAT00000085770,Metazoa_SRP,
ENSCJAG00000060588,ENSCJAT00000108110,,
ENSCJAG00000060588,ENSCJAT00000110364,,
ENSCJAG00000060588,ENSCJAT00000089200,,
ENSCJAG00000060588,ENSCJAT00000107753,,
ENSCJAG00000060588,ENSCJAT00000114134,,
ENSCJAG00000060588,ENSCJAT00000098897,,
ENSCJAG00000013831,ENSCJAT00000027082,EIF3D,EIF3D
ENSCJAG00000013831,ENSCJAT00000053467,EIF3D,EIF3D
ENSCJAG00000056169,ENSCJAT00000107127,,
ENSCJAG00000040854,ENSCJAT00000075304,POU4F1,POU4F1
ENSCJAG00000010123,ENSCJAT00000019702,WDR5,WDR5
ENSCJAG00000010123,ENSCJAT00000099887,WDR5,WDR5
ENSCJAG00000045288,ENSCJAT00000075259,FGF14,FGF14
ENSCJAG00000045288,ENSCJAT00000073454,FGF14,FGF14
ENSCJAG00000065288,ENSCJAT00000094289,,
ENSCJAG00000008234,ENSCJAT00000016162,,
ENSCJAG00000008234,ENSCJAT00000019903,,
ENSCJAG00000054356,ENSCJAT00000105503,,
ENSCJAG00000000943,ENSCJAT00000001710,GPR152,GPR152
ENSCJAG00000053416,ENSCJAT00000071237,,
ENSCJAG00000019504,ENSCJAT00000038247,,
ENSCJAG00000066617,ENSCJAT00000098791,,
ENSCJAG00000064140,ENSCJAT00000112243,,
ENSCJAG00000061059,ENSCJAT00000095273,OBI1,OBI1
ENSCJAG00000053215,ENSCJAT00000089520,,
ENSCJAG00000018109,ENSCJAT00000035411,NIBAN2,NIBAN2
ENSCJAG00000056180,ENSCJAT00000092806,,
ENSCJAG00000069304,ENSCJAT00000043649,,
ENSCJAG00000052324,ENSCJAT00000097725,,
ENSCJAG00000060940,ENSCJAT00000093725,,
ENSCJAG00000060940,ENSCJAT00000103336,,
ENSCJAG00000065789,ENSCJAT00000094580,,
ENSCJAG00000065789,ENSCJAT00000111544,,
ENSCJAG00000057538,ENSCJAT00000109437,,
ENSCJAG00000057538,ENSCJAT00000112997,,
ENSCJAG00000063703,ENSCJAT00000107324,,
ENSCJAG00000064244,ENSCJAT00000099069,,
ENSCJAG00000059864,ENSCJAT00000098420,,
ENSCJAG00000059864,ENSCJAT00000101663,,
ENSCJAG00000007842,ENSCJAT00000015318,,
ENSCJAG00000000939,ENSCJAT00000001700,CABP4,CABP4
ENSCJAG00000054306,ENSCJAT00000105291,,
ENSCJAG00000059562,ENSCJAT00000006726,,
ENSCJAG00000062730,ENSCJAT00000113855,,
ENSCJAG00000059034,ENSCJAT00000102244,,
ENSCJAG00000011244,ENSCJAT00000021921,TGFBR1,TGFBR1
ENSCJAG00000011244,ENSCJAT00000021911,TGFBR1,TGFBR1
ENSCJAG00000011244,ENSCJAT00000076944,TGFBR1,TGFBR1
ENSCJAG00000016955,ENSCJAT00000091787,KLF4,KLF4
ENSCJAG00000016955,ENSCJAT00000032959,KLF4,KLF4
ENSCJAG00000016955,ENSCJAT00000096196,KLF4,KLF4
ENSCJAG00000016955,ENSCJAT00000077948,KLF4,KLF4
ENSCJAG00000057338,ENSCJAT00000100324,,
ENSCJAG00000053152,ENSCJAT00000106306,,
ENSCJAG00000014347,ENSCJAT00000027889,C12orf42,C12orf42
ENSCJAG00000014347,ENSCJAT00000090968,C12orf42,C12orf42
ENSCJAG00000014347,ENSCJAT00000107551,C12orf42,C12orf42
ENSCJAG00000065933,ENSCJAT00000096790,,
ENSCJAG00000059845,ENSCJAT00000114494,,
ENSCJAG00000059845,ENSCJAT00000107688,,
ENSCJAG00000059845,ENSCJAT00000113383,,
ENSCJAG00000052435,ENSCJAT00000095560,,
ENSCJAG00000052435,ENSCJAT00000111290,,
ENSCJAG00000024191,ENSCJAT00000045176,U1,
ENSCJAG00000063809,ENSCJAT00000090411,,
ENSCJAG00000001462,ENSCJAT00000002763,TSPAN8,TSPAN8
ENSCJAG00000042771,ENSCJAT00000081411,U1,
ENSCJAG00000062592,ENSCJAT00000116773,Metazoa_SRP,
ENSCJAG00000018929,ENSCJAT00000037120,CLEC4A,CLEC4A
ENSCJAG00000018929,ENSCJAT00000057922,CLEC4A,CLEC4A
ENSCJAG00000018929,ENSCJAT00000037114,CLEC4A,CLEC4A
ENSCJAG00000018929,ENSCJAT00000083240,CLEC4A,CLEC4A
ENSCJAG00000018534,ENSCJAT00000036371,SLC22A6,SLC22A6
ENSCJAG00000013822,ENSCJAT00000026874,FOXRED2,FOXRED2
ENSCJAG00000054219,ENSCJAT00000092094,Metazoa_SRP,
ENSCJAG00000046167,ENSCJAT00000071938,Metazoa_SRP,
ENSCJAG00000065991,ENSCJAT00000103143,,
ENSCJAG00000054136,ENSCJAT00000096071,,
ENSCJAG00000068139,ENSCJAT00000113029,,
ENSCJAG00000010055,ENSCJAT00000059562,SPON1,SPON1
ENSCJAG00000060389,ENSCJAT00000114108,,
ENSCJAG00000064235,ENSCJAT00000089733,,
ENSCJAG00000019822,ENSCJAT00000038920,ASCC2,ASCC2
ENSCJAG00000019822,ENSCJAT00000056409,ASCC2,ASCC2
ENSCJAG00000066413,ENSCJAT00000090212,U1,
ENSCJAG00000066919,ENSCJAT00000108786,,
ENSCJAG00000066919,ENSCJAT00000099218,,
ENSCJAG00000061480,ENSCJAT00000111565,,
ENSCJAG00000053318,ENSCJAT00000098461,,
ENSCJAG00000053318,ENSCJAT00000110886,,
ENSCJAG00000053318,ENSCJAT00000112529,,
ENSCJAG00000067464,ENSCJAT00000105185,cja-mir-9925,
ENSCJAG00000069307,ENSCJAT00000078361,OR5B3,OR5B3
ENSCJAG00000010099,ENSCJAT00000019636,,
ENSCJAG00000010099,ENSCJAT00000019630,,
ENSCJAG00000062923,ENSCJAT00000091793,,
ENSCJAG00000068970,ENSCJAT00000100450,,
ENSCJAG00000068970,ENSCJAT00000105749,,
ENSCJAG00000068970,ENSCJAT00000102541,,
ENSCJAG00000032010,ENSCJAT00000054663,U6,
ENSCJAG00000058812,ENSCJAT00000108289,,
ENSCJAG00000038493,ENSCJAT00000067015,OR5B2,OR5B2
ENSCJAG00000008886,ENSCJAT00000017199,TIRAP,TIRAP
ENSCJAG00000055288,ENSCJAT00000099214,,
ENSCJAG00000061306,ENSCJAT00000104776,,
ENSCJAG00000026517,ENSCJAT00000047502,Y_RNA,
ENSCJAG00000006651,ENSCJAT00000012995,TUBGCP3,TUBGCP3
ENSCJAG00000006651,ENSCJAT00000108770,TUBGCP3,TUBGCP3
ENSCJAG00000006651,ENSCJAT00000012985,TUBGCP3,TUBGCP3
ENSCJAG00000038174,ENSCJAT00000068030,,
ENSCJAG00000006905,ENSCJAT00000077257,B4GALNT1,B4GALNT1
ENSCJAG00000006905,ENSCJAT00000075311,B4GALNT1,B4GALNT1
ENSCJAG00000006905,ENSCJAT00000013494,B4GALNT1,B4GALNT1
ENSCJAG00000006905,ENSCJAT00000068628,B4GALNT1,B4GALNT1
ENSCJAG00000010772,ENSCJAT00000021205,VLDLR,VLDLR
ENSCJAG00000010772,ENSCJAT00000021194,VLDLR,VLDLR
ENSCJAG00000010772,ENSCJAT00000094350,VLDLR,VLDLR
ENSCJAG00000010772,ENSCJAT00000089539,VLDLR,VLDLR
ENSCJAG00000046145,ENSCJAT00000075957,U12,
ENSCJAG00000057422,ENSCJAT00000094169,,
ENSCJAG00000063679,ENSCJAT00000097393,,
ENSCJAG00000063679,ENSCJAT00000103538,,
ENSCJAG00000063679,ENSCJAT00000092199,,
ENSCJAG00000065168,ENSCJAT00000094059,,
ENSCJAG00000059623,ENSCJAT00000104516,Metazoa_SRP,
ENSCJAG00000016639,ENSCJAT00000032421,BRD1,BRD1
ENSCJAG00000016639,ENSCJAT00000089000,BRD1,BRD1
ENSCJAG00000016639,ENSCJAT00000112925,BRD1,BRD1
ENSCJAG00000016639,ENSCJAT00000103416,BRD1,BRD1
ENSCJAG00000016639,ENSCJAT00000069861,BRD1,BRD1
ENSCJAG00000063436,ENSCJAT00000112964,,
ENSCJAG00000063816,ENSCJAT00000101864,,
ENSCJAG00000014558,ENSCJAT00000028321,,
ENSCJAG00000014558,ENSCJAT00000028319,,
ENSCJAG00000014558,ENSCJAT00000028323,,
ENSCJAG00000057665,ENSCJAT00000109513,,
ENSCJAG00000061007,ENSCJAT00000092097,,
ENSCJAG00000026196,ENSCJAT00000047181,U6,
ENSCJAG00000067275,ENSCJAT00000091178,,
ENSCJAG00000051608,ENSCJAT00000096986,,
ENSCJAG00000043995,ENSCJAT00000071740,,
ENSCJAG00000019669,ENSCJAT00000038575,,
ENSCJAG00000014345,ENSCJAT00000056203,ASCL1,ASCL1
ENSCJAG00000002776,ENSCJAT00000005362,FGD6,FGD6
ENSCJAG00000002776,ENSCJAT00000078131,FGD6,FGD6
ENSCJAG00000061943,ENSCJAT00000094455,,
ENSCJAG00000007883,ENSCJAT00000055867,SEMA4D,SEMA4D
ENSCJAG00000007883,ENSCJAT00000015415,SEMA4D,SEMA4D
ENSCJAG00000007883,ENSCJAT00000101275,SEMA4D,SEMA4D
ENSCJAG00000051777,ENSCJAT00000093664,,
ENSCJAG00000069054,ENSCJAT00000093069,Metazoa_SRP,
ENSCJAG00000053843,ENSCJAT00000101075,,
ENSCJAG00000058169,ENSCJAT00000105617,,
ENSCJAG00000019495,ENSCJAT00000038241,PLEKHG7,PLEKHG7
ENSCJAG00000019495,ENSCJAT00000038238,PLEKHG7,PLEKHG7
ENSCJAG00000019495,ENSCJAT00000112887,PLEKHG7,PLEKHG7
ENSCJAG00000064641,ENSCJAT00000088708,U2,
ENSCJAG00000010080,ENSCJAT00000019581,FAM221B,FAM221B
ENSCJAG00000010080,ENSCJAT00000116321,FAM221B,FAM221B
ENSCJAG00000056947,ENSCJAT00000117221,Metazoa_SRP,
ENSCJAG00000054464,ENSCJAT00000106999,,
ENSCJAG00000055012,ENSCJAT00000114226,U6,
ENSCJAG00000041845,ENSCJAT00000073737,U8,
ENSCJAG00000065934,ENSCJAT00000104860,,
ENSCJAG00000004536,ENSCJAT00000109842,,
ENSCJAG00000004536,ENSCJAT00000057377,,
ENSCJAG00000004536,ENSCJAT00000008769,,
ENSCJAG00000066863,ENSCJAT00000114009,,
ENSCJAG00000003547,ENSCJAT00000006793,RASEF,RASEF
ENSCJAG00000040842,ENSCJAT00000107345,RRAS2,RRAS2
ENSCJAG00000040842,ENSCJAT00000077492,RRAS2,RRAS2
ENSCJAG00000057768,ENSCJAT00000112363,,
ENSCJAG00000057768,ENSCJAT00000102260,,
ENSCJAG00000057345,ENSCJAT00000099164,U4,
ENSCJAG00000059454,ENSCJAT00000091584,,
ENSCJAG00000059454,ENSCJAT00000107130,,
ENSCJAG00000018088,ENSCJAT00000078420,LRSAM1,LRSAM1
ENSCJAG00000018088,ENSCJAT00000035349,LRSAM1,LRSAM1
ENSCJAG00000018088,ENSCJAT00000102201,LRSAM1,LRSAM1
ENSCJAG00000018088,ENSCJAT00000109782,LRSAM1,LRSAM1
ENSCJAG00000000933,ENSCJAT00000001694,TMEM134,TMEM134
ENSCJAG00000000933,ENSCJAT00000001692,TMEM134,TMEM134
ENSCJAG00000063631,ENSCJAT00000089883,,
ENSCJAG00000014466,ENSCJAT00000028121,TMEM126A,TMEM126A
ENSCJAG00000048269,ENSCJAT00000043370,,
ENSCJAG00000002286,ENSCJAT00000075368,SLC25A45,SLC25A45
ENSCJAG00000002286,ENSCJAT00000090128,SLC25A45,SLC25A45
ENSCJAG00000002286,ENSCJAT00000004352,SLC25A45,SLC25A45
ENSCJAG00000002286,ENSCJAT00000004359,SLC25A45,SLC25A45
ENSCJAG00000051439,ENSCJAT00000116385,,
ENSCJAG00000056892,ENSCJAT00000095104,Metazoa_SRP,
ENSCJAG00000062438,ENSCJAT00000106537,,
ENSCJAG00000005004,ENSCJAT00000009764,ACO2,ACO2
ENSCJAG00000005004,ENSCJAT00000009755,ACO2,ACO2
ENSCJAG00000010403,ENSCJAT00000020319,KIAA1549L,KIAA1549L
ENSCJAG00000010403,ENSCJAT00000110128,KIAA1549L,KIAA1549L
ENSCJAG00000010403,ENSCJAT00000020309,KIAA1549L,KIAA1549L
ENSCJAG00000010403,ENSCJAT00000112033,KIAA1549L,KIAA1549L
