Taxonomy_node_ID	clusterName	Markers	Comment
CS201912132_68	Exc RORB HACL1	entrez:100405410|entrez:100385052	
CS201912132_57	Exc RORB KNL1	entrez:100405410|entrez:100412512	
CS201912132_54	Exc RORB LOC108588466	entrez:100405410|entrez:108588466	LOC108588466 not in ensembl
CS201912132_61	Exc RORB LOC108593203	entrez:100405410|entrez:108593203	LOC108593203 not in ensembl
CS201912132_56	Exc RORB NDST3	entrez:100405410|entrez:100394816	
CS201912132_66	Exc RORB PPA2	entrez:100405410|entrez:100392515	
CS201912132_55	Exc RORB SERPINE2	entrez:100405410|entrez:100411540	
CS201912132_65	Exc RORB SLC38A11	entrez:100405410|entrez:100397271	
CS201912132_64	Exc RORB USH1C	entrez:100405410|entrez:100386444	
CS201912132_53	Exc THEMIS ANO3	entrez:100403177|entrez:100392835	
CS201912132_70	Exc THEMIS ARL13B	entrez:100403177|entrez:100413286	
CS201912132_60	Exc THEMIS COBL	entrez:100403177|entrez:100404295	
CS201912132_59	Exc THEMIS KCTD16	entrez:100403177|entrez:100396249	
CS201912132_87	Glia SLC1A3 FBLN5	entrez:100392828	
CS201912132_14	Inh GAD1 LOC108589948	entrez:100411537|entrez:108589948	LOC108589948 not in ensembl
CS201912132_17	Inh GAD1 NPSR1	entrez:100411537|entrez:100415735	
CS201912132_13	Inh GAD1 PCP4	entrez:100411537|entrez:100402813	
CS201912132_2	Inh LAMP5 COL5A2	entrez:100410437|entrez:100394853	
CS201912132_6	Inh LAMP5 LOC108591196	entrez:100410437|entrez:108591196	LOC108591196 not in ensembl
CS201912132_3	Inh LAMP5 TOX2	entrez:100410437|entrez:100400741	
CS201912132_4	Inh LAMP5 TRPC6	entrez:100410437|entrez:100395510	
CS201912132_5	Inh LAMP5 WWP1	entrez:100410437|entrez:100400473	
CS201912132_9	Inh PAX6 ANKRD6	entrez:100404923|entrez:103788711	
CS201912132_12	Inh PAX6 CDH4	entrez:100404923|entrez:100390248	
CS201912132_7	Inh PAX6 HMBOX1	entrez:100404923|entrez:100394786	
CS201912132_48	Inh PVALB ADAMTS3	entrez:100390686|entrez:100393613	
CS201912132_46	Inh PVALB C8H7orf62	entrez:100390686|entrez:103794860	C8H7orf62 not in ensembl
CS201912132_52	Inh PVALB FAM19A4	entrez:100390686|entrez:100399505	
CS201912132_45	Inh PVALB GSTK1	entrez:100390686|entrez:100403214	
CS201912132_51	Inh PVALB KLHL29	entrez:100390686|entrez:100388989	
CS201912132_44	Inh PVALB LOC103789439	entrez:100390686|entrez:103789439	LOC103789439 not in ensembl
CS201912132_42	Inh PVALB LOC103790362	entrez:100390686|entrez:103790362	LOC103790362 not in ensembl
CS201912132_43	Inh PVALB OSBP2	entrez:100390686|entrez:100394197	
CS201912132_41	Inh PVALB OTOGL	entrez:100390686|entrez:100390046	
CS201912132_50	Inh PVALB PCDH19	entrez:100390686|entrez:100398114	
CS201912132_49	Inh PVALB SST EYS	entrez:100390686|entrez:100412902|entrez:100400628	
CS201912132_47	Inh PVALB SST LRRC6	entrez:100390686|entrez:100412902|entrez:100403018	
CS201912132_11	Inh SNCG CNTN4	entrez:100401551|entrez:100412547	
CS201912132_18	Inh SNCG LOC108587895	entrez:100401551|entrez:108587895	LOC108587895 not in ensembl
CS201912132_8	Inh SNCG PLPPR1	entrez:100401551|entrez:100391157	
CS201912132_34	Inh SST ABI3BP	entrez:100412902|entrez:100393956	
CS201912132_38	Inh SST AIM1	entrez:100412902|entrez:100406444	
CS201912132_33	Inh SST CBLN4	entrez:100412902|entrez:100397008	
CS201912132_31	Inh SST KIRREL3	entrez:100412902|entrez:100408195	
CS201912132_29	Inh SST LOC103788138	entrez:100412902|entrez:103788138	LOC103788138 not in ensembl
CS201912132_32	Inh SST LOC103788660	entrez:100412902|entrez:103788660	LOC103788660 not in ensembl
CS201912132_28	Inh SST LOC108588801	entrez:100412902|entrez:108588801	LOC108588801 not in ensembl
CS201912132_27	Inh SST LOC108589054	entrez:100412902|entrez:108589054	LOC108589054 not in ensembl
CS201912132_37	Inh SST LTBP1	entrez:100412902|entrez:100404471	
CS201912132_30	Inh SST MPP5	entrez:100412902|entrez:100398752	
CS201912132_36	Inh SST P4HA1	entrez:100412902|entrez:100393458	
CS201912132_40	Inh SST PCSK5	entrez:100412902|entrez:100399969	
CS201912132_35	Inh SST TMEFF2	entrez:100412902|entrez:100406837	
CS201912132_39	Inh SST VAPA	entrez:100412902|entrez:100394296	
CS201912132_24	Inh VIP CIT	entrez:100386986|entrez:100403341	
CS201912132_10	Inh VIP CYP19A1	entrez:100386986|entrez:100411557	
CS201912132_20	Inh VIP FIGN	entrez:100386986|entrez:100390875	
CS201912132_21	Inh VIP GPR149	entrez:100386986|entrez:100388643	
CS201912132_16	Inh VIP LOC100397259	entrez:100386986|entrez:100397259	LOC100397259 not in ensembl
CS201912132_22	Inh VIP LOC108588071	entrez:100386986|entrez:108588071	LOC108588071 not in ensembl
CS201912132_25	Inh VIP LOC108588539	entrez:100386986|entrez:108588539	LOC108588539 not in ensembl
CS201912132_19	Inh VIP LOC108589153	entrez:100386986|entrez:108589153	LOC108589153 not in ensembl
CS201912132_15	Inh VIP THSD7B	entrez:100386986|entrez:100391230	
CS201912132_23	Inh VIP VAT1L	entrez:100386986|entrez:100414966	
CS201912132_78	OPC PDGFRA VCAN	entrez:100412331|entrez:100402664	
CS201912132_83	Oligo OPALIN LOC103790018	entrez:100404930|entrez:103790018	LOC103790018 not in ensembl
CS201912132_84	Oligo OPALIN MOBP	entrez:100404930|entrez:100392144	
CS201912132_69	Oligo SLC1A3 LOC103793418	entrez:100408230|entrez:103793418	 LOC103793418 not in ensembl
CS201912132_88	Peri SLC1A3 CHST3	entrez:100398765	
CS201912132_89	Peri SLC1A3 EPSTI1	entrez:100401749	
CS201912132_90	VLMC PDGFRA C7	entrez:100412331|entrez:100385053	
CS201912132_91	VLMC SLC1A3 CEMIP	entrez:100408230|entrez:100406710	
CS201912132_92	VLMC SLC1A3 SLC13A3	entrez:100408230|entrez:100387605	
CS201912132_93	VLMC SLC1A3 SLC47A1	entrez:100399056	
