cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
L5 NP Slc17a8 (2),L5 NP Slc17a8 (2),SCF 27,CS202002011_27,,SCF-ENS2-C7_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 NP Slc17a8 (1),L5 NP Slc17a8 (1),SCF 28,CS202002011_28,,SCF-ENS2-C7_2_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 NP Trh,L6 NP Trh,SCF 29,CS202002011_29,,SCF-ENS2-C7_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6b Shisa6 (1),L6b Shisa6 (1),SCF 30,CS202002011_30,,SCF-ENS2-C8_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6b Shisa6 (2),L6b Shisa6 (2),SCF 31,CS202002011_31,,SCF-ENS2-C8_1_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6b Ror1,L6b Ror1,SCF 32,CS202002011_32,,SCF-ENS2-C8_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6b Kcnip1 (2),L6b Kcnip1 (2),SCF 33,CS202002011_33,,SCF-ENS2-C8_3_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6b Kcnip1 (1),L6b Kcnip1 (1),SCF 34,CS202002011_34,,SCF-ENS2-C8_3_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Pvalb Reln,Pvalb Reln,SCF 35,CS202002011_35,,SCF-ENS2-C5_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Pvalb Calb1,Pvalb Calb1,SCF 36,CS202002011_36,,SCF-ENS2-C5_1_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Pvalb Gabrg1,Pvalb Gabrg1,SCF 37,CS202002011_37,,SCF-ENS2-C5_4_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Pvalb Vipr2,Pvalb Vipr2,SCF 38,CS202002011_38,Chandelier,SCF-ENS2-C5_5_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Myh8,Sst Myh8,SCF 39,CS202002011_39,,SCF-ENS2-C5_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Crhr2 (1),Sst Crhr2 (1),SCF 40,CS202002011_40,,SCF-ENS2-C5_2_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Crhr2 (2),Sst Crhr2 (2),SCF 41,CS202002011_41,,SCF-ENS2-C5_2_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Calb2,Sst Calb2,SCF 42,CS202002011_42,,SCF-ENS2-C5_3_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Hspe,Sst Hspe,SCF 43,CS202002011_43,,SCF-ENS2-C5_3_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Chodl,Sst Chodl,SCF 44,CS202002011_44,Sst Chodl,SCF-ENS2-C10_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Slc35d3,Lamp5 Slc35d3,SCF 45,CS202002011_45,,SCF-ENS2-C6_2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Pdlim5,Lamp5 Pdlim5,SCF 46,CS202002011_46,,SCF-ENS2-C6_4_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Pax6,Lamp5 Pax6,SCF 47,CS202002011_47,,SCF-ENS2-C6_4_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Lhx6,Lamp5 Lhx6,SCF 48,CS202002011_48,Lamp5 Lhx6,SCF-ENS2-C6_6_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sncg Col14a1,Sncg Col14a1,SCF 49,CS202002011_49,,SCF-ENS2-C6_5_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sncg Npy2r,Sncg Npy2r,SCF 50,CS202002011_50,,SCF-ENS2-C6_5_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Vip Serpinf1,Vip Serpinf1,SCF 51,CS202002011_51,,SCF-ENS2-C6_5_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Vip Chat,Vip Chat,SCF 52,CS202002011_52,,SCF-ENS2-C6_1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Vip Crispld2,Vip Crispld2,SCF 53,CS202002011_53,,SCF-ENS2-C6_1_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Vip Gpc3,Vip Gpc3,SCF 54,CS202002011_54,,SCF-ENS2-C6_3_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Vip Htr1f,Vip Htr1f,SCF 55,CS202002011_55,,SCF-ENS2-C6_3_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Vip Igfbp6,Vip Igfbp6,SCF 56,CS202002011_56,,SCF-ENS2-C6_3_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L2/3 IT (1_2) [level 1],L2/3 IT (1_2) [level 1],SCF 57,CS202002011_57,,SCF-ENS1-C4_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L2/3 IT (3_5) [level 1],L2/3 IT (3_5) [level 1],SCF 58,CS202002011_58,,SCF-ENS1-C4_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L4/5 IT (1) [level 1],L4/5 IT (1) [level 1],SCF 59,CS202002011_59,,SCF-ENS1-C1_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L4/5 IT (2_3) [level 1],L4/5 IT (2_3) [level 1],SCF 60,CS202002011_60,,SCF-ENS1-C1_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 IT [level 1],L5 IT [level 1],SCF 61,CS202002011_61,,SCF-ENS1-C3_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6(5) IT [level 1],L6(5) IT [level 1],SCF 62,CS202002011_62,,SCF-ENS1-C3_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 IT Car3 [level 1],L6 IT Car3 [level 1],SCF 63,CS202002011_63,,SCF-ENS1-C3_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 ET (1) [level 1],L5 ET (1) [level 1],SCF 64,CS202002011_64,,SCF-ENS1-C9_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 ET (2_3) [level 1],L5 ET (2_3) [level 1],SCF 65,CS202002011_65,,SCF-ENS1-C9_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Cpa6 [level 1],L6 CT Cpa6 [level 1],SCF 66,CS202002011_66,,SCF-ENS1-C2_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Cpa6_Gpr139 [level 1],L6 CT Cpa6_Gpr139 [level 1],SCF 67,CS202002011_67,,SCF-ENS1-C2_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6 CT Nxph2 [level 1],L6 CT Nxph2 [level 1],SCF 68,CS202002011_68,,SCF-ENS1-C2_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5/6 NP [level 1],L5/6 NP [level 1],SCF 69,CS202002011_69,,SCF-ENS1-C7_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L5 NP Slc17a8 [level 1],L5 NP Slc17a8 [level 1],SCF 70,CS202002011_70,,SCF-ENS1-C7_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6b Shisa6 [level 1],L6b Shisa6 [level 1],SCF 71,CS202002011_71,,SCF-ENS1-C8_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6b Ror1 [level 1],L6b Ror1 [level 1],SCF 72,CS202002011_72,,SCF-ENS1-C8_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
L6b Kcnip1 [level 1],L6b Kcnip1 [level 1],SCF 73,CS202002011_73,,SCF-ENS1-C8_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Pvalb Reln_Calb1 [level 1],Pvalb Reln_Calb1 [level 1],SCF 74,CS202002011_74,,SCF-ENS1-C5_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Pvalb Gabrg1 [level 1],Pvalb Gabrg1 [level 1],SCF 75,CS202002011_75,,SCF-ENS1-C5_4,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Pvalb Vipr2 [level 1],Pvalb Vipr2 [level 1],SCF 76,CS202002011_76,,SCF-ENS1-C5_5,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Myh8_Crhr2 [level 1],Sst Myh8_Crhr2 [level 1],SCF 77,CS202002011_77,,SCF-ENS1-C5_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Calb2_Hspe [level 1],Sst Calb2_Hspe [level 1],SCF 78,CS202002011_78,,SCF-ENS1-C5_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sst Chodl [level 1],Sst Chodl [level 1],SCF 79,CS202002011_79,,SCF-ENS1-C10_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Slc35d3 [level 1],Lamp5 Slc35d3 [level 1],SCF 80,CS202002011_80,,SCF-ENS1-C6_2,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Pdlim5_Pax6 [level 1],Lamp5 Pdlim5_Pax6 [level 1],SCF 81,CS202002011_81,,SCF-ENS1-C6_4,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Lhx6 [level 1],Lamp5 Lhx6 [level 1],SCF 82,CS202002011_82,,SCF-ENS1-C6_6,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Sncg  [level 1],Sncg  [level 1],SCF 83,CS202002011_83,,SCF-ENS1-C6_5,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Vip Chat_Crispld2 [level 1],Vip Chat_Crispld2 [level 1],SCF 84,CS202002011_84,,SCF-ENS1-C6_1,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Vip Gpc3_Htr1f_lgfbp6 [level 1],Vip Gpc3_Htr1f_lgfbp6 [level 1],SCF 85,CS202002011_85,,SCF-ENS1-C6_3,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,
Glutamatergic,Glutamatergic,SCF 01-34,CS202002011_86,Neuronal: Glutamatergic,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_1|CS202002011_2|CS202002011_3|CS202002011_4|CS202002011_5|CS202002011_6|CS202002011_7|CS202002011_8|CS202002011_9|CS202002011_10|CS202002011_11|CS202002011_12|CS202002011_13|CS202002011_14|CS202002011_15|CS202002011_16|CS202002011_17|CS202002011_18|CS202002011_19|CS202002011_20|CS202002011_21|CS202002011_22|CS202002011_23|CS202002011_24|CS202002011_25|CS202002011_26|CS202002011_27|CS202002011_28|CS202002011_29|CS202002011_30|CS202002011_31|CS202002011_32|CS202002011_33|CS202002011_34
IT projecting,IT projecting,SCF 01-13,CS202002011_87,IT projecting,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_1|CS202002011_2|CS202002011_3|CS202002011_4|CS202002011_5|CS202002011_6|CS202002011_7|CS202002011_8|CS202002011_9|CS202002011_10|CS202002011_11|CS202002011_12|CS202002011_13
Non-IT projecting,Non-IT projecting,SCF 14-34,CS202002011_88,Non-IT projecting,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_14|CS202002011_15|CS202002011_16|CS202002011_17|CS202002011_18|CS202002011_19|CS202002011_20|CS202002011_21|CS202002011_22|CS202002011_23|CS202002011_24|CS202002011_25|CS202002011_26|CS202002011_27|CS202002011_28|CS202002011_29|CS202002011_30|CS202002011_31|CS202002011_32|CS202002011_33|CS202002011_34
GABAergic,GABAergic,SCF 35-56,CS202002011_89,Neuronal: GABAergic,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_35|CS202002011_36|CS202002011_37|CS202002011_38|CS202002011_39|CS202002011_40|CS202002011_41|CS202002011_42|CS202002011_43|CS202002011_44|CS202002011_45|CS202002011_46|CS202002011_47|CS202002011_48|CS202002011_49|CS202002011_50|CS202002011_51|CS202002011_52|CS202002011_53|CS202002011_54|CS202002011_55|CS202002011_56
CGE/PoA,CGE/PoA,SCF 45-56,CS202002011_90,CGE/PoA,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_45|CS202002011_46|CS202002011_47|CS202002011_48|CS202002011_49|CS202002011_50|CS202002011_51|CS202002011_52|CS202002011_53|CS202002011_54|CS202002011_55|CS202002011_56
MGE,MGE,SCF 35-44,CS202002011_91,MGE,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_35|CS202002011_36|CS202002011_37|CS202002011_38|CS202002011_39|CS202002011_40|CS202002011_41|CS202002011_42|CS202002011_43|CS202002011_44
L2/3 IT,L2/3 IT,SCF 01-05,CS202002011_92,L2/3 IT,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_1|CS202002011_2|CS202002011_3|CS202002011_4|CS202002011_5
L4/5 IT,L4/5 IT,SCF 06-08,CS202002011_93,L4/5 IT,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_6|CS202002011_7|CS202002011_8
L5 IT,L5 IT,SCF 09-11,CS202002011_94,L5 IT,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_9|CS202002011_10|CS202002011_11
L5 ET,L5 ET,SCF 14-16,CS202002011_95,L5 ET,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_14|CS202002011_15|CS202002011_16
L6 CT,L6 CT,SCF 17-25,CS202002011_96,L6 CT,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_17|CS202002011_18|CS202002011_19|CS202002011_20|CS202002011_21|CS202002011_22|CS202002011_23|CS202002011_24|CS202002011_25
L6 CT Cpa6,L6 CT Cpa6,"SCF 17-20, 22",CS202002011_97,,RNAseq 076 in CCN202002013,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_17|CS202002011_18|CS202002011_19|CS202002011_20|CS202002011_22
L6 CT Nxph2 Pou3f2,L6 CT Nxph2 Pou3f2,SCF 23-24,CS202002011_98,,RNAseq 078 in CCN202002013,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_23|CS202002011_24
L5/6 NP,L5/6 NP,SCF 26-29,CS202002011_99,L5/6 NP,,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_26|CS202002011_27|CS202002011_28|CS202002011_29
L5 NP Slc17a8,L5 NP Slc17a8,SCF 27-28,CS202002011_100,,RNAseq 086-087 in CCN202002013,Eran Mukamel,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002011,Mouse,RNAseq|ATACseq|DNAm,CS202002011_27|CS202002011_28
