cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Inh L1-3 SST LOC392232,Inh L1-3 SST LOC392232,ATACseq 11,CS202002273_11,,"RNAseq 047, 068 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1-3 SST LOC105379168,Inh L1-3 SST LOC105379168,ATACseq 12,CS202002273_12,,RNAseq 050-052 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L5-6 SST EBPL,Inh L5-6 SST EBPL,ATACseq 13,CS202002273_13,,"RNAseq 053-054, 058 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L5-6 PVALB GULP1,Inh L5-6 PVALB GULP1,ATACseq 14,CS202002273_14,,"RNAseq 059, 069-071 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L5-6 PVALB LINC01057,Inh L5-6 PVALB LINC01057,ATACseq 15,CS202002273_15,,"RNAseq 060, 062 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L3-5 PVALB ISG20,Inh L3-5 PVALB ISG20,ATACseq 16,CS202002273_16,,RNAseq 061 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L2-5 PVALB LOC105376919,Inh L2-5 PVALB LOC105376919,ATACseq 17,CS202002273_17,,RNAseq 063-067 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Inh L1-6 PVALB COL15A1,Inh L1-6 PVALB COL15A1,ATACseq 18,CS202002273_18,Chandelier,RNAseq 072 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L2 LAMP5 KCNG3,Exc L2 LAMP5 KCNG3,ATACseq 19,CS202002273_19,,RNAseq 073 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L2 LINC00507 ATP7B,Exc L2 LINC00507 ATP7B,ATACseq 20,CS202002273_20,,RNAseq 074 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L2 LINC00507 GLRA3,Exc L2 LINC00507 GLRA3,ATACseq 21,CS202002273_21,,RNAseq 075 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L2-3 RORB RTKN2,Exc L2-3 RORB RTKN2,ATACseq 22,CS202002273_22,,RNAseq 076 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L2-3 LINC00507 DSG3,Exc L2-3 LINC00507 DSG3,ATACseq 23,CS202002273_23,,RNAseq 077 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L3 LAMP5 MIR3976HG,Exc L3 LAMP5 MIR3976HG,ATACseq 24,CS202002273_24,,"RNAseq 078, 081 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L2-3 RORB VIPR2,Exc L2-3 RORB VIPR2,ATACseq 25,CS202002273_25,,"RNAseq 079-080, 083 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L3-5 RORB COL22A1,Exc L3-5 RORB COL22A1,ATACseq 26,CS202002273_26,,"RNAseq 082, 085-086, 091 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L5-6 THEMIS TMEM18,Exc L5-6 THEMIS TMEM18,ATACseq 27,CS202002273_27,,"RNAseq 084, 088, 092 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L3-5 RORB LOC105374972,Exc L3-5 RORB LOC105374972,ATACseq 28,CS202002273_28,,"RNAseq 087, 089-090 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L6 THEMIS LINC00343,Exc L6 THEMIS LINC00343,ATACseq 29,CS202002273_29,L6 IT,RNAseq 093-095 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L5-6 THEMIS SMYD1,Exc L5-6 THEMIS SMYD1,ATACseq 30,CS202002273_30,L6 IT Car3,RNAseq 096 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L5-6 FEZF2 LOC105376596,Exc L5-6 FEZF2 LOC105376596,ATACseq 31,CS202002273_31,L6 CT,"RNAseq 097-099, 101-102 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L5-6 FEZF2 C9orf135-AS1,Exc L5-6 FEZF2 C9orf135-AS1,ATACseq 32,CS202002273_32,,RNAseq 100 in CCN201912131|L6 CT_2,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L6 FEZF2 NPFFR2,Exc L6 FEZF2 NPFFR2,ATACseq 33,CS202002273_33,L6b,RNAseq 103-108 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L3-5 FEZF2 LOC101929352,Exc L3-5 FEZF2 LOC101929352,ATACseq 34,CS202002273_34,L5 ET,RNAseq 109-111 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Exc L5-6 FEZF2 NPSR1-AS1,Exc L5-6 FEZF2 NPSR1-AS1,ATACseq 35,CS202002273_35,L5/6 NP,RNAseq 112-116 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
OPC L1-6 PDGFRA COL20A1,OPC L1-6 PDGFRA COL20A1,ATACseq 36,CS202002273_36,OPC,RNAseq 118 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Oligo L2-6 OPALIN LOC101927459,Oligo L2-6 OPALIN LOC101927459,ATACseq 37,CS202002273_37,,"RNAseq 117, 120  in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Oligo L3-6 SLC1A3 LOC100506725,Oligo L3-6 SLC1A3 LOC100506725,ATACseq 38,CS202002273_38,,"RNAseq 119, 121 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Astro L1-6 FGFR3 AQP1,Astro L1-6 FGFR3 AQP1,ATACseq 39,CS202002273_39,,"RNAseq 122, 124 in CCN201912131",Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Astro L1 FGFR3 SERPINI2,Astro L1 FGFR3 SERPINI2,ATACseq 40,CS202002273_40,,RNAseq 123 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Glia L1-5 NOSTRIN MECOM,Glia L1-5 NOSTRIN MECOM,ATACseq 41,CS202002273_41,,RNAseq 125-126 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Micro L1-6 TYROBP CD74,Micro L1-6 TYROBP CD74,ATACseq 42,CS202002273_42,Microglia-PVM,RNAseq 127 in CCN201912131,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,,No
Lamp5,Lamp5,"ATACseq 01, 03",CS202002273_43,Lamp5,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_1|CS202002273_3,No
Sncg,Sncg,"ATACseq 02, 04",CS202002273_44,Sncg,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_2|CS202002273_4,No
Vip,Vip,ATACseq 05-07,CS202002273_45,Vip,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_5|CS202002273_6|CS202002273_7,No
Sst,Sst,ATACseq 09-13,CS202002273_46,Sst,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_9|CS202002273_10|CS202002273_11|CS202002273_12|CS202002273_13,No
Pvalb,Pvalb,ATACseq 14-18,CS202002273_47,Pvalb,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_14|CS202002273_15|CS202002273_16|CS202002273_17|CS202002273_18,No
L2/3 IT,L2/3 IT,ATACseq 19-25,CS202002273_48,L2/3 IT,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_19|CS202002273_20|CS202002273_21|CS202002273_22|CS202002273_23|CS202002273_24|CS202002273_25,No
L5 IT,L5 IT,ATACseq 26-28,CS202002273_49,L5 IT,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_26|CS202002273_27|CS202002273_28,No
Astrocyte,Astrocyte,ATACseq 39-40,CS202002273_50,Astrocyte,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_39|CS202002273_40,No
Non-neuronal,Non-neuronal,ATACseq 36-40,CS202002273_51,Non-neuronal,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_36|CS202002273_37|CS202002273_38|CS202002273_39|CS202002273_40,No
Neuronal: GABAergic,Neuronal: GABAergic,ATACseq 01-18,CS202002273_52,Neuronal: GABAergic,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_1|CS202002273_2|CS202002273_3|CS202002273_4|CS202002273_5|CS202002273_6|CS202002273_7|CS202002273_8|CS202002273_9|CS202002273_10|CS202002273_11|CS202002273_12|CS202002273_13|CS202002273_14|CS202002273_15|CS202002273_16|CS202002273_17|CS202002273_18,No
Neuronal: Glutamatergic,Neuronal: Glutamatergic,ATACseq 19-35,CS202002273_53,Neuronal: Glutamatergic,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_19|CS202002273_20|CS202002273_21|CS202002273_22|CS202002273_23|CS202002273_24|CS202002273_25|CS202002273_26|CS202002273_27|CS202002273_28|CS202002273_29|CS202002273_30|CS202002273_31|CS202002273_32|CS202002273_33|CS202002273_34|CS202002273_35,No
Non-neural,Non-neural,ATACseq 41-42,CS202002273_54,Non-neural,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_41|CS202002273_42,No
CGE/PoA,CGE/PoA,ATACseq 01-07,CS202002273_55,CGE/PoA,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_1|CS202002273_2|CS202002273_3|CS202002273_4|CS202002273_5|CS202002273_6|CS202002273_7,No
MGE,MGE,ATACseq 08-18,CS202002273_56,MGE,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_8|CS202002273_9|CS202002273_10|CS202002273_11|CS202002273_12|CS202002273_13|CS202002273_14|CS202002273_15|CS202002273_16|CS202002273_17|CS202002273_18,No
IT projecting,IT projecting,ATACseq 19-30,CS202002273_57,IT projecting,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_19|CS202002273_20|CS202002273_21|CS202002273_22|CS202002273_23|CS202002273_24|CS202002273_25|CS202002273_26|CS202002273_27|CS202002273_28|CS202002273_29|CS202002273_30,No
Non-IT projecting,Non-IT projecting,ATACseq 31-35,CS202002273_58,Non-IT projecting,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_31|CS202002273_32|CS202002273_33|CS202002273_34|CS202002273_35,No
All cells,All cells,ATACseq 01-42,CS202002273_59,,,Blue Lake,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002273,Human,ATACseq,CS202002273_1|CS202002273_2|CS202002273_3|CS202002273_4|CS202002273_5|CS202002273_6|CS202002273_7|CS202002273_8|CS202002273_9|CS202002273_10|CS202002273_11|CS202002273_12|CS202002273_13|CS202002273_14|CS202002273_15|CS202002273_16|CS202002273_17|CS202002273_18|CS202002273_19|CS202002273_20|CS202002273_21|CS202002273_22|CS202002273_23|CS202002273_24|CS202002273_25|CS202002273_26|CS202002273_27|CS202002273_28|CS202002273_29|CS202002273_30|CS202002273_31|CS202002273_32|CS202002273_33|CS202002273_34|CS202002273_35|CS202002273_36|CS202002273_37|CS202002273_38|CS202002273_39|CS202002273_40|CS202002273_41|CS202002273_42,No
