cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
Neuronal: Glutamatergic,Neuronal: Glutamatergic,ATACseq 07-19,CS202002275_30,Neuronal: Glutamatergic,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
CGE/PoA,CGE/PoA,ATACseq 01-03,CS202002275_31,CGE/PoA,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
MGE,MGE,ATACseq 04-06,CS202002275_32,MGE,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
IT projecting,IT projecting,"ATACseq 07-14, 18",CS202002275_33,IT projecting,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
Non-IT projecting,Non-IT projecting,"ATACseq 15-17, 19",CS202002275_34,Non-IT projecting,,Blue Lake,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002275,Marmoset,ATACseq,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
