cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Exc RORB LOC108588466,Exc RORB LOC108588466,DNAm 18,CS202002274_18,L2/3 IT,RNAseq 54-56 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc THEMIS HS3ST5,Exc THEMIS HS3ST5,DNAm 19,CS202002274_19,L6 IT,RNAseq 57-60 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc RORB LOC108593203,Exc RORB LOC108593203,DNAm 20,CS202002274_20,,"RNAseq 61, 63 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc RORB ANTXR2,Exc RORB ANTXR2,DNAm 21,CS202002274_21,,"RNAseq 62, 64 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc RORB PAPSS2,Exc RORB PAPSS2,DNAm 22,CS202002274_22,,RNAseq 65 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc RORB TLL1,Exc RORB TLL1,DNAm 23,CS202002274_23,,RNAseq 66-67 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc RORB PCED1B,Exc RORB PCED1B,DNAm 24,CS202002274_24,,RNAseq 68 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc FEZF2 PIEZO2,Exc FEZF2 PIEZO2,DNAm 25,CS202002274_25,L5 ET,RNAseq 69-71 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc FEZF2 BMP5,Exc FEZF2 BMP5,DNAm 26,CS202002274_26,,RNAseq 72 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc FEZF2 NRP1,Exc FEZF2 NRP1,DNAm 27,CS202002274_27,,RNAseq 73 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc FEZF2 ARSJ,Exc FEZF2 ARSJ,DNAm 28,CS202002274_28,L6b,RNAseq 74 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc THEMIS CENPP,Exc THEMIS CENPP,DNAm 29,CS202002274_29,L6 IT Car3,RNAseq 75 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Exc FEZF2 TSHZ2,Exc FEZF2 TSHZ2,DNAm 30,CS202002274_30,L5/6 NP,RNAseq 76 in CCN201912132,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Glia SLC1A3 LOC103788313,Glia SLC1A3 LOC103788313,DNAm 31,CS202002274_31,,"RNAseq 77, 94 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Glia OPALIN ST18,Glia OPALIN ST18,DNAm 32,CS202002274_32,,"RNAseq 78, 83-84, 88-93 in CCN201912132",Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Glia RORB SLC1A2,Glia RORB SLC1A2,DNAm 33,CS202002274_33,,RNAseq 79-87 in CCN201912132|Astrocyte+Endothelial,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,,No
Lamp5,Lamp5,DNAm 01-03,CS202002274_34,Lamp5,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_1|CS202002274_2|CS202002274_3,No
Sncg,Sncg,DNAm 04-05,CS202002274_35,Sncg,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_4|CS202002274_5,No
Vip,Vip,DNAm 06-09,CS202002274_36,Vip,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_6|CS202002274_7|CS202002274_8|CS202002274_9,No
Sst,Sst,DNAm 10-12,CS202002274_37,Sst,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_10|CS202002274_11|CS202002274_12,No
Pvalb,Pvalb,DNAm 13-16,CS202002274_38,Pvalb,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_13|CS202002274_14|CS202002274_15|CS202002274_16,No
L5 IT,L5 IT,DNAm 20-24,CS202002274_39,L5 IT,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_20|CS202002274_21|CS202002274_22|CS202002274_23|CS202002274_24,No
L6 CT,L6 CT,DNAm 26-27,CS202002274_40,L6 CT,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_26|CS202002274_27,No
Neuronal: GABAergic,Neuronal: GABAergic,DNAm 01-16,CS202002274_41,Neuronal: GABAergic,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_1|CS202002274_2|CS202002274_3|CS202002274_4|CS202002274_5|CS202002274_6|CS202002274_7|CS202002274_8|CS202002274_9|CS202002274_10|CS202002274_11|CS202002274_12|CS202002274_13|CS202002274_14|CS202002274_15|CS202002274_16,No
Neuronal: Glutamatergic,Neuronal: Glutamatergic,DNAm 17-30,CS202002274_42,Neuronal: Glutamatergic,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_17|CS202002274_18|CS202002274_19|CS202002274_20|CS202002274_21|CS202002274_22|CS202002274_23|CS202002274_24|CS202002274_25|CS202002274_26|CS202002274_27|CS202002274_28|CS202002274_29|CS202002274_30,No
CGE/PoA,CGE/PoA,DNAm 01-09,CS202002274_43,CGE/PoA,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_1|CS202002274_2|CS202002274_3|CS202002274_4|CS202002274_5|CS202002274_6|CS202002274_7|CS202002274_8|CS202002274_9,No
MGE,MGE,DNAm 10-16,CS202002274_44,MGE,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_10|CS202002274_11|CS202002274_12|CS202002274_13|CS202002274_14|CS202002274_15|CS202002274_16,No
IT projecting,IT projecting,"DNAm 17-24, 29",CS202002274_45,IT projecting,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_17|CS202002274_18|CS202002274_19|CS202002274_20|CS202002274_21|CS202002274_22|CS202002274_23|CS202002274_24|CS202002274_29,No
Non-IT projecting,Non-IT projecting,"DNAm 25-28, 30",CS202002274_46,Non-IT projecting,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_25|CS202002274_26|CS202002274_27|CS202002274_28|CS202002274_30,No
All cells,All cells,DNAm 01-33,CS202002274_47,,,Wei Tian,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002274,Marmoset,DNAm,CS202002274_1|CS202002274_2|CS202002274_3|CS202002274_4|CS202002274_5|CS202002274_6|CS202002274_7|CS202002274_8|CS202002274_9|CS202002274_10|CS202002274_11|CS202002274_12|CS202002274_13|CS202002274_14|CS202002274_15|CS202002274_16|CS202002274_17|CS202002274_18|CS202002274_19|CS202002274_20|CS202002274_21|CS202002274_22|CS202002274_23|CS202002274_24|CS202002274_25|CS202002274_26|CS202002274_27|CS202002274_28|CS202002274_29|CS202002274_30|CS202002274_31|CS202002274_32|CS202002274_33,No
