cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Sst_6,Sst_6,Integrated 20,CS202002270_20,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Sst_7,Sst_7,Integrated 21,CS202002270_21,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Pvalb_1,Pvalb_1,Integrated 22,CS202002270_22,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Pvalb_2,Pvalb_2,Integrated 23,CS202002270_23,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Chandelier,Chandelier,Integrated 24,CS202002270_24,Chandelier,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L2/3 IT,L2/3 IT,Integrated 25,CS202002270_25,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L6 IT_1,L6 IT_1,Integrated 26,CS202002270_26,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L6 IT_2,L6 IT_2,Integrated 27,CS202002270_27,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L5 IT_1,L5 IT_1,Integrated 28,CS202002270_28,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L5 IT_2,L5 IT_2,Integrated 29,CS202002270_29,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L5 IT_3,L5 IT_3,Integrated 30,CS202002270_30,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L6 IT_3,L6 IT_3,Integrated 31,CS202002270_31,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L5 ET_1,L5 ET_1,Integrated 32,CS202002270_32,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L5 ET_2,L5 ET_2,Integrated 33,CS202002270_33,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L6 CT_1,L6 CT_1,Integrated 34,CS202002270_34,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L6 CT_2,L6 CT_2,Integrated 35,CS202002270_35,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L6b,L6b,Integrated 36,CS202002270_36,L6b,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L5/6 NP,L5/6 NP,Integrated 37,CS202002270_37,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
OPC,OPC,Integrated 38,CS202002270_38,OPC,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Astro_1,Astro_1,Integrated 39,CS202002270_39,,ILA / fibrous astrocyte,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Astro_2,Astro_2,Integrated 40,CS202002270_40,,Protoplasmic astrocyte,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Oligo_1,Oligo_1,Integrated 41,CS202002270_41,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Oligo_2,Oligo_2,Integrated 42,CS202002270_42,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Endo,Endo,Integrated 43,CS202002270_43,Endothelial,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
VLMC,VLMC,Integrated 44,CS202002270_44,VLMC,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
Microglia/PVM,Microglia/PVM,Integrated 45,CS202002270_45,Microglia-PVM,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,,No
L5 ET,L5 ET,Integrated 32-33,CS202002270_53,L5 ET,Betz|L5 PT,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_32|CS202002270_33,No
Astro,Astro,Integrated 39-40,CS202002270_55,Astrocyte,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_39|CS202002270_40,No
Oligo,Oligo,Integrated 41-42,CS202002270_56,Oligodendrocyte,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_41|CS202002270_42,No
CGE/PoA,CGE/PoA,Integrated 01-13,CS202002270_57,CGE/PoA,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_1|CS202002270_2|CS202002270_3|CS202002270_4|CS202002270_5|CS202002270_6|CS202002270_7|CS202002270_8|CS202002270_9|CS202002270_10|CS202002270_11|CS202002270_12|CS202002270_13,No
MGE,MGE,Integrated 14-24,CS202002270_58,MGE,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_14|CS202002270_15|CS202002270_16|CS202002270_17|CS202002270_18|CS202002270_19|CS202002270_20|CS202002270_21|CS202002270_22|CS202002270_23|CS202002270_24,No
IT projecting,IT projecting,Integrated 25-31,CS202002270_59,IT projecting,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_25|CS202002270_26|CS202002270_27|CS202002270_28|CS202002270_29|CS202002270_30|CS202002270_31,No
Non-IT projecting,Non-IT projecting,Integrated 32-37,CS202002270_60,Non-IT projecting,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_32|CS202002270_33|CS202002270_34|CS202002270_35|CS202002270_36|CS202002270_37,No
Oligo-OPC,Oligo-OPC,"Integrated 38, 41-42",CS202002270_61,Oligodendrocyte-OPC,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_38|CS202002270_41|CS202002270_42,No
Other NN,Other NN,Integrated 43-45,CS202002270_62,Non-neural,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_43|CS202002270_44|CS202002270_45,No
GABAergic,GABAergic,Integrated 01-24,CS202002270_63,Neuronal: GABAergic,Inhibitory,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_1|CS202002270_2|CS202002270_3|CS202002270_4|CS202002270_5|CS202002270_6|CS202002270_7|CS202002270_8|CS202002270_9|CS202002270_10|CS202002270_11|CS202002270_12|CS202002270_13|CS202002270_14|CS202002270_15|CS202002270_16|CS202002270_17|CS202002270_18|CS202002270_19|CS202002270_20|CS202002270_21|CS202002270_22|CS202002270_23|CS202002270_24,No
Glutamatergic,Glutamatergic,Integrated 25-37,CS202002270_64,Neuronal: Glutamatergic,Excitatory,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_25|CS202002270_26|CS202002270_27|CS202002270_28|CS202002270_29|CS202002270_30|CS202002270_31|CS202002270_32|CS202002270_33|CS202002270_34|CS202002270_35|CS202002270_36|CS202002270_37,No
Non-Neuronal,Non-Neuronal,Integrated 38-42,CS202002270_65,Non-neuronal,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_38|CS202002270_39|CS202002270_40|CS202002270_41|CS202002270_42,No
All cells,All cells,Integrated 01-45,CS202002270_66,,,Nikolas Jorstad,10.1101/2020.03.31.016972,primary motor cortex,UBERON:0001384,CCN202002270,Human|Marmoset|Mouse,RNAseq,CS202002270_1|CS202002270_2|CS202002270_3|CS202002270_4|CS202002270_5|CS202002270_6|CS202002270_7|CS202002270_8|CS202002270_9|CS202002270_10|CS202002270_11|CS202002270_12|CS202002270_13|CS202002270_14|CS202002270_15|CS202002270_16|CS202002270_17|CS202002270_18|CS202002270_19|CS202002270_20|CS202002270_21|CS202002270_22|CS202002270_23|CS202002270_24|CS202002270_25|CS202002270_26|CS202002270_27|CS202002270_28|CS202002270_29|CS202002270_30|CS202002270_31|CS202002270_32|CS202002270_33|CS202002270_34|CS202002270_35|CS202002270_36|CS202002270_37|CS202002270_38|CS202002270_39|CS202002270_40|CS202002270_41|CS202002270_42|CS202002270_43|CS202002270_44|CS202002270_45,No
