cell_set_preferred_alias,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_aliases,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,species,modality,taxonomy_id,taxonomy_description,child_cell_set_accessions,cell_type_card,original_label,cell_set_color
Inh VIP VAT1L,RNAseq 23,CS201912132_23,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP VAT1L,#B582EA
Inh VIP CIT,RNAseq 24,CS201912132_24,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP CIT,#B488DC
Inh VIP LOC108588539,RNAseq 25,CS201912132_25,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh VIP LOC108588539,#B477F5
Inh PAX6 MEIS2,RNAseq 26,CS201912132_26,Meis2,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,"Cell Type,Subclass",Inh PAX6 MEIS2,#FF0000
Inh SST LOC108589054,RNAseq 27,CS201912132_27,Sst_5,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST LOC108589054,#CC7B00
Inh SST LOC108588801,RNAseq 28,CS201912132_28,Sst_6,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST LOC108588801,#FBAA00
Inh SST LOC103788138,RNAseq 29,CS201912132_29,Sst_7,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST LOC103788138,#F4B028
Inh SST MPP5,RNAseq 30,CS201912132_30,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST MPP5,#C68300
Inh SST KIRREL3,RNAseq 31,CS201912132_31,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST KIRREL3,#E67500
Inh SST LOC103788660,RNAseq 32,CS201912132_32,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST LOC103788660,#FF933E
Inh SST CBLN4,RNAseq 33,CS201912132_33,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST CBLN4,#FFB82F
Inh SST ABI3BP,RNAseq 34,CS201912132_34,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST ABI3BP,#EAA931
Inh SST TMEFF2,RNAseq 35,CS201912132_35,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST TMEFF2,#DE9300
Inh SST P4HA1,RNAseq 36,CS201912132_36,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST P4HA1,#F19C00
Inh SST LTBP1,RNAseq 37,CS201912132_37,Sst_4,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST LTBP1,#FF8D1D
Inh SST AIM1,RNAseq 38,CS201912132_38,Sst_1,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST AIM1,#F97E13
Inh SST VAPA,RNAseq 39,CS201912132_39,Sst_2,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST VAPA,#E18E25
Inh SST PCSK5,RNAseq 40,CS201912132_40,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh SST PCSK5,#DE7D00
Inh PVALB OTOGL,RNAseq 41,CS201912132_41,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB OTOGL,#B3361D
Inh PVALB LOC103790362,RNAseq 42,CS201912132_42,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB LOC103790362,#BF3C40
Inh PVALB OSBP2,RNAseq 43,CS201912132_43,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB OSBP2,#FF5161
Inh PVALB LOC103789439,RNAseq 44,CS201912132_44,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB LOC103789439,#F55433
Inh PVALB GSTK1,RNAseq 45,CS201912132_45,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB GSTK1,#F6785D
Inh PVALB C8H7orf62,RNAseq 46,CS201912132_46,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB C8H7orf62,#F76C6F
Inh PVALB SST LRRC6,RNAseq 47,CS201912132_47,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB SST LRRC6,#FA8D00
Inh PVALB ADAMTS3,RNAseq 48,CS201912132_48,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB ADAMTS3,#ED2523
Inh PVALB SST EYS,RNAseq 49,CS201912132_49,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB SST EYS,#BE001E
Inh PVALB PCDH19,RNAseq 50,CS201912132_50,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB PCDH19,#D8003D
Inh PVALB KLHL29,RNAseq 51,CS201912132_51,Pvalb_2,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB KLHL29,#B20536
Inh PVALB FAM19A4,RNAseq 52,CS201912132_52,Chandelier,Chandelier cell,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Inh PVALB FAM19A4,#F4358B
Exc THEMIS ANO3,RNAseq 53,CS201912132_53,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc THEMIS ANO3,#93D92B
Exc RORB LOC108588466,RNAseq 54,CS201912132_54,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB LOC108588466,#7CAE24
Exc RORB SERPINE2,RNAseq 55,CS201912132_55,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB SERPINE2,#CFCE32
Exc RORB NDST3,RNAseq 56,CS201912132_56,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB NDST3,#C7FF28
Exc RORB KNL1,RNAseq 57,CS201912132_57,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB KNL1,#8CBCB4
Exc RORB CAV3,RNAseq 58,CS201912132_58,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB CAV3,#6EEEE3
Exc THEMIS KCTD16,RNAseq 59,CS201912132_59,L6 IT_2,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc THEMIS KCTD16,#C9CC77
Exc THEMIS COBL,RNAseq 60,CS201912132_60,L6 IT_1,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc THEMIS COBL,#CDCE31
Exc RORB LOC108593203,RNAseq 61,CS201912132_61,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB LOC108593203,#00BBC0
Exc RORB ANKRD27,RNAseq 62,CS201912132_62,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB ANKRD27,#507975
Exc RORB ACTA2,RNAseq 63,CS201912132_63,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB ACTA2,#8EE5E8
Exc RORB USH1C,RNAseq 64,CS201912132_64,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB USH1C,#48A4A8
Exc RORB SLC38A11,RNAseq 65,CS201912132_65,L5 IT_3,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB SLC38A11,#00ABA5
Exc RORB PPA2,RNAseq 66,CS201912132_66,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB PPA2,#9AD5CB
Exc RORB CHGA,RNAseq 67,CS201912132_67,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB CHGA,#7BAAAC
Exc RORB HACL1,RNAseq 68,CS201912132_68,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc RORB HACL1,#48CBB9
Oligo SLC1A3 LOC103793418,RNAseq 77,CS201912132_69,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Oligo SLC1A3 LOC103793418,#387567
Exc THEMIS ARL13B,RNAseq 69,CS201912132_70,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc THEMIS ARL13B,#0D5D7E
Exc FEZF2 PIEZO2,RNAseq 70,CS201912132_71,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc FEZF2 PIEZO2,#0A75B1
Exc FEZF2 PDZRN4,RNAseq 71,CS201912132_72,L5 ET_2,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc FEZF2 PDZRN4,#0B77A5
Exc FEZF2 RGS4,RNAseq 72,CS201912132_73,L6 CT_1,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc FEZF2 RGS4,#5C7F98
Exc FEZF2 NRP1,RNAseq 73,CS201912132_74,L6 CT_2,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Exc FEZF2 NRP1,#3EC5FD
Exc FEZF2 ARSJ,RNAseq 74,CS201912132_75,L6b,L6b,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,"Cell Type,Subclass",Exc FEZF2 ARSJ,#53377D
Exc THEMIS NTNG2,RNAseq 75,CS201912132_76,L6 IT Car3,L6 IT_3,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,"Cell Type,Subclass",Exc THEMIS NTNG2,#5100FF
Exc FEZF2 CRYM,RNAseq 76,CS201912132_77,L5/6 NP,L5/6 NP,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,"Cell Type,Subclass",Exc FEZF2 CRYM,#3E9E64
OPC PDGFRA VCAN,RNAseq 78,CS201912132_78,OPC,OPC,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,"Cell Type,Subclass",OPC PDGFRA VCAN,#446E5C
Astro FGFR3 EPHB1,RNAseq 79,CS201912132_79,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Astro FGFR3 EPHB1,#9A8D64
Astro FGFR3 NWD1,RNAseq 80,CS201912132_80,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Astro FGFR3 NWD1,#846C3D
Astro FGFR3 RCN2,RNAseq 81,CS201912132_81,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Astro FGFR3 RCN2,#565035
Astro FGFR3 GFAP,RNAseq 82,CS201912132_82,Astro_1,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Astro FGFR3 GFAP,#5A503F
Oligo OPALIN LOC103790018,RNAseq 83,CS201912132_83,Oligo_2,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Oligo OPALIN LOC103790018,#0A3324
Oligo OPALIN MOBP,RNAseq 84,CS201912132_84,Oligo_1,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Oligo OPALIN MOBP,#357567
Endo NOSTRIN IL1R1,RNAseq 85,CS201912132_85,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Endo NOSTRIN IL1R1,#B88064
Endo NOSTRIN CXCL12,RNAseq 86,CS201912132_86,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Endo NOSTRIN CXCL12,#947160
Glia SLC1A3-like FBLN5,RNAseq 87,CS201912132_87,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Glia SLC1A3 FBLN5,#A96B62
Peri SLC1A3-like CHST3,RNAseq 88,CS201912132_88,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Peri SLC1A3 CHST3,#AB7F62
Peri SLC1A3-like EPSTI1,RNAseq 89,CS201912132_89,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,Peri SLC1A3 EPSTI1,#3A2A14
VLMC PDGFRA C7,RNAseq 90,CS201912132_90,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,VLMC PDGFRA C7,#9CA872
VLMC SLC1A3 CEMIP,RNAseq 91,CS201912132_91,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,VLMC SLC1A3 CEMIP,#46492B
VLMC SLC1A3 SLC13A3,RNAseq 92,CS201912132_92,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,VLMC SLC1A3 SLC13A3,#3C582B
VLMC SLC1A3-like SLC47A1,RNAseq 93,CS201912132_93,,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,Cell Type,VLMC SLC1A3 SLC47A1,#4F513F
Micro TYROBP LOC103788313,RNAseq 94,CS201912132_94,Microglia-PVM,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,,"Cell Type,Subclass",Micro TYROBP LOC103788313,#94AF97
(Mouse Lamp5)-like,RNAseq 02-07,CS201912132_95,Lamp5,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_2|CS201912132_3|CS201912132_4|CS201912132_5|CS201912132_6|CS201912132_7,Subclass,,#DA808C
(Mouse Sncg)-like,RNAseq 08-14,CS201912132_96,Sncg,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_8|CS201912132_9|CS201912132_10|CS201912132_11|CS201912132_12|CS201912132_13|CS201912132_14,Subclass,,#D633FF
(Mouse Vip)-like,RNAseq 15-25,CS201912132_97,Vip,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_15|CS201912132_16|CS201912132_17|CS201912132_18|CS201912132_19|CS201912132_20|CS201912132_21|CS201912132_22|CS201912132_23|CS201912132_24|CS201912132_25,Subclass,,#B864CC
(Mouse Sst)-like,"RNAseq 27-40, 47",CS201912132_98,Sst,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_27|CS201912132_28|CS201912132_29|CS201912132_30|CS201912132_31|CS201912132_32|CS201912132_33|CS201912132_34|CS201912132_35|CS201912132_36|CS201912132_37|CS201912132_38|CS201912132_39|CS201912132_40|CS201912132_47,Subclass,,#FF9900
(Mouse Pvalb)-like,"RNAseq 41-46, 48-52",CS201912132_99,Pvalb,,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_41|CS201912132_42|CS201912132_43|CS201912132_44|CS201912132_45|CS201912132_46|CS201912132_48|CS201912132_49|CS201912132_50|CS201912132_51|CS201912132_52,Subclass,,#D93137
(Mouse L2/3 IT)-like,RNAseq 53-56,CS201912132_100,L2/3 IT,L2/3 IT,Fenna Krienen,PMID:34616062,primary motor cortex,UBERON:0001384,Marmoset,RNAseq,CCN201912132,Marmoset M1 taxonomy using 10X data,CS201912132_53|CS201912132_54|CS201912132_55|CS201912132_56,Subclass,n67,#C4EC04
