cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Inh L2-6 PVALB SIAH3,Inh L2-6 PVALB SIAH3,DNAm 15,CS202002272_15,,"RNAseq 059-061, 063-067 in CCN201912131",Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L5-6 PVALB WNT16,Inh L5-6 PVALB WNT16,DNAm 16,CS202002272_16,,"RNAseq 062, 069-071 in CCN201912131",Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Inh L1-6 PVALB COL15A1,Inh L1-6 PVALB COL15A1,DNAm 17,CS202002272_17,Chandelier,RNAseq 072 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L1-3 LAMP5 LINC00507,Exc L1-3 LAMP5 LINC00507,DNAm 18,CS202002272_18,L2/3 IT,RNAseq 073-081 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L2-3 RORB LOC101927281,Exc L2-3 RORB LOC101927281,DNAm 19,CS202002272_19,,RNAseq 079-080 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L3-5 RORB COL22A1,Exc L3-5 RORB COL22A1,DNAm 20,CS202002272_20,,"RNAseq 082-086, 091 in CCN201912131",Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L5-6 THEMIS SERPINF1,Exc L5-6 THEMIS SERPINF1,DNAm 21,CS202002272_21,L6 IT,"RNAseq 084, 088, 092-095 in CCN201912131",Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L3-5 RORB LOC105374972,Exc L3-5 RORB LOC105374972,DNAm 22,CS202002272_22,,"RNAseq 087, 089-090 in CCN201912131",Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L5-6 THEMIS SMYD1,Exc L5-6 THEMIS SMYD1,DNAm 23,CS202002272_23,L6 IT Car3,RNAseq 096 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L5-6 FEZF2 LOC105371833,Exc L5-6 FEZF2 LOC105371833,DNAm 24,CS202002272_24,L6 CT,RNAseq 097-102 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L6 FEZF2 NPFFR2,Exc L6 FEZF2 NPFFR2,DNAm 25,CS202002272_25,L6b,RNAseq 103-108 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L3-5 FEZF2 LOC101929352,Exc L3-5 FEZF2 LOC101929352,DNAm 26,CS202002272_26,L5 ET,RNAseq 109-111 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Exc L5-6 FEZF2 NPSR1-AS1,Exc L5-6 FEZF2 NPSR1-AS1,DNAm 27,CS202002272_27,L5/6 NP,RNAseq 112-116 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Oligo-OPC L1-6 OPALIN PLP1,Oligo-OPC L1-6 OPALIN PLP1,DNAm 28,CS202002272_28,Oligodendrocyte-OPC,RNAseq 117-121 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Astro L1-6 FGFR3 RNF219-AS1,Astro L1-6 FGFR3 RNF219-AS1,DNAm 29,CS202002272_29,Astrocyte,RNAseq 122-124 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Glia L1-5 NOSTRIN MECOM,Glia L1-5 NOSTRIN MECOM,DNAm 30,CS202002272_30,,RNAseq 125-126 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Micro L1-6 TYROBP CD74,Micro L1-6 TYROBP CD74,DNAm 31,CS202002272_31,Microglia-PVM,RNAseq 127 in CCN201912131,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,,No
Lamp5,Lamp5,DNAm 01-03,CS202002272_32,Lamp5,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_1|CS202002272_2|CS202002272_3,No
Sncg,Sncg,DNAm 04-05,CS202002272_33,Sncg,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_4|CS202002272_5,No
Vip,Vip,DNAm 06-11,CS202002272_34,Vip,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_6|CS202002272_7|CS202002272_8|CS202002272_9|CS202002272_10|CS202002272_11,No
Sst,Sst,DNAm 12-14,CS202002272_35,Sst,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_12|CS202002272_13|CS202002272_14,No
Pvalb,Pvalb,DNAm 15-17,CS202002272_36,Pvalb,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_15|CS202002272_16|CS202002272_17,No
L5 IT,L5 IT,"DNAm 20, 22",CS202002272_37,L5 IT,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_20|CS202002272_22,No
Non-neuronal,Non-neuronal,DNAm 28-29,CS202002272_38,Non-neuronal,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_28|CS202002272_29,No
Neuronal: GABAergic,Neuronal: GABAergic,DNAm 01-17,CS202002272_39,Neuronal: GABAergic,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_1|CS202002272_2|CS202002272_3|CS202002272_4|CS202002272_5|CS202002272_6|CS202002272_7|CS202002272_8|CS202002272_9|CS202002272_10|CS202002272_11|CS202002272_12|CS202002272_13|CS202002272_14|CS202002272_15|CS202002272_16|CS202002272_17,No
Neuronal: Glutamatergic,Neuronal: Glutamatergic,DNAm 18-27,CS202002272_40,Neuronal: Glutamatergic,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_18|CS202002272_19|CS202002272_20|CS202002272_21|CS202002272_22|CS202002272_23|CS202002272_24|CS202002272_25|CS202002272_26|CS202002272_27,No
Non-neural,Non-neural,DNAm 30-31,CS202002272_41,Non-neural,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_30|CS202002272_31,No
CGE/PoA,CGE/PoA,DNAm 01-11,CS202002272_42,CGE/PoA,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_1|CS202002272_2|CS202002272_3|CS202002272_4|CS202002272_5|CS202002272_6|CS202002272_7|CS202002272_8|CS202002272_9|CS202002272_10|CS202002272_11,No
MGE,MGE,DNAm 12-17,CS202002272_43,MGE,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_12|CS202002272_13|CS202002272_14|CS202002272_15|CS202002272_16|CS202002272_17,No
IT projecting,IT projecting,DNAm 18-23,CS202002272_44,IT projecting,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_18|CS202002272_19|CS202002272_20|CS202002272_21|CS202002272_22|CS202002272_23,No
Non-IT projecting,Non-IT projecting,DNAm 24-27,CS202002272_45,Non-IT projecting,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_24|CS202002272_25|CS202002272_26|CS202002272_27,No
All cells,All cells,DNAm 01-31,CS202002272_46,,,Wei Tian,PMID:34616062,primary motor cortex,UBERON:0001384,CCN202002272,Human,DNAm,CS202002272_1|CS202002272_2|CS202002272_3|CS202002272_4|CS202002272_5|CS202002272_6|CS202002272_7|CS202002272_8|CS202002272_9|CS202002272_10|CS202002272_11|CS202002272_12|CS202002272_13|CS202002272_14|CS202002272_15|CS202002272_16|CS202002272_17|CS202002272_18|CS202002272_19|CS202002272_20|CS202002272_21|CS202002272_22|CS202002272_23|CS202002272_24|CS202002272_25|CS202002272_26|CS202002272_27|CS202002272_28|CS202002272_29|CS202002272_30|CS202002272_31,No
