cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
VLMC Lama1,VLMC Lama1,DNAm 39,CS202002276_39,,"RNAseq 104-105, 107 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
VLMC Bnc2,VLMC Bnc2,DNAm 40,CS202002276_40,,"RNAseq 106, 108-110 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
SMC-Peri,SMC-Peri,DNAm 41,CS202002276_41,SMC,RNAseq 111-112 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Micro-PVM Inpp5d,Micro-PVM Inpp5d,DNAm 42,CS202002276_42,Microglia-PVM,"RNAseq 113, 115-116 in CCN202002013",Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
VLMC,VLMC,DNAm 43,CS202002276_43,VLMC,RNAseq 104-110 in CCN202002013,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Lamp5,Lamp5,DNAm 01-04,CS202002276_44,Lamp5,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Vip,Vip,DNAm 06-08,CS202002276_45,Vip,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Sst,Sst,DNAm 10-15,CS202002276_46,Sst,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Pvalb,Pvalb,DNAm 16-19,CS202002276_47,Pvalb,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L4/5 IT,L4/5 IT,DNAm 21-22,CS202002276_48,L4/5 IT,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L5 IT,L5 IT,"DNAm 23, 25",CS202002276_49,L5 IT,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6 IT,L6 IT,"DNAm 24, 26",CS202002276_50,L6 IT,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
L6 CT,L6 CT,DNAm 29-33,CS202002276_51,L6 CT,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Oligodendrocyte-OPC,Oligodendrocyte-OPC,"DNAm 36, 38",CS202002276_52,Oligodendrocyte-OPC,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Non-neuronal,Non-neuronal,DNAm 36-38,CS202002276_53,Non-neuronal,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Neuronal: GABAergic,Neuronal: GABAergic,DNAm 01-19,CS202002276_54,Neuronal: GABAergic,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Neuronal: Glutamatergic,Neuronal: Glutamatergic,DNAm 20-35,CS202002276_55,Neuronal: Glutamatergic,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Non-neural,Non-neural,DNAm 39-43,CS202002276_56,Non-neural,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
CGE/PoA,CGE/PoA,DNAm 01-08,CS202002276_57,CGE/PoA,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
MGE,MGE,DNAm 09-19,CS202002276_58,MGE,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
IT projecting,IT projecting,DNAm 20-27,CS202002276_59,IT projecting,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
Non-IT projecting,Non-IT projecting,DNAm 28-35,CS202002276_60,Non-IT projecting,,Hanqing Liu,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002276,Mouse,DNAm,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
