cell_set_accession,cell_set_label,cell_set_alias,cell_set_alt_alias,taxonomy_id,original_label
CS1908210043,Neuron 043,Inh L4-6 PVALB SULF1,,CS1908210,Inh L4-6 PVALB SULF1
CS1908210044,Neuron 044,Inh L5-6 SST MIR548F2,,CS1908210,Inh L5-6 SST MIR548F2
CS1908210045,Neuron 045,Inh L2-5 PVALB SCUBE3,Chandelier,CS1908210,Inh L2-5 PVALB SCUBE3
CS1908210046,Neuron 046,Exc L2 LAMP5 LTK,,CS1908210,Exc L2 LAMP5 LTK
CS1908210047,Neuron 047,Exc L2-4 LINC00507 GLP2R,,CS1908210,Exc L2-4 LINC00507 GLP2R
CS1908210048,Neuron 048,Exc L2-3 LINC00507 FREM3,,CS1908210,Exc L2-3 LINC00507 FREM3
CS1908210049,Neuron 049,Exc L5-6 THEMIS C1QL3,,CS1908210,Exc L5-6 THEMIS C1QL3
CS1908210050,Neuron 050,Exc L3-4 RORB CARM1P1,,CS1908210,Exc L3-4 RORB CARM1P1
CS1908210051,Neuron 051,Exc L3-5 RORB ESR1,,CS1908210,Exc L3-5 RORB ESR1
CS1908210052,Neuron 052,Exc L3-5 RORB COL22A1,,CS1908210,Exc L3-5 RORB COL22A1
CS1908210053,Neuron 053,Exc L3-5 RORB FILIP1L,,CS1908210,Exc L3-5 RORB FILIP1L
CS1908210054,Neuron 054,Exc L3-5 RORB TWIST2,,CS1908210,Exc L3-5 RORB TWIST2
CS1908210055,Neuron 055,Exc L4-5 RORB FOLH1B,,CS1908210,Exc L4-5 RORB FOLH1B
CS1908210056,Neuron 056,Exc L4-6 RORB SEMA3E,,CS1908210,Exc L4-6 RORB SEMA3E
CS1908210057,Neuron 057,Exc L4-5 RORB DAPK2,,CS1908210,Exc L4-5 RORB DAPK2
CS1908210058,Neuron 058,Exc L5-6 RORB TTC12,,CS1908210,Exc L5-6 RORB TTC12
CS1908210059,Neuron 059,Exc L4-6 RORB C1R,,CS1908210,Exc L4-6 RORB C1R
CS1908210060,Neuron 060,Exc L4-5 FEZF2 SCN4B,L5 PT,CS1908210,Exc L4-5 FEZF2 SCN4B
CS1908210061,Neuron 061,Exc L5-6 THEMIS DCSTAMP,,CS1908210,Exc L5-6 THEMIS DCSTAMP
CS1908210062,Neuron 062,Exc L5-6 THEMIS CRABP1,,CS1908210,Exc L5-6 THEMIS CRABP1
CS1908210063,Neuron 063,Exc L5-6 THEMIS FGF10,,CS1908210,Exc L5-6 THEMIS FGF10
CS1908210064,Neuron 064,Exc L4-6 FEZF2 IL26,NP,CS1908210,Exc L4-6 FEZF2 IL26
CS1908210065,Neuron 065,Exc L5-6 FEZF2 ABO,L6 CT,CS1908210,Exc L5-6 FEZF2 ABO
CS1908210066,Neuron 066,Exc L6 FEZF2 SCUBE1,,CS1908210,Exc L6 FEZF2 SCUBE1
CS1908210067,Neuron 067,Exc L5-6 FEZF2 IL15,,CS1908210,Exc L5-6 FEZF2 IL15
CS1908210068,Neuron 068,Exc L6 FEZF2 OR2T8,,CS1908210,Exc L6 FEZF2 OR2T8
CS1908210069,Neuron 069,Exc L5-6 FEZF2 EFTUD1P1,,CS1908210,Exc L5-6 FEZF2 EFTUD1P1
CS1908210070,Non-neuron 001,OPC L1-6 PDGFRA,OPC,CS1908210,OPC L1-6 PDGFRA
CS1908210071,Non-neuron 002,Astro L1-6 FGFR3 SLC14A1,,CS1908210,Astro L1-6 FGFR3 SLC14A1
CS1908210072,Non-neuron 003,Astro L1-2 FGFR3 GFAP,,CS1908210,Astro L1-2 FGFR3 GFAP
CS1908210073,Non-neuron 004,Oligo L1-6 OPALIN,Oligodendrocyte,CS1908210,Oligo L1-6 OPALIN
CS1908210074,Non-neuron 005,Endo L2-6 NOSTRIN,Endothelial,CS1908210,Endo L2-6 NOSTRIN
CS1908210075,Non-neuron 006,Micro L1-6 TYROBP,Microglia,CS1908210,Micro L1-6 TYROBP
CS1908210076,All cells,,,CS1908210,n1
CS1908210077,Neuron 001-069,Neuron,Neuron,CS1908210,n2
CS1908210078,Neuron 001-045,GABAergic,GABAergic,CS1908210,n3
CS1908210079,Neuron 001-027,ADARB2 (CGE),CGE,CS1908210,n4
CS1908210080,Neuron 001-006,LAMP5/PAX6,Lamp5/Pax6,CS1908210,n5
CS1908210081,Neuron 001-002,PAX6,Pax6,CS1908210,n6
CS1908210082,Neuron 003-006,LAMP5,Lamp5,CS1908210,n7
CS1908210083,Neuron 004-006,,,CS1908210,n8
CS1908210084,Neuron 004-005,,,CS1908210,n9
CS1908210085,Neuron 007-027,VIP,Vip,CS1908210,n10
CS1908210086,Neuron 007-014,,,CS1908210,n11
CS1908210087,Neuron 007-012,,,CS1908210,n12
CS1908210088,Neuron 007-009,,,CS1908210,n13
CS1908210089,Neuron 007-008,,,CS1908210,n14
CS1908210090,Neuron 010-012,,,CS1908210,n15
CS1908210091,Neuron 011-012,,,CS1908210,n16
CS1908210092,Neuron 013-014,,,CS1908210,n17
CS1908210093,Neuron 015-027,,,CS1908210,n18
CS1908210094,Neuron 015-019,,,CS1908210,n19
CS1908210095,Neuron 015-017,,,CS1908210,n20
CS1908210096,Neuron 015-016,,,CS1908210,n21
CS1908210097,Neuron 018-019,,,CS1908210,n22
CS1908210098,Neuron 020-027,,,CS1908210,n23
CS1908210099,Neuron 020-023,,,CS1908210,n24
CS1908210100,Neuron 020-022,,,CS1908210,n25
CS1908210101,Neuron 020-021,,,CS1908210,n26
CS1908210102,Neuron 024-027,,,CS1908210,n27
CS1908210103,Neuron 024-025,,,CS1908210,n28
CS1908210104,Neuron 026-027,,,CS1908210,n29
CS1908210105,Neuron 028-045,LHX6 (MGE),MGE,CS1908210,n30
CS1908210106,Neuron 028-044,,,CS1908210,n31
CS1908210107,Neuron 029-044,,,CS1908210,n32
CS1908210108,Neuron 029-038,SST,Sst,CS1908210,n33
CS1908210109,Neuron 029-037,,,CS1908210,n34
CS1908210110,Neuron 029-034,,,CS1908210,n35
CS1908210111,Neuron 030-034,,,CS1908210,n36
CS1908210112,Neuron 030-033,,,CS1908210,n37
CS1908210113,Neuron 030-031,,,CS1908210,n38
CS1908210114,Neuron 032-033,,,CS1908210,n39
CS1908210115,Neuron 035-037,,,CS1908210,n40
CS1908210116,Neuron 035-036,,,CS1908210,n41
CS1908210117,Neuron 039-044,PVALB,Pvalb,CS1908210,n42
CS1908210118,Neuron 040-044,,,CS1908210,n43
CS1908210119,Neuron 041-044,,,CS1908210,n44
CS1908210120,Neuron 041-043,,,CS1908210,n45
CS1908210121,Neuron 042-043,,,CS1908210,n46
CS1908210122,Neuron 046-069,Glutamatergic,Glutamatergic,CS1908210,n47
CS1908210123,Neuron 046-063,,,CS1908210,n48
CS1908210124,Neuron 046-060,,,CS1908210,n49
CS1908210125,Neuron 046-059,,,CS1908210,n50
CS1908210126,Neuron 046-049,,,CS1908210,n51
CS1908210127,Neuron 046-048,L2/3 IT,L2/3 IT,CS1908210,n52
CS1908210128,Neuron 046-047,,,CS1908210,n53
CS1908210129,Neuron 050-059,,,CS1908210,n54
CS1908210130,Neuron 050-054,L4 IT,L4 IT,CS1908210,n55
CS1908210131,Neuron 051-054,,,CS1908210,n56
CS1908210132,Neuron 052-054,,,CS1908210,n57
CS1908210133,Neuron 053-054,,,CS1908210,n58
CS1908210134,Neuron 055-059,L5 IT,L5 IT,CS1908210,n59
CS1908210135,Neuron 055-057,,,CS1908210,n60
CS1908210136,Neuron 056-057,,,CS1908210,n61
CS1908210137,Neuron 058-059,,,CS1908210,n62
CS1908210138,Neuron 061-063,L6 IT,L6 IT,CS1908210,n63
CS1908210139,Neuron 062-063,,,CS1908210,n64
CS1908210140,Neuron 064-069,,,CS1908210,n65
CS1908210141,Neuron 065-069,,,CS1908210,n66
CS1908210142,Neuron 066-069,L6b,L6b,CS1908210,n67
CS1908210143,Neuron 066-068,,,CS1908210,n68
CS1908210144,Neuron 066-067,,,CS1908210,n69
CS1908210145,Non-neuron 001-006,Non-neuron,Non-neuron,CS1908210,n70
CS1908210146,Non-neuron 001-005,,,CS1908210,n71
CS1908210147,Non-neuron 001-004,,,CS1908210,n72
CS1908210148,Non-neuron 001-003,,,CS1908210,n73
CS1908210149,Non-neuron 002-003,Astrocyte,Astrocyte,CS1908210,n74
