cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions,cell_type_card
Pvalb,Pvalb,ATACseq 14-16,CS202002277_35,Pvalb,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_14|CS202002277_15|CS202002277_16,No
L5 IT,L5 IT,ATACseq 19-20,CS202002277_36,L5 IT,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_19|CS202002277_20,No
Oligodendrocyte-OPC,Oligodendrocyte-OPC,"ATACseq 25, 27",CS202002277_37,Oligodendrocyte-OPC,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_25|CS202002277_27,No
Non-neuronal,Non-neuronal,ATACseq 25-27,CS202002277_38,Non-neuronal,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_25|CS202002277_26|CS202002277_27,No
Neuronal: GABAergic,Neuronal: GABAergic,ATACseq 01-16,CS202002277_39,Neuronal: GABAergic,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_1|CS202002277_2|CS202002277_3|CS202002277_4|CS202002277_5|CS202002277_6|CS202002277_7|CS202002277_8|CS202002277_9|CS202002277_10|CS202002277_11|CS202002277_12|CS202002277_13|CS202002277_14|CS202002277_15|CS202002277_16,No
Neuronal: Glutamatergic,Neuronal: Glutamatergic,ATACseq 17-24,CS202002277_40,Neuronal: Glutamatergic,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_17|CS202002277_18|CS202002277_19|CS202002277_20|CS202002277_21|CS202002277_22|CS202002277_23|CS202002277_24,No
Non-neural,Non-neural,ATACseq 28-31,CS202002277_41,Non-neural,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_28|CS202002277_29|CS202002277_30|CS202002277_31,No
CGE/PoA,CGE/PoA,ATACseq 01-09,CS202002277_42,CGE/PoA,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_1|CS202002277_2|CS202002277_3|CS202002277_4|CS202002277_5|CS202002277_6|CS202002277_7|CS202002277_8|CS202002277_9,No
MGE,MGE,ATACseq 10-16,CS202002277_43,MGE,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_10|CS202002277_11|CS202002277_12|CS202002277_13|CS202002277_14|CS202002277_15|CS202002277_16,No
IT projecting,IT projecting,ATACseq 17-21,CS202002277_44,IT projecting,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_17|CS202002277_18|CS202002277_19|CS202002277_20|CS202002277_21,No
Non-IT projecting,Non-IT projecting,ATACseq 22-24,CS202002277_45,Non-IT projecting,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_22|CS202002277_23|CS202002277_24,No
All cells,All cells,ATACseq 01-31,CS202002277_46,,,Yang Li,PMID:34616066,primary motor cortex,UBERON:0001384,CCN202002277,Mouse,ATACseq,CS202002277_1|CS202002277_2|CS202002277_3|CS202002277_4|CS202002277_5|CS202002277_6|CS202002277_7|CS202002277_8|CS202002277_9|CS202002277_10|CS202002277_11|CS202002277_12|CS202002277_13|CS202002277_14|CS202002277_15|CS202002277_16|CS202002277_17|CS202002277_18|CS202002277_19|CS202002277_20|CS202002277_21|CS202002277_22|CS202002277_23|CS202002277_24|CS202002277_25|CS202002277_26|CS202002277_27|CS202002277_28|CS202002277_29|CS202002277_30|CS202002277_31,No
