defined_class	Marker_set_of	Minimal_markers	Brain_region_abbv	Species_abbv	Brain_region	Parent	FBeta_confidence_score
http://purl.obolibrary.org/obo/PCL_0012602	Oligo Opalin_4	ensembl:ENSMUSG00000029086|ensembl:ENSMUSG00000030616|ensembl:ENSMUSG00000032702	MOp	Mouse	UBERON:0001384	SO:0001260	0.714814815
http://purl.obolibrary.org/obo/PCL_0012603	Endo	ensembl:ENSMUSG00000030237|ensembl:ENSMUSG00000039167	MOp	Mouse	UBERON:0001384	SO:0001260	0.985102671
http://purl.obolibrary.org/obo/PCL_0012604	VLMC_1	ensembl:ENSMUSG00000025780|ensembl:ENSMUSG00000031273|ensembl:ENSMUSG00000112430	MOp	Mouse	UBERON:0001384	SO:0001260	0.702247191
http://purl.obolibrary.org/obo/PCL_0012605	VLMC_2	ensembl:ENSMUSG00000032796|ensembl:ENSMUSG00000064294	MOp	Mouse	UBERON:0001384	SO:0001260	0.812619503
http://purl.obolibrary.org/obo/PCL_0012606	VLMC_3	ensembl:ENSMUSG00000043760	MOp	Mouse	UBERON:0001384	SO:0001260	0.702416918
http://purl.obolibrary.org/obo/PCL_0012607	VLMC_4	ensembl:ENSMUSG00000036814|ensembl:ENSMUSG00000069378	MOp	Mouse	UBERON:0001384	SO:0001260	0.442307692
http://purl.obolibrary.org/obo/PCL_0012608	VLMC_5	ensembl:ENSMUSG00000010122	MOp	Mouse	UBERON:0001384	SO:0001260	0.849027478
http://purl.obolibrary.org/obo/PCL_0012609	VLMC_6	ensembl:ENSMUSG00000006014|ensembl:ENSMUSG00000026989|ensembl:ENSMUSG00000040569	MOp	Mouse	UBERON:0001384	SO:0001260	0.746812386
http://purl.obolibrary.org/obo/PCL_0012610	VLMC_7	ensembl:ENSMUSG00000026989|ensembl:ENSMUSG00000034127	MOp	Mouse	UBERON:0001384	SO:0001260	0.795053004
http://purl.obolibrary.org/obo/PCL_0012611	SMC	ensembl:ENSMUSG00000035783	MOp	Mouse	UBERON:0001384	SO:0001260	0.879120879
http://purl.obolibrary.org/obo/PCL_0012612	Peri	ensembl:ENSMUSG00000030249|ensembl:ENSMUSG00000048939	MOp	Mouse	UBERON:0001384	SO:0001260	0.964252117
http://purl.obolibrary.org/obo/PCL_0012613	Micro	ensembl:ENSMUSG00000021665	MOp	Mouse	UBERON:0001384	SO:0001260	0.980182605
http://purl.obolibrary.org/obo/PCL_0012614	PVM_1	ensembl:ENSMUSG00000101389	MOp	Mouse	UBERON:0001384	SO:0001260	0.940492476
http://purl.obolibrary.org/obo/PCL_0012615	PVM_2	ensembl:ENSMUSG00000024610|ensembl:ENSMUSG00000030187	MOp	Mouse	UBERON:0001384	SO:0001260	0.79787234
http://purl.obolibrary.org/obo/PCL_0012616	PVM_3	ensembl:ENSMUSG00000031494	MOp	Mouse	UBERON:0001384	SO:0001260	0.844155844
http://purl.obolibrary.org/obo/PCL_0012624	CGE/PoA	ensembl:ENSMUSG00000010175|ensembl:ENSMUSG00000052551	MOp	Mouse	UBERON:0001384	SO:0001260	0.900145611790142
http://purl.obolibrary.org/obo/PCL_0012625	Lamp5-like	ensembl:ENSMUSG00000029819|ensembl:ENSMUSG00000075270	MOp	Mouse	UBERON:0001384	SO:0001260	0.792566275
http://purl.obolibrary.org/obo/PCL_0012628	Lamp5-like_C5	ensembl:ENSMUSG00000021508|ensembl:ENSMUSG00000049001	MOp	Mouse	UBERON:0001384	SO:0001260	0.583900226757369
http://purl.obolibrary.org/obo/PCL_0012633	Sncg-like	ensembl:ENSMUSG00000044288|ensembl:ENSMUSG00000058897	MOp	Mouse	UBERON:0001384	SO:0001260	0.819339896
http://purl.obolibrary.org/obo/PCL_0012634	Sncg-like_C2	ensembl:ENSMUSG00000048967|ensembl:ENSMUSG00000059049	MOp	Mouse	UBERON:0001384	SO:0001260	0.72
http://purl.obolibrary.org/obo/PCL_0012638	Vip-like	ensembl:ENSMUSG00000019772	MOp	Mouse	UBERON:0001384	SO:0001260	0.894014775
http://purl.obolibrary.org/obo/PCL_0012639	L5/6 CCK cell	ensembl:ENSMUSG00000022371|ensembl:ENSMUSG00000022425|ensembl:ENSMUSG00000038718	MOp	Mouse	UBERON:0001384	SO:0001260	0.686619718309859
http://purl.obolibrary.org/obo/PCL_0012643	L5 VIP cell	ensembl:ENSMUSG00000000805|ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000049796	MOp	Mouse	UBERON:0001384	SO:0001260	0.720377019748653
http://purl.obolibrary.org/obo/PCL_0012645	L2/3 Bipolar VIP cell	ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000030170	MOp	Mouse	UBERON:0001384	SO:0001260	0.77594295364984
http://purl.obolibrary.org/obo/PCL_0012649	Vip-like_C4	ensembl:ENSMUSG00000042581|ensembl:ENSMUSG00000110468	MOp	Mouse	UBERON:0001384	SO:0001260	0.74223245109321
http://purl.obolibrary.org/obo/PCL_0012650	MGE	ensembl:ENSMUSG00000046178|ensembl:ENSMUSG00000094083	MOp	Mouse	UBERON:0001384	SO:0001260	0.926157987561496
http://purl.obolibrary.org/obo/PCL_0012656	Sst-like_C1	ensembl:ENSMUSG00000027400|ensembl:ENSMUSG00000062151	MOp	Mouse	UBERON:0001384	SO:0001260	0.543956043956044
http://purl.obolibrary.org/obo/PCL_0012661	L5 non-Martinotti cell	ensembl:ENSMUSG00000024990|ensembl:ENSMUSG00000031997|ensembl:ENSMUSG00000068220	MOp	Mouse	UBERON:0001384	SO:0001260	0.561145510835913
