defined_class	prefLabel	Synonyms_from_taxonomy	Comment	Gross_cell_type	Taxon	Brain_region	Alias_citations	Allen_markers	Brain_region_abbv	Species_abbv	Individual	part_of	has_soma_location	Minimal_markers
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_16	Sst_2	Integrated 16|Sst_2	cell_set_preferred_alias:Sst_2 ; original_label:Sst_2 ; cell_set_label:Integrated 16 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_16		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_17	Sst_4	Integrated 17|Sst_4	cell_set_preferred_alias:Sst_4 ; original_label:Sst_4 ; cell_set_label:Integrated 17 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_17		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_18	Sst_3	Integrated 18|Sst_3	cell_set_preferred_alias:Sst_3 ; original_label:Sst_3 ; cell_set_label:Integrated 18 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_18		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_19	Sst_5	Integrated 19|Sst_5	cell_set_preferred_alias:Sst_5 ; original_label:Sst_5 ; cell_set_label:Integrated 19 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_19		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_20	Sst_6	Integrated 20|Sst_6	cell_set_preferred_alias:Sst_6 ; original_label:Sst_6 ; cell_set_label:Integrated 20 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_20		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_21	Sst_7	Integrated 21|Sst_7	cell_set_preferred_alias:Sst_7 ; original_label:Sst_7 ; cell_set_label:Integrated 21 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_21		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_22	Pvalb_1	Integrated 22|Pvalb_1	cell_set_preferred_alias:Pvalb_1 ; original_label:Pvalb_1 ; cell_set_label:Integrated 22 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_22		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_23	Pvalb_2	Integrated 23|Pvalb_2	cell_set_preferred_alias:Pvalb_2 ; original_label:Pvalb_2 ; cell_set_label:Integrated 23 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_23		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_24	Chandelier	Chandelier|Integrated 24	cell_set_preferred_alias:Chandelier ; original_label:Chandelier ; cell_set_label:Integrated 24 ; cell_set_aligned_alias:Chandelier ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_24		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_25	L2/3 IT	Integrated 25|L2/3 IT	cell_set_preferred_alias:L2/3 IT ; original_label:L2/3 IT ; cell_set_label:Integrated 25 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_25		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_26	L6 IT_1	Integrated 26|L6 IT_1	cell_set_preferred_alias:L6 IT_1 ; original_label:L6 IT_1 ; cell_set_label:Integrated 26 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_26		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_27	L6 IT_2	Integrated 27|L6 IT_2	cell_set_preferred_alias:L6 IT_2 ; original_label:L6 IT_2 ; cell_set_label:Integrated 27 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_27		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_28	L5 IT_1	Integrated 28|L5 IT_1	cell_set_preferred_alias:L5 IT_1 ; original_label:L5 IT_1 ; cell_set_label:Integrated 28 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_28		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_29	L5 IT_2	Integrated 29|L5 IT_2	cell_set_preferred_alias:L5 IT_2 ; original_label:L5 IT_2 ; cell_set_label:Integrated 29 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_29		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_30	L5 IT_3	Integrated 30|L5 IT_3	cell_set_preferred_alias:L5 IT_3 ; original_label:L5 IT_3 ; cell_set_label:Integrated 30 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_30		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_31	L6 IT_3	Integrated 31|L6 IT_3	cell_set_preferred_alias:L6 IT_3 ; original_label:L6 IT_3 ; cell_set_label:Integrated 31 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_31		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_32	L5 ET_1	Integrated 32|L5 ET_1	cell_set_preferred_alias:L5 ET_1 ; original_label:L5 ET_1 ; cell_set_label:Integrated 32 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_32		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_33	L5 ET_2	Integrated 33|L5 ET_2	cell_set_preferred_alias:L5 ET_2 ; original_label:L5 ET_2 ; cell_set_label:Integrated 33 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_33		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_34	L6 CT_1	Integrated 34|L6 CT_1	cell_set_preferred_alias:L6 CT_1 ; original_label:L6 CT_1 ; cell_set_label:Integrated 34 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_34		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_35	L6 CT_2	Integrated 35|L6 CT_2	cell_set_preferred_alias:L6 CT_2 ; original_label:L6 CT_2 ; cell_set_label:Integrated 35 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_35		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_36	L6b	Integrated 36|L6b	cell_set_preferred_alias:L6b ; original_label:L6b ; cell_set_label:Integrated 36 ; cell_set_aligned_alias:L6b ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_36		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_37	L5/6 NP	Integrated 37|L5/6 NP	cell_set_preferred_alias:L5/6 NP ; original_label:L5/6 NP ; cell_set_label:Integrated 37 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_37		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_38	OPC	Integrated 38|OPC	cell_set_preferred_alias:OPC ; original_label:OPC ; cell_set_label:Integrated 38 ; cell_set_aligned_alias:OPC ; cell_set_additional_aliases:''	CL:0002453	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_38	UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_39	Astro_1	Astro_1|ILA / fibrous astrocyte|Integrated 39	cell_set_preferred_alias:Astro_1 ; original_label:Astro_1 ; cell_set_label:Integrated 39 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:ILA / fibrous astrocyte	CL:0000127	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_39	UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_40	Astro_2	Astro_2|Integrated 40|Protoplasmic astrocyte	cell_set_preferred_alias:Astro_2 ; original_label:Astro_2 ; cell_set_label:Integrated 40 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:Protoplasmic astrocyte	CL:0000127	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_40	UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_41	Oligo_1	Integrated 41|Oligo_1	cell_set_preferred_alias:Oligo_1 ; original_label:Oligo_1 ; cell_set_label:Integrated 41 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000128	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_41	UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_42	Oligo_2	Integrated 42|Oligo_2	cell_set_preferred_alias:Oligo_2 ; original_label:Oligo_2 ; cell_set_label:Integrated 42 ; cell_set_aligned_alias:'' ; cell_set_additional_aliases:''	CL:0000128	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_42	UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_43	Endo	Endo|Endothelial|Integrated 43	cell_set_preferred_alias:Endo ; original_label:Endo ; cell_set_label:Integrated 43 ; cell_set_aligned_alias:Endothelial ; cell_set_additional_aliases:''	CL:0000115	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_43	UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_44	VLMC	Integrated 44|VLMC	cell_set_preferred_alias:VLMC ; original_label:VLMC ; cell_set_label:Integrated 44 ; cell_set_aligned_alias:VLMC ; cell_set_additional_aliases:''	CL:4023051	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_44	UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_45	Microglia/PVM	Integrated 45|Microglia-PVM|Microglia/PVM	cell_set_preferred_alias:Microglia/PVM ; original_label:Microglia/PVM ; cell_set_label:Integrated 45 ; cell_set_aligned_alias:Microglia-PVM ; cell_set_additional_aliases:''	CL:0000129	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_45	UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_53	L5 ET	Betz|L5 PT|Integrated 32-33|L5 ET	cell_set_preferred_alias:L5 ET ; original_label:L5 ET ; cell_set_label:Integrated 32-33 ; cell_set_aligned_alias:L5 ET ; cell_set_additional_aliases:Betz|L5 PT	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_53		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_57	CGE/PoA	CGE/PoA|Integrated 01-13	cell_set_preferred_alias:CGE/PoA ; original_label:CGE/PoA ; cell_set_label:Integrated 01-13 ; cell_set_aligned_alias:CGE/PoA ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_57		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_58	MGE	Integrated 14-24|MGE	cell_set_preferred_alias:MGE ; original_label:MGE ; cell_set_label:Integrated 14-24 ; cell_set_aligned_alias:MGE ; cell_set_additional_aliases:''	CL:0011005	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_58		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_59	IT projecting	IT projecting|Integrated 25-31	cell_set_preferred_alias:IT projecting ; original_label:IT projecting ; cell_set_label:Integrated 25-31 ; cell_set_aligned_alias:IT projecting ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_59		UBERON:0001384	
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002270_60	Non-IT projecting	Integrated 32-37|Non-IT projecting	cell_set_preferred_alias:Non-IT projecting ; original_label:Non-IT projecting ; cell_set_label:Integrated 32-37 ; cell_set_aligned_alias:Non-IT projecting ; cell_set_additional_aliases:''	CL:0000679	NCBITaxon:314146	UBERON:0001384	DOI:10.1101/2020.03.31.016972		MOp	Euarchontoglires	AllenDend:CS202002270_60		UBERON:0001384	
