defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0015058	Inh L6 SST TH					entrez:6750|entrez:7054		PMID:34616066		UBERON:0005395	This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015059	Inh L5-6 PVALB KCNIP2					entrez:5816|entrez:30819		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015060	Inh L5-6 PVALB ZFPM2-AS1					entrez:5816|entrez:102723356		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015061	Inh L3-5 PVALB ISG20					entrez:5816|entrez:3669		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015062	Inh L5 PVALB LRIG3					entrez:5816|entrez:121227		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015063	Inh L2-5 PVALB HHIPL1					entrez:5816|entrez:84439		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015064	Inh L2-5 PVALB RPH3AL					entrez:5816|entrez:9501		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015065	Inh L3 PVALB SAMD13					entrez:5816|entrez:148418		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015066	Inh L1-2 PVALB CDK20					entrez:5816|entrez:23552		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015067	Inh L2 PVALB FRZB					entrez:5816|entrez:2487		PMID:34616066		UBERON:0005391		
http://purl.obolibrary.org/obo/PCL_0015068	Inh L1-2 SST CLIC6					entrez:6750|entrez:54102		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015069	Inh L5-6 PVALB GAPDHP60					entrez:5816|entrez:2601	PVALB above background, but barely.	PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015070	Inh L5-6 PVALB FAM150B					entrez:5816|entrez:285016		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015071	Inh L5-6 PVALB MEPE					entrez:5816|entrez:56955		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015072	Inh L1-6 PVALB COL15A1		CL:4023036		PMID: 34616075	entrez:5816|entrez:1306		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015073	Exc L2 LAMP5 KCNG3					entrez:24141|entrez:170850		PMID:34616066		UBERON:0005391		
http://purl.obolibrary.org/obo/PCL_0015074	Exc L2 LINC00507 ATP7B					entrez:100862680|entrez:540		PMID:34616066		UBERON:0005391		
http://purl.obolibrary.org/obo/PCL_0015075	Exc L2 LINC00507 GLRA3					entrez:100862680|entrez:8001		PMID:34616066		UBERON:0005391		
http://purl.obolibrary.org/obo/PCL_0015076	Exc L2-3 RORB RTKN2					entrez:6096|entrez:219790		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015077	Exc L2-3 LINC00507 DSG3					entrez:100862680|entrez:1830		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015078	Exc L3 LAMP5 CARM1P1					entrez:24141|entrez:100130873		PMID:34616066		UBERON:0005392		
http://purl.obolibrary.org/obo/PCL_0015079	Oligo L2-6 OPALIN MAP6D1					entrez:93377|entrez:79929		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015080	Exc L2-3 RORB CCDC68					entrez:6096|entrez:80323		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015081	Exc L2-3 RORB PTPN3					entrez:6096|entrez:5774		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015082	Exc L3 THEMIS ENPEP					entrez:387357|entrez:2028		PMID:34616066		UBERON:0005392		
http://purl.obolibrary.org/obo/PCL_0015083	Exc L3-5 RORB TNNT2					entrez:6096|entrez:7139		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015084	Exc L3-5 RORB LAMA4					entrez:6096|entrez:3910		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015085	Exc L5 THEMIS VILL					entrez:387357|entrez:50853		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015086	Exc L3 RORB OTOGL					entrez:6096|entrez:283310		PMID:34616066		UBERON:0005392		
http://purl.obolibrary.org/obo/PCL_0015087	Exc L3-5 RORB LINC01202					entrez:6096|entrez:104326188		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015088	Exc L5 THEMIS SLC22A18					entrez:387357|entrez:5003		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015089	Exc L5-6 THEMIS TNFAIP6					entrez:387357|entrez:7130		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015090	Exc L3-5 RORB LNX2					entrez:6096|entrez:222484		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015091	Exc L3-5 RORB RPRM					entrez:6096|entrez:56475		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015092	Exc L5 RORB MED8					entrez:6096|entrez:112950		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015093	Exc L5 THEMIS FGF10					entrez:387357|entrez:2255		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015094	Exc L6 THEMIS LINC00343					entrez:387357|entrez:144920		PMID:34616066		UBERON:0005395		
http://purl.obolibrary.org/obo/PCL_0015095	Exc L6 THEMIS SLN					entrez:387357|entrez:6588		PMID:34616066		UBERON:0005395		
http://purl.obolibrary.org/obo/PCL_0015096	Exc L6 THEMIS SNTG2					entrez:387357|entrez:54221		PMID:34616066		UBERON:0005395		
http://purl.obolibrary.org/obo/PCL_0015097	Exc L5-6 THEMIS SMYD1					entrez:387357|entrez:150572		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015098	Exc L5-6 FEZF2 OR1L8					entrez:55079|entrez:138881		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015099	Exc L5 THEMIS LINC01116					entrez:387357|entrez:375295		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015100	Exc L5 THEMIS RGPD6					entrez:387357|entrez:729540		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015101	Exc L5-6 FEZF2 C9orf135-AS1					entrez:55079|entrez:494558		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015102	Exc L5-6 FEZF2 FILIP1L					entrez:55079|entrez:11259		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015103	Exc L5-6 FEZF2 SH2D1B					entrez:55079|entrez:117157		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015104	Exc L6 FEZF2 PDYN					entrez:55079|entrez:5173		PMID:34616066		UBERON:0005395		
http://purl.obolibrary.org/obo/PCL_0015105	Exc L6 FEZF2 FFAR4					entrez:55079|entrez:338557		PMID:34616066		UBERON:0005395		
http://purl.obolibrary.org/obo/PCL_0015106	Exc L6 FEZF2 PROKR2					entrez:55079|entrez:128674		PMID:34616066		UBERON:0005395		
http://purl.obolibrary.org/obo/PCL_0015107	Exc L5-6 FEZF2 CFTR					entrez:55079|entrez:1080		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015108	Exc L6 FEZF2 KLK7					entrez:55079|entrez:5650		PMID:34616066		UBERON:0005395		
http://purl.obolibrary.org/obo/PCL_0015109	Exc L6 FEZF2 POGK					entrez:55079|entrez:57645		PMID:34616066		UBERON:0005395		
http://purl.obolibrary.org/obo/PCL_0015110	Exc L5 FEZF2 CSN1S1					entrez:55079|entrez:1446		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015111	Exc L3-5 FEZF2 ASGR2					entrez:55079|entrez:433		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015112	Exc L3-5 FEZF2 LINC01107					entrez:55079|entrez:151171		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015113	Exc L5 FEZF2 PKD2L1					entrez:55079|entrez:9033		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015114	Exc L5 FEZF2 NREP-AS1					entrez:55079|entrez:100873948		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015115	Exc L5 FEZF2 RNF144A-AS1					entrez:55079|entrez:386597		PMID:34616066		UBERON:0005394		
http://purl.obolibrary.org/obo/PCL_0015116	Exc L5-6 FEZF2 IFNG-AS1					entrez:55079|entrez:100885789		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015117	Exc L5-6 FEZF2 LPO					entrez:55079|entrez:4025		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015118	OPC L1-6 PDGFRA COL20A1					entrez:5156|entrez:57642		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015119	Oligo L3-6 OPALIN-like ENPP6					entrez:133121	Does not express OPALIN above baseline	PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015120	Oligo L2-6 OPALIN FTH1P3					entrez:93377|entrez:2498		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015121	Oligo L5-6 OPALIN LDLRAP1					entrez:93377|entrez:26119		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015122	Astro L1-6 FGFR3 AQP1					entrez:2261|entrez:358		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015123	Astro L1 FGFR3 SERPINI2					entrez:2261|entrez:5276		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0015124	Astro L1-6 FGFR3 PLCG1					entrez:2261|entrez:5335		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015125	Endo L2-5 NOSTRIN SRGN					entrez:115677|entrez:5552		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015126	VLMC L1-5 PDGFRA COLEC12					entrez:5156|entrez:81035	Currently missing in fireplot, assumed to express all markers in name	PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015127	Micro L1-6 TYROBP CD74					entrez:7305|entrez:972		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015128	(Mouse Lamp5)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015129	(Mouse Sncg)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015130	(Mouse Vip)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015131	(Mouse Sst)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015132	(Mouse Pvalb)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015133	(Mouse L2/3 IT)-like								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015134	(Mouse L5 IT)-like								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015135	(Mouse L6 IT)-like								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015136	(Mouse L6 CT)-like								PATO:0070029		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015137	(Mouse L6b)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015138	(Mouse L5 ET)-like								PATO:0070028		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015139	(Mouse L5/6 NP)-like								PATO:0070030		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015140	Oligo										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015142	Astro										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015143	(Mouse CGE/PoA)-like		CL:4023070		PMID:34616066						This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015144	(Mouse MGE)-like		CL:4023069		PMID:34616066						This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015145	(Mouse IT projecting)-like		CL:4023008		PMID:34616066				PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015146	(Mouse Non-IT projecting)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015152	(Mouse Lamp5)-like_C2										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015153	(Mouse Lamp5)-like_C3										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015154	(Mouse Lamp5)-like_C4										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015155	(Mouse Sncg)-like_C1										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015156	(Mouse Sncg)-like_C3										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015157	(Mouse Lamp5)-like_C5										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015158	(Mouse Sncg)-like_C4										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015159	(Mouse Vip)-like_C1										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015160	(Mouse Vip)-like_C2										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015161	(Mouse Vip)-like_C3										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015162	(Mouse Vip)-like_C4										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015163	(Mouse Sst)-like_C1										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015164	(Mouse Sst)-like_C2										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015165	(Mouse Sst)-like_C3										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015166	(Mouse Sst)-like_C4										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015167	(Mouse Sst)-like_C5										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015168	(Mouse Sst)-like_C6										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015169	(Mouse Pvalb)-like_C1										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015170	(Mouse Pvalb)-like_C2										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015171	(Mouse IT projecting)-like(i)								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015172	(Mouse L5 IT)-like_C1								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015173	(Mouse L5 IT)-like_C2								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015174	(Mouse L6 IT)-like_C2								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015175	(Mouse L5 IT)-like_C3								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015176	(Mouse L6 IT)-like_C1								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015177	(Mouse L6 CT)-like_C1								PATO:0070029		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0015178	(Mouse L5 ET)-like_C1								PATO:0070028		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
