defined_class	prefLabel	Synonyms_from_taxonomy	Comment	Gross_cell_type	Taxon	Brain_region	Alias_citations	Minimal_markers	Allen_markers	Individual	part_of	has_soma_location	Brain_region_abbv	Species_abbv
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_15	Inh L1 LAMP5 NMBR	Inh L1 LAMP5 NMBR|RNAseq 015	cell_set_preferred_alias:Inh L1 LAMP5 NMBR ; original_label:Inh L1 LAMP5 NMBR ; cell_set_label:RNAseq 015 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000189056|ensembl:ENSG00000189184		AllenDend:CS201912131_15		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_16	Inh L1 PVALB SST ASIC4	Inh L1 PVALB SST ASIC4|RNAseq 016	cell_set_preferred_alias:Inh L1 PVALB SST ASIC4 ; original_label:Inh L1 PVALB SST ASIC4 ; cell_set_label:RNAseq 016 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000149451|ensembl:ENSG00000176771|ensembl:ENSG00000186314	ensembl:ENSG00000157005	AllenDend:CS201912131_16		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_17	Inh L1 SST P4HA3	Inh L1 SST P4HA3|RNAseq 017	cell_set_preferred_alias:Inh L1 SST P4HA3 ; original_label:Inh L1 SST P4HA3 ; cell_set_label:RNAseq 017 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000148488|ensembl:ENSG00000150907|ensembl:ENSG00000165895	ensembl:ENSG00000157005	AllenDend:CS201912131_17		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_18	Inh L1 SST DEFB108B	Inh L1 SST DEFB108B|RNAseq 018	cell_set_preferred_alias:Inh L1 SST DEFB108B ; original_label:Inh L1 SST DEFB108B ; cell_set_label:RNAseq 018 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000110975|ensembl:ENSG00000138653	ensembl:ENSG00000157005	AllenDend:CS201912131_18		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_19	Inh L1-3 VIP CBLN1	Inh L1-3 VIP CBLN1|RNAseq 019	cell_set_preferred_alias:Inh L1-3 VIP CBLN1 ; original_label:Inh L1-3 VIP CBLN1 ; cell_set_label:RNAseq 019 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000147246|ensembl:ENSG00000166863	ensembl:ENSG00000146469	AllenDend:CS201912131_19		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_20	Inh L1-2 VIP EXPH5	Inh L1-2 VIP EXPH5|RNAseq 020	cell_set_preferred_alias:Inh L1-2 VIP EXPH5 ; original_label:Inh L1-2 VIP EXPH5 ; cell_set_label:RNAseq 020 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000080293|ensembl:ENSG00000147488	ensembl:ENSG00000146469	AllenDend:CS201912131_20		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_21	Inh L1-3 VIP HSPB6	Inh L1-3 VIP HSPB6|RNAseq 021	cell_set_preferred_alias:Inh L1-3 VIP HSPB6 ; original_label:Inh L1-3 VIP HSPB6 ; cell_set_label:RNAseq 021 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000115461|ensembl:ENSG00000138764	ensembl:ENSG00000146469	AllenDend:CS201912131_21		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_22	Inh L1-2 VIP PTGER3	Inh L1-2 VIP PTGER3|RNAseq 022	cell_set_preferred_alias:Inh L1-2 VIP PTGER3 ; original_label:Inh L1-2 VIP PTGER3 ; cell_set_label:RNAseq 022 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000110975|ensembl:ENSG00000116117|ensembl:ENSG00000183960	ensembl:ENSG00000146469	AllenDend:CS201912131_22		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_23	Inh L1-2 VIP SCML4	Inh L1-2 VIP SCML4|RNAseq 023	cell_set_preferred_alias:Inh L1-2 VIP SCML4 ; original_label:Inh L1-2 VIP SCML4 ; cell_set_label:RNAseq 023 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000154175|ensembl:ENSG00000183960	ensembl:ENSG00000146469	AllenDend:CS201912131_23		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_24	Inh L1-3 VIP FNDC1	Inh L1-3 VIP FNDC1|RNAseq 024	cell_set_preferred_alias:Inh L1-3 VIP FNDC1 ; original_label:Inh L1-3 VIP FNDC1 ; cell_set_label:RNAseq 024 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000183960	ensembl:ENSG00000146469	AllenDend:CS201912131_24		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_25	Inh L1-3 VIP CHRNA2	Inh L1-3 VIP CHRNA2|RNAseq 025	cell_set_preferred_alias:Inh L1-3 VIP CHRNA2 ; original_label:Inh L1-3 VIP CHRNA2 ; cell_set_label:RNAseq 025 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000112319|ensembl:ENSG00000150722	ensembl:ENSG00000146469	AllenDend:CS201912131_25		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_26	Inh L2 VIP SLC6A16	Inh L2 VIP SLC6A16|RNAseq 026	cell_set_preferred_alias:Inh L2 VIP SLC6A16 ; original_label:Inh L2 VIP SLC6A16 ; cell_set_label:RNAseq 026 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000162687	ensembl:ENSG00000146469	AllenDend:CS201912131_26		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_27	Inh L1 VIP KLHDC8B	Inh L1 VIP KLHDC8B|RNAseq 027	cell_set_preferred_alias:Inh L1 VIP KLHDC8B ; original_label:Inh L1 VIP KLHDC8B ; cell_set_label:RNAseq 027 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000179542|ensembl:ENSG00000198542	ensembl:ENSG00000146469	AllenDend:CS201912131_27		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_28	Inh L3-5 VIP IGDCC3	Inh L3-5 VIP IGDCC3|RNAseq 028	cell_set_preferred_alias:Inh L3-5 VIP IGDCC3 ; original_label:Inh L3-5 VIP IGDCC3 ; cell_set_label:RNAseq 028 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000086991|ensembl:ENSG00000124882	ensembl:ENSG00000146469	AllenDend:CS201912131_28		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_29	Inh L1-5 VIP SMOC1	Inh L1-5 VIP SMOC1|RNAseq 029	cell_set_preferred_alias:Inh L1-5 VIP SMOC1 ; original_label:Inh L1-5 VIP SMOC1 ; cell_set_label:RNAseq 029 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000146469|ensembl:ENSG00000154188|ensembl:ENSG00000198732	ensembl:ENSG00000146469|ensembl:ENSG00000198732	AllenDend:CS201912131_29		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_30	Inh L3-5 VIP HS3ST3A1	Inh L3-5 VIP HS3ST3A1|RNAseq 030	cell_set_preferred_alias:Inh L3-5 VIP HS3ST3A1 ; original_label:Inh L3-5 VIP HS3ST3A1 ; cell_set_label:RNAseq 030 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000145703|ensembl:ENSG00000146477|ensembl:ENSG00000154175	ensembl:ENSG00000146469	AllenDend:CS201912131_30		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_31	Inh L5-6 VIP COL4A3	Inh L5-6 VIP COL4A3|RNAseq 031	cell_set_preferred_alias:Inh L5-6 VIP COL4A3 ; original_label:Inh L5-6 VIP COL4A3 ; cell_set_label:RNAseq 031 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000116117|ensembl:ENSG00000154175|ensembl:ENSG00000178695	ensembl:ENSG00000146469	AllenDend:CS201912131_31		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_32	Inh L1-5 VIP CD27-AS1	Inh L1-5 VIP CD27-AS1|RNAseq 032	cell_set_preferred_alias:Inh L1-5 VIP CD27-AS1 ; original_label:Inh L1-5 VIP CD27-AS1 ; cell_set_label:RNAseq 032 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000145703|ensembl:ENSG00000153930|ensembl:ENSG00000206120	ensembl:ENSG00000146469	AllenDend:CS201912131_32		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_33	Inh L2-5 VIP BSPRY	Inh L2-5 VIP BSPRY|RNAseq 033	cell_set_preferred_alias:Inh L2-5 VIP BSPRY ; original_label:Inh L2-5 VIP BSPRY ; cell_set_label:RNAseq 033 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000147488|ensembl:ENSG00000172572	ensembl:ENSG00000146469	AllenDend:CS201912131_33		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_34	Inh L2-5 VIP SOX11	Inh L2-5 VIP SOX11|RNAseq 034	cell_set_preferred_alias:Inh L2-5 VIP SOX11 ; original_label:Inh L2-5 VIP SOX11 ; cell_set_label:RNAseq 034 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000144229|ensembl:ENSG00000147246|ensembl:ENSG00000178031	ensembl:ENSG00000146469	AllenDend:CS201912131_34		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_35	Inh L3-6 VIP ZIM2-AS1	Inh L3-6 VIP ZIM2-AS1|RNAseq 035	cell_set_preferred_alias:Inh L3-6 VIP ZIM2-AS1 ; original_label:Inh L3-6 VIP ZIM2-AS1 ; cell_set_label:RNAseq 035 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000145824|ensembl:ENSG00000181195	ensembl:ENSG00000146469	AllenDend:CS201912131_35		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_36	Inh L1-5 VIP PHLDB3	Inh L1-5 VIP PHLDB3|RNAseq 036	cell_set_preferred_alias:Inh L1-5 VIP PHLDB3 ; original_label:Inh L1-5 VIP PHLDB3 ; cell_set_label:RNAseq 036 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000138798|ensembl:ENSG00000144229	ensembl:ENSG00000146469	AllenDend:CS201912131_36		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_37	Inh L1-5 VIP LINC01013	Inh L1-5 VIP LINC01013|RNAseq 037	cell_set_preferred_alias:Inh L1-5 VIP LINC01013 ; original_label:Inh L1-5 VIP LINC01013 ; cell_set_label:RNAseq 037 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000126733|ensembl:ENSG00000144229|ensembl:ENSG00000196935	ensembl:ENSG00000146469	AllenDend:CS201912131_37		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_38	Inh L3-6 VIP UG0898H09	Inh L3-6 VIP UG0898H09|RNAseq 038	cell_set_preferred_alias:Inh L3-6 VIP UG0898H09 ; original_label:Inh L3-6 VIP UG0898H09 ; cell_set_label:RNAseq 038 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000164574|ensembl:ENSG00000249306	ensembl:ENSG00000146469	AllenDend:CS201912131_38		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_39	Inh L3-5 VIP TAC3	Inh L3-5 VIP TAC3|RNAseq 039	cell_set_preferred_alias:Inh L3-5 VIP TAC3 ; original_label:Inh L3-5 VIP TAC3 ; cell_set_label:RNAseq 039 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000082293|ensembl:ENSG00000182463	ensembl:ENSG00000146469|ensembl:ENSG00000166863	AllenDend:CS201912131_39		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_40	Inh L1-6 SST NPY	Inh L1-6 SST NPY|RNAseq 040|Sst Chodl	cell_set_preferred_alias:Inh L1-6 SST NPY ; original_label:Inh L1-6 SST NPY ; cell_set_label:RNAseq 040 ; cell_set_aligned_alias:Sst Chodl	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000122585	ensembl:ENSG00000122585|ensembl:ENSG00000157005	AllenDend:CS201912131_40		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_41	Inh L3-5 SST CDH3	Inh L3-5 SST CDH3|RNAseq 041	cell_set_preferred_alias:Inh L3-5 SST CDH3 ; original_label:Inh L3-5 SST CDH3 ; cell_set_label:RNAseq 041 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000164946|ensembl:ENSG00000168743|ensembl:ENSG00000186867	ensembl:ENSG00000157005	AllenDend:CS201912131_41		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_42	Inh L5 SST RPL35AP11	Inh L5 SST RPL35AP11|RNAseq 042	cell_set_preferred_alias:Inh L5 SST RPL35AP11 ; original_label:Inh L5 SST RPL35AP11 ; cell_set_label:RNAseq 042 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000072657|ensembl:ENSG00000151617|ensembl:ENSG00000164946	ensembl:ENSG00000157005	AllenDend:CS201912131_42		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_43	Inh L5-6 SST ISX	Inh L5-6 SST ISX|RNAseq 043	cell_set_preferred_alias:Inh L5-6 SST ISX ; original_label:Inh L5-6 SST ISX ; cell_set_label:RNAseq 043 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000082293|ensembl:ENSG00000083067	ensembl:ENSG00000157005	AllenDend:CS201912131_43		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_44	Inh L5-6 PVALB SST CRHR2	Inh L5-6 PVALB SST CRHR2|RNAseq 044	cell_set_preferred_alias:Inh L5-6 PVALB SST CRHR2 ; original_label:Inh L5-6 PVALB SST CRHR2 ; cell_set_label:RNAseq 044 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000143248|ensembl:ENSG00000164120|ensembl:ENSG00000262655	ensembl:ENSG00000157005	AllenDend:CS201912131_44		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_45	Inh L3-5 SST OR5AH1P	Inh L3-5 SST OR5AH1P|RNAseq 045	cell_set_preferred_alias:Inh L3-5 SST OR5AH1P ; original_label:Inh L3-5 SST OR5AH1P ; cell_set_label:RNAseq 045 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000154736|ensembl:ENSG00000157005|ensembl:ENSG00000183580	ensembl:ENSG00000157005	AllenDend:CS201912131_45		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_46	Inh L3-5 SST GGTLC3	Inh L3-5 SST GGTLC3|RNAseq 046	cell_set_preferred_alias:Inh L3-5 SST GGTLC3 ; original_label:Inh L3-5 SST GGTLC3 ; cell_set_label:RNAseq 046 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000188107|ensembl:ENSG00000189056	ensembl:ENSG00000157005	AllenDend:CS201912131_46		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_47	Inh L2-3 SST NMU	Inh L2-3 SST NMU|RNAseq 047	cell_set_preferred_alias:Inh L2-3 SST NMU ; original_label:Inh L2-3 SST NMU ; cell_set_label:RNAseq 047 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000089250|ensembl:ENSG00000154864|ensembl:ENSG00000172987	ensembl:ENSG00000157005	AllenDend:CS201912131_47		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_48	Inh L5-6 SST PAWR	Inh L5-6 SST PAWR|RNAseq 048	cell_set_preferred_alias:Inh L5-6 SST PAWR ; original_label:Inh L5-6 SST PAWR ; cell_set_label:RNAseq 048 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000072657|ensembl:ENSG00000129595|ensembl:ENSG00000138653	ensembl:ENSG00000157005	AllenDend:CS201912131_48		UBERON:0001384		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS201912131_49	Inh L5-6 SST PIK3CD	Inh L5-6 SST PIK3CD|RNAseq 049	cell_set_preferred_alias:Inh L5-6 SST PIK3CD ; original_label:Inh L5-6 SST PIK3CD ; cell_set_label:RNAseq 049 ; cell_set_aligned_alias:''	CL:0011005	NCBITaxon:9606	UBERON:0001384	DOI:10.1101/2020.03.31.016972	ensembl:ENSG00000197705	ensembl:ENSG00000157005	AllenDend:CS201912131_49		UBERON:0001384		
