defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Definition
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_11	Sncg Calb1_1					ensembl:ENSMUSG00000023064|ensembl:ENSMUSG00000028222		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_12	Sncg Calb1_2					ensembl:ENSMUSG00000023064|ensembl:ENSMUSG00000028222		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_13	Sncg Npy2r					ensembl:ENSMUSG00000023064|ensembl:ENSMUSG00000028004		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_14	Vip Sncg					ensembl:ENSMUSG00000019772	Barely any Sncg expression	PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_15	Vip Serpinf1_1					ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000000753		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_16	Vip Serpinf1_2					ensembl:ENSMUSG00000019772|ensembl:ENSMUSG00000000753		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_17	Vip-like Serpinf1_3					ensembl:ENSMUSG00000000753		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_18	Vip Htr1f					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000050783		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_19	Vip Gpc3					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000055653		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_20	Vip C1ql1					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000045532		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_21	Vip Mybpc1_2					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000020061		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_22	Vip Mybpc1_1					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000020061		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_23	Vip Chat_1					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000021919		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_24	Vip Mybpc1_3					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000020061		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_25	Vip Chat_2					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000021919		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_26	Vip-like Igfbp6_1					ensembl:ENSMUSG00000023046		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_27	Vip Igfbp6_2					ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000023046		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_28	Sst Chodl		CL:4023025		PMID:34616066	ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000022860		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_29	Sst Penk					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000045573		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_30	Sst Myh8_1					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000055775		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_31	Sst Myh8_2					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000055775		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_32	Sst Myh8_3					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000055775		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_33	Sst Htr1a					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000021721		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_34	Sst Etv1					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000004151		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_35	Sst Pvalb Etv1					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000004151	Low Pvalb expression	PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_36	Sst Crhr2_1					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000003476		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_37	Sst Crhr2_2					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000003476		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_38	Sst Hpse		CL:4023031		PMID:34616066	ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000074852		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_39	Sst Calb2					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000003657		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_40	Sst Pappa					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000028370		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_41	Sst Pvalb Calb2		CL:4023034		PMID:34616066	ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000028370	Low Pvalb expression	PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_42	Sst C1ql3_1					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000049630		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_43	Sst C1ql3_2					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000049630		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_44	Sst Tac2					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000025400		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_45	Sst Th_1					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000000214		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_46	Sst Th_2					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000000214		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_47	Sst Th_3					ensembl:ENSMUSG00000004366|ensembl:ENSMUSG00000000214		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_48	Pvalb Gabrg1					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000001260		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_49	Pvalb Egfem1					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000063600		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_50	Pvalb Gpr149					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000043441		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_51	Pvalb Kank4					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000035407		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_52	Pvalb Calb1_1					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000028222		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_53	Pvalb Calb1_2					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000028222		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_54	Pvalb Reln					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000042453		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_55	Pvalb Il1rapl2					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000059203		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_56	Pvalb Vipr2_1					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000011171		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_57	Pvalb Vipr2_2					ensembl:ENSMUSG00000005716|ensembl:ENSMUSG00000011171		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_58	L2/3 IT_1								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_59	L2/3 IT_2								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_60	L2/3 IT_3								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_61	L4/5 IT_1								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_62	L4/5 IT_2		CL:4023048		PMID:34616066				PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_63	L5 IT_1								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_64	L5 IT_2								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_65	L5 IT_3								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_66	L5 IT_4								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_67	L6 IT_1								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_68	L6 IT_2								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_69	L6 IT Car3					ensembl:ENSMUSG00000027559		PMID:34616062	PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_70	L5 ET_1		CL:4023045		PMID:34616066				PATO:0070028		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_71	L5 ET_2								PATO:0070028		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_72	L5 ET_3								PATO:0070028		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_73	L5 ET_4								PATO:0070028		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_74	L5/6 NP CT								PATO:0070029		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_75	L6 CT Gpr139					ensembl:ENSMUSG00000066197		PMID:34616062	PATO:0070029		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_76	L6 CT Cpa6					ensembl:ENSMUSG00000042501		PMID:34616062	PATO:0070029		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_77	L6 CT Grp					ensembl:ENSMUSG00000024517		PMID:34616062	PATO:0070029		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_78	L6 CT Pou3f2					ensembl:ENSMUSG00000095139		PMID:34616062	PATO:0070029		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_79	L6 CT Kit_1					ensembl:ENSMUSG00000005672		PMID:34616062	PATO:0070029		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_80	L6 CT Kit_2					ensembl:ENSMUSG00000005672		PMID:34616062	PATO:0070029		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_81	L6b Col6a1					ensembl:ENSMUSG00000001119		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_82	L6b Shisa6_1					ensembl:ENSMUSG00000053930		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_83	L6b Shisa6_2					ensembl:ENSMUSG00000053930		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_84	L6b Ror1					ensembl:ENSMUSG00000035305		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_85	L6b Kcnip1					ensembl:ENSMUSG00000053519		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_86	L5/6 NP_1								PATO:0070030		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_87	L5/6 NP_2								PATO:0070030		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_88	L5/6 NP_3								PATO:0070030		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_89	Meis2 (cluster)					ensembl:ENSMUSG00000027210		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_90	Meis2_Top2a					ensembl:ENSMUSG00000027210|ensembl:ENSMUSG00000020914		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_91	OPC Pdgfra		CL:0002453		PMID:34616066	ensembl:ENSMUSG00000029231		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_92	Astro_Top2a					ensembl:ENSMUSG00000020914					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_93	Astro Aqp4_Gfap					ensembl:ENSMUSG00000024411|ensembl:ENSMUSG00000020932					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_94	Astro Aqp4_Slc7a10					ensembl:ENSMUSG00000024411|ensembl:ENSMUSG00000030495					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_95	Oligo Enpp6_1					ensembl:ENSMUSG00000038173					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_96	Oligo Enpp6_2					ensembl:ENSMUSG00000038173					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_97	Oligo Enpp6_3					ensembl:ENSMUSG00000038173					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_98	Oligo Enpp6_4					ensembl:ENSMUSG00000038173					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_99	Oligo Opalin_1					ensembl:ENSMUSG00000050121					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_100	Oligo Opalin_2					ensembl:ENSMUSG00000050121					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_101	Oligo Opalin_3					ensembl:ENSMUSG00000050121					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_102	Oligo Opalin_4					ensembl:ENSMUSG00000050121					
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_103	Endo		CL:1001602		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_104	VLMC_1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_105	VLMC_2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_106	VLMC_3										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_107	VLMC_4										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_108	VLMC_5										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_109	VLMC_6										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_110	VLMC_7										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_111	SMC		CL:0002590		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_112	Peri		CL:2000043		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_113	Micro		CL:0000129		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_114	PVM_1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_115	PVM_2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_116	PVM_3										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_124	CGE/PoA		CL:4023070		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_125	Lamp5-like										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_128	Lamp5-like_C5										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_133	Sncg-like										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_134	Sncg-like_C2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_138	Vip-like										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_139	L5/6 CCK cell		CL:4023071		PMID:34616066	ensembl:ENSMUSG00000032532|ensembl:ENSMUSG00000000753		PMID:34616062			
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_143	L5 VIP cell		CL:4023014		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_145	L2/3 Bipolar VIP cell		CL:4023007		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_149	Vip-like_C4										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_150	MGE		CL:4023069		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_156	Sst-like_C1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_161	L5 non-Martinotti cell		CL:4023028		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_164	L2/3/5 fan Martinotti cell		CL:4023030		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_165	L5/6 non-Martinotti cell		CL:4023118		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_170	L6 Th+ SST/PV cell										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_177	Upper FS Basket cell										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_178	Chandelier		CL:4023036		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_182	IT projecting		CL:4023008		PMID:34616066				PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_183	L2/3 IT		CL:4023047		PMID:34616066				PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_188	L4										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_189	L5 IT		CL:4023049		PMID:34616066				PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_190	L5 IT_C2								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_192	L6 IT								PATO:0070034		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_193	L5 ET		CL:4023041		PMID:34616066				PATO:0070028		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_194	L5 ET (Non-MY-projecting)		CL:4023044		PMID:34616066				PATO:0070028		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_197	L6 CT		CL:4023055		PMID:34616066				PATO:0070029		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_203	L6b		CL:4023046		PMID:34616066						
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_207	L5/6 NP		CL:4023043		PMID:34616066				PATO:0070030		
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_209	Meis2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_211	Astro_C1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_232	Sst-like										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_233	Pvalb-like										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_234	Non-IT projecting										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_238	Lamp5-like_C2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_239	Sncg-like_C3										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_240	Sncg-like_C1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_241	Vip-like_C3										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_242	Vip-like_C2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_243	Vip-like_C1										Test Definition
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_244	Sst-like_C2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_245	Sst-like_C3										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_246	Sst-like_C6										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_247	Pvalb-like_C1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_248	Pvalb-like_C2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_249	L5 IT_C1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_250	L6 IT_C2										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_251	L5 ET_C1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_252	L6 CT_C1										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_254	VLMC(i)										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_255	Large CCK basket cell										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_256	L5 T Martinotti cell										
http://www.semanticweb.org/brain_data_standards/AllenDendClass_CS202002013_257	Lower FS Basket cell										
