defined_class	prefLabel	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0013045	Inh PVALB GSTK1					entrez:100390686|entrez:100403214		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013046	Inh PVALB C8H7orf62					entrez:100390686|entrez:103794860		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013047	Inh PVALB SST LRRC6					entrez:100390686|entrez:100412902|entrez:100403018		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013048	Inh PVALB ADAMTS3					entrez:100390686|entrez:100393613		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013049	Inh PVALB SST EYS					entrez:100390686|entrez:100412902|entrez:100400628		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013050	Inh PVALB PCDH19					entrez:100390686|entrez:100398114		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013051	Inh PVALB KLHL29					entrez:100390686|entrez:100388989		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013052	Inh PVALB FAM19A4		CL:4023036		PMID: 34616075	entrez:100390686|entrez:100399505		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013053	Exc THEMIS ANO3					entrez:100403177|entrez:100392835		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013054	Exc RORB LOC108588466					entrez:100405410|entrez:108588466		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013055	Exc RORB SERPINE2					entrez:100405410|entrez:100411540		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013056	Exc RORB NDST3					entrez:100405410|entrez:100394816	RORB expressed, but indistinguishable from background	PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013057	Exc RORB KNL1					entrez:100405410|entrez:100412512		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013058	Exc RORB CAV3					entrez:100405410|entrez:100405927		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013059	Exc THEMIS KCTD16					entrez:100403177|entrez:100396249		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013060	Exc THEMIS COBL					entrez:100403177|entrez:100404295		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013061	Exc RORB LOC108593203					entrez:100405410|entrez:108593203		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013062	Exc RORB ANKRD27					entrez:100405410|entrez:100402573		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013063	Exc RORB ACTA2					entrez:100405410|entrez:100396597		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013064	Exc RORB USH1C					entrez:100405410|entrez:100386444		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013065	Exc RORB SLC38A11					entrez:100405410|entrez:100397271		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013066	Exc RORB PPA2					entrez:100405410|entrez:100392515		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013067	Exc RORB CHGA					entrez:100405410|entrez:100396583		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013068	Exc RORB HACL1					entrez:100405410|entrez:100385052		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013069	Oligo SLC1A3 LOC103793418					entrez:100408230|entrez:103793418		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013070	Exc THEMIS ARL13B					entrez:100403177|entrez:100413286		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013071	Exc FEZF2 PIEZO2					entrez:100407617|entrez:100388255		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013072	Exc FEZF2 PDZRN4					entrez:100407617|entrez:100412026		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013073	Exc FEZF2 RGS4					entrez:100407617|entrez:100410777		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013074	Exc FEZF2 NRP1					entrez:100407617|entrez:100394500		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013075	Exc FEZF2 ARSJ					entrez:100407617|entrez:100397592		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013076	Exc THEMIS NTNG2					entrez:100403177|entrez:100405312		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013077	Exc FEZF2 CRYM					entrez:100403177|entrez:100388738		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013078	OPC PDGFRA VCAN					entrez:100412331|entrez:100402664		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013079	Astro FGFR3 EPHB1					entrez:100409938|entrez:100399267		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013080	Astro FGFR3 NWD1					entrez:100409938|entrez:100895459		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013081	Astro FGFR3 RCN2					entrez:100409938|entrez:100406707		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013082	Astro FGFR3 GFAP					entrez:100409938|entrez:100393644		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013083	Oligo OPALIN LOC103790018					entrez:100404930|entrez:103790018		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013084	Oligo OPALIN MOBP					entrez:100404930|entrez:100392144		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013085	Endo NOSTRIN IL1R1					entrez:100405977|entrez:100393945		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013086	Endo NOSTRIN CXCL12					entrez:100405977|entrez:100402880		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013087	Glia SLC1A3-like FBLN5					entrez:100392828	Does not express SLC1A3	PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013088	Peri SLC1A3-like CHST3					entrez:100398765	Does not express SLC1A3 above background	PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013089	Peri SLC1A3-like EPSTI1					entrez:100401749	Does not express SLC1A3 above background	PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013090	VLMC PDGFRA C7					entrez:100412331|entrez:100385053		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013091	VLMC SLC1A3 CEMIP					entrez:100408230|entrez:100406710		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013092	VLMC SLC1A3 SLC13A3					entrez:100408230|entrez:100387605		PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013093	VLMC SLC1A3-like SLC47A1					entrez:100399056	Does not express SLC1A3	PMID:34616066				
http://purl.obolibrary.org/obo/PCL_0013094	Micro TYROBP LOC103788313					entrez:100393633|entrez:103788313		PMID:34616066			This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013095	(Mouse Lamp5)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013096	(Mouse Sncg)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013097	(Mouse Vip)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013098	(Mouse Sst)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013099	(Mouse Pvalb)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013100	(Mouse L2/3 IT)-like								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013101	(Mouse L5 IT)-like								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013102	(Mouse L6 IT)-like								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013103	(Mouse L5 ET)-like								PATO:0070028		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013104	(Mouse L6 CT)-like								PATO:0070029		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013110	(Mouse MGE)-like		CL:4023069		PMID:34616066						This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013111	(Mouse CGE/PoA)-like		CL:4023070		PMID:34616066						This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013112	(Mouse IT projecting)-like		CL:4023008		PMID:34616066						This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013113	(Mouse Non-IT projecting)-like										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013119	Sst Chodl(i)		CL:4023121		PMID:34616066						This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013120	(Mouse Lamp5)-like_C2										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013121	(Mouse Sncg)-like_C1										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013122	(Mouse Sncg)-like_C3										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013123	(Mouse Sncg)-like_C4										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013124	(Mouse Vip)-like_C4										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013125	(Mouse Vip)-like_C2										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013126	(Mouse Vip)-like_C1										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013127	(Mouse Vip)-like_C3										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013128	(Mouse Sst)-like_C3										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013129	(Mouse Pvalb)-like_C1										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013130	(Mouse L5 IT)-like_C1								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013131	(Mouse L5 IT)-like_C2								PATO:0070034		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013132	(Mouse L5 ET)-like_C1								PATO:0070028		This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013133	Astro_C2										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
http://purl.obolibrary.org/obo/PCL_0013134	VLMC(i)										This class represents a cross-species homology grouping.	Cross-species clustering based on transcriptomic similarity supports the assertion that this class represents a homology grouping.
